text,triplet
The task consists of two steps: finding the insert-position with binary_search and inserting with Vec::insert() :,"(binary_search, used with, Vec::insert)"
"The default Option value is None , so with the proposed changes, your code could look like this:","(Option, default value is, None)"
What is a lifetime? Where can I learn more about them?,
"cargo tree , available starting in Rust 1.44 is highly useful to verify this is your problem",
"It seems to me that Rc<> should just consist of a pointer, which is a fixed size, so the type itself should be Sized and hence Copy , right?","(Sized, different from, Copy)"
"One potential fix is to store the created String for the duration of the function, preventing its deallocation until after the new string is created:",
"As of Rust 1.21.0, Vec::splice is available and allows inserting at any point, including fully prepending:","(Vec, has method, Vec::splice)"
"For example, in the standard library, there is (approximately) impl<T> Clone for Vec<T> where T: Clone {...} so a Vec is clonable if and only if its contents are","(Clone, implemented for, Vec)"
"So, for Dart 2, we are now taking the very painful breaking change to",
"If your type isn't cloneable, you can transform it into a reference-counted value (such as Rc or Arc ) which can then be cloned","(Rc, similar to, Arc); (Rc, is, reference-counted value); (Arc, is, reference-counted value)"
"Rust 1.36.0 introduced copied which works like cloned , but uses the Copy trait, which has the requirement, that the copy is cheap (e.g. a memcpy only). If you have primitive types or types that implement Copy you can use that instead.","(copied, uses, Copy); (cloned, similar to, copied); (Copy, requires, cheap copy)"
"Make sure you have debug symbols enabled in the executable (e.g. using debug build or custom Cargo configuration). You can use, say, http://massiftool.sourceforge.net/ to analyse the generated heap profile.","(debug symbols, enabled in, Cargo)"
"The NonNull pointer type is used as a building block for smart pointers like Box and Rc . These types expose interfaces that follow the usual Rust rules for references – mutation of the pointee is only possible through ownership of or a mutable reference to the smart pointer itself, and a shared reference to the pointee can only be obtained by borrowing the smart pointer itself","(NonNull, used as a building block for, Box), (NonNull, used as a building block for, Rc)"
"expose a Rust API using only trait objects, instead of generics; this way you get to keep memory safety and all monomorphic functions would still work normally, but trait objects (dynamic dispatch) cannot express all the patterns possible with generics: in particular, generic trait methods are not callable on trait objects (C++ should have a similar restriction for mixing template and virtual , with workarounds potentially available on a case-by-case basis).","(trait objects, are used instead of, generics)"
Thanks to BurntSushi5 for the suggestion to use Rc that I always forget exists and to Shepmaster for suggesting to remove the unnecessary Box under Rc in Lam and how to satisfy the borrow checker in longer Lam chains.,"(Box, removed from under, Rc)"
"Looking at the reference docs for Range , Range strangely does not seem to implement IntoIterator directly... but if we check the Blanket Implementations section on doc.rust-lang.org, we can see that every iterator implements the IntoIterator trait (trivially, by just returning itself):","(Range, does not implement, IntoIterator); (IntoIterator, implemented by, iterator)"
"String::trim , in turn, returns a &str which is a reference to part of String itself.","(String::trim, returns, &str)"
"But think of it this way: in Java, it's safe to pretend that a Programmer is a Person , but you can't assume that a Person is a Programmer . Likewise, it's safe to pretend that a variable has a shorter lifetime, but you can't assume that a variable with some known lifetime actually has a longer lifetime",
Try adding the full feature to the tokio dependency in your Cargo.toml file:,
Rust traits can have functions which accept multiple inputs (or produce outputs) that are also of the implementing type,
"If you're asking whether you can access fields of a struct from within that struct's implementation of a trait, then yes.  The struct knows its own type, so there's no problem.","(struct, implemented by, trait)"
If you use actix-web you can add actix_rt into Cargo.toml and #[actix_rt::test] before the test function,"(actix-web, works with, actix_rt)"
"You generally want to use the smart pointer constructors ( Box::new , Rc::new , Arc::new ) for single objects and just use Vec or Box<[T]> if you want a heap-based array.","(Box::new, alternative_to, Vec); (Rc::new, alternative_to, Vec); (Arc::new, alternative_to, Vec); (Box::new, alternative_to, Box<[T]>); (Rc::new, alternative_to, Box<[T]>); (Arc::new, alternative_to, Box<[T]>)"
Pass-by-value is always either a copy (if the type involved is “trivial”) or a move (if not). Box<i32> is not copyable because it (or at least one of its data members) implements Drop . This is typically done for some kind of “clean up” code,"(Box<i32>, implements, Drop)"
"Also, call bitter_oyster::plot::line::test(); in main.rs instead of plot::line::test(); . plot is a module in the bitter_oyster crate, such as line . You are referring to the test function with its fully qualified name.","(plot, contains, line); (line, contains, test)"
"Before Rust 1.8.0, you must use both write and append — the first one allows you to write bytes into a file, the second specifies where the bytes will be written.",
"what it says is that if you assign c1 to c , you move its ownership to c (i.e. you can't access it any longer through c1 , only through c ). This means that all the references to c1 would be no longer valid",
