"('class', 'dependency', 'class')"
"('method', 'dependency', 'class')"
"('method', 'dependency', 'method')"
"('class', 'conversion', 'class')"
"('class', 'similarity', 'class')"
"('method', 'similarity', 'method')"
"('class', 'difference', 'class')"
"('method', 'difference', 'method')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'method')"
"('interface', 'implementation', 'method')"
"('class', 'containment', 'class')"
"('class', 'containment', 'package')"
"('package', 'containment', 'class')"
"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'interface')"
"('method', 'collaboration', 'class')"
"('method', 'collaboration', 'interface')"
"('method', 'comparison', 'method')"
"('method', 'constraint', 'method')"
"('class', 'execution', 'method')"
"('interface', 'execution', 'method')"
"('method', 'execution', 'class')"
"('method', 'execution', 'method')"
"('class', 'access', 'method')"
"('method', 'access', 'class')"
