Language,Question,Body,Ground_Truth,GraphRAG_Recommendation,Is_Correct,Relevant_Entities,Relevant_Communities,Num
Java,java.util.Vector - alternatives,"Previously I would always have thought a Vector was good to use for non-descript objects when length was unknown. As far as I was aware I thought it was thread-safe too

What would change that Vector shouldn't be used anymore, and what is the alternative?",ArrayList,ArrayList,True,Vector | List | Java.Lang.Thread,0 | 1,1
Java,Convert java.util.Date to String,"I want to convert a java.util.Date object to a String in Java.

The format is 2010-05-30 22:15:52",SimpleDateFormat.format,SimpleDateFormat.format,True,Java Date Time | java.util.Date | Java.Util.Date,4 | 36 | 15 | 16 | 18,2
Java,How to convert a Java 8 Stream to an Array?,What is the easiest/shortest way to convert a Java 8 Stream into an array?,toArray(),toArray(),True,Java Stream | Java Stream API | java.io.ByteArrayOutputStream,1 | 2,3
Java,alternative to GrantedAuthorityImpl() class,"I want an alternative to GrantedAuthorityImpl() class. I want this in spring security implementation. GrantedAuthorityImpl() class is deprecated. Hence I want an alternative solution to it. My code :

public Collection<GrantedAuthority> getAuthorities(Integer access) {
    List<GrantedAuthority> authList = new ArrayList<GrantedAuthority>(2);
    
    if (access.compareTo(1) == 0) {
        authList.add(new GrantedAuthorityImpl(""ROLE_ADMIN""));
    }
    else{
        authList.add(new GrantedAuthorityImpl(""ROLE_USER""));
    }
    return authList;
}",SimpleGrantedAuthority,SimpleGrantedAuthority,True,GetAuthorization | java.security.Provider | Protected Access Modifier,0 | 8,4
Java,Is there an interface similar to Callable but with arguments?,"Is there an interface in Java similar to the Callable interface, that can accept an argument to its call method?

Like so:

public interface MyCallable<V> {
  V call(String s) throws Exception;
}
I would rather avoid creating a new type if there already exists something that I can use. Or is there a better strategy to having multiple clients implement and plug in a callable routine?

Copied from here http://www.programmingforums.org/thread27905.html",java.util.function,java.util.function.Function,True,Java Callable | Java Interface | Java Interfaces,0 | 1 | 11,5
Java,Is there something like instanceOf(Class<?> c) in Java?,"I want to check if an object o is an instance of the class C or of a subclass of C.

For instance, if x is of class Point I want x.instanceOf(Point.class) to be true and also x.instanceOf(Object.class) to be true.

I want it to work also for boxed primitive types. For instance, if x is an Integer then x.instanceOf(Integer.class) should be true.

Is there such a thing? If not, how can I implement such a method?",Class.isInstance,`Class.isInstance`,True,Java's built-in classes | classes | Java Classes,0,6
Java,Sortable HashMap-like data structure in Java?,Is there some sort of data structure in Java that resembles a HashMap that can be sorted by key or value? In PHP you can have associative arrays that are sortable. Is there such a thing in Java?,TreeMap,TreeMap,True,java.util.SortedMap | Java Hashtable | Java SortedSet,1 | 2,7
Java,What can I use instead of Set in Java?,"The following code is in JavaScript to check if a pair of numbers in a set are equal to a specific sum.

function hasPairWithSum2(arr, sum){
    const mySet = new Set();
    const len = arr.length;

    for (let i = 0; i < len; i++){
        if (mySet.has(arr[i]))
            return true;

        mySet.add(sum - arr[i]);
    }

    return false;
}
How can I do the same in Java? What is the alternative to Set()?",HashSet,HashSet,True,Java Set | Java.util.Set | java.util.Set,0 | 1,8
Java,How do I efficiently iterate over each entry in a Java Map?,"If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map?

Will the ordering of elements depend on the specific map implementation that I have for the interface?",map.entrySet(),entrySet,True,Java Map interface | Java Map | java.util.SortedMap,1,9
Java,Remove last character of a StringBuilder?,"When you have to loop through a collection and make a string of each data separated by a delimiter, you always end up with an extra delimiter at the end, e.g.

for (String serverId : serverIds) {
  sb.append(serverId);
   sb.append("","");
}
Gives something like : serverId_1, serverId_2, serverId_3,

I would like to delete the last character in the StringBuilder (without converting it because I still need it after this loop).",deleteCharAt,StringBuilder.deleteCharAt,True,StringBuilder | STRINGARRAY | String.replace(),1 | 2 | 3,10
