Text,Result
"The AtomicBoolean class provides you with a boolean variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","['(class, containment, method): (atomicboolean, contains, compareandset)']"
The Java Reader is the base class of all Reader's in the Java IO API.,"['(class, containment, package): (reader, base class of, io)']"
The read() method of a Java BufferedReader returns an int which contains the char value of the next character read.,"['(class, containment, method): (bufferedreader, includes, read)']"
"Second, if the lock is locked, the threads are blocked in the wait() call inside the while(isLocked) loop in the lock() method.","['(method, dependency, method): (wait(), blocked in, lock)']"
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","['(method, modification, class): (compareandset(), set a new value, atomicboolean)']"
The executeQuery() method is used if the stored procedure returns a ResultSet.,"['(method, execution, class): (executequery(), returns, resultset)']"
Here is an example of flushing data written to a Java BufferedWriter by calling its flush() method:,"['(class, execution, method): (bufferedwriter, flushes, flush)']"
"A class can have more than one constructor, although this example just shows one.","['(class, containment, method): (class, have, constructor)']"
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,"['(class, execution, method): (deque, removing the first element, pollfirst)']"
The anonymous class subclasses (extends) SuperClass and overrides the doIt() method.,"['(class, modification, method): (superclass, overrides, doit)']"
"To obtain the result, you call one of the two get() methods on the Future.","['(method, access, class): (get(), call, future)']"
Java NIO has more classes and components than these but the Channel Buffer and Selector forms the core of the API in my opinion,"['(class, Collaboration, class): (channel, forms the core of the api with, buffer)', '(class, Collaboration, class): (channel, forms the core of the api with, selector)', '(class, Collaboration, class): (buffer, forms the core of the api with, selector)']"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"['(class, containment, package): (atomiclongarray, represents, java.util.concurrent.atomic)']"
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","['(class, implementation, interface): (integer, implements, comparable)']"
"There is no package and class name to disturb you when reading the script, and whenever you need the default function all you need to write is ""default(a, b)"", instead of ""com.myapp.util.Util.default(a, b)"".","['(method, dependency, class): (default, relies on, com.myapp.util.util)']"
"The Java SortedSet interface has a method named setSet() which returns another SortedSet with all elements that are greater than or equal to (tailing) a given parameter value, according to the sort order used by the SortedSet.","['(interface, containment, method): (sortedset, has a method named, setset)']"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"['(method, difference, method): (deque.polllast(), is different than, deque.removelast)']"
To decrypt data you would have passed cipher text (encrypted data) into the doFinal() or doUpdate() method instead.,"['(method, preference, method): (dofinal(), favored_over, doupdate)']"
As you saw in the previous section when you register a Channel with a Selector the register() method returns a SelectionKey objects,"['(method, creation, class): (register(), returns, selectionkey)']"
You can use addBatch() and executeBatch() methods to execute batch updates.,"['(method, execution, method): (addbatch(), execute batch updates, executebatch)']"
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"['(interface, implementation, method): (deque, addfirst() method, addfirst)']"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"['(method, difference, method): (poll(), difference, remove)']"
a stop() or pause() method too) then you can no longer create your Runnable implementation with a Java lambda expression,"['(method, limitation, method): (stop(), no longer create, lambda expression)']"
Please keep in mind that if your Runnable implementation needs more than just the run() method (e.g.,"['(interface, implementation, method): (runnable, needs, run)']"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","['(class, execution, method): (bufferedoutputstream, is called automatically, close)']"
"If the Deque is empty, pollFirst() returns null. This is different than removeFirst() which throws an exception if the Deque is empty.","['(method, difference, method): (pollfirst(), returns null if empty, removefirst)']"
In this example a java.util.ArrayList() instance is created inside the call to setSomeList().,"['(class, creation, method): (java.util.arraylist, created inside, setsomelist)']"
"If the Deque is empty, pollLast() returns null. This is different than removeLast() which throws an exception if the Deque is empty.","['(method, difference, method): (polllast(), returns null if empty, removelast)']"
"If the class is marked with the default access modifier, then no other class outside the same Java package can access that class, including its constructors, fields and methods.","['(class, containment, method): (class, includes, constructors)', '(class, containment, method): (class, includes, fields)', '(class, containment, method): (class, includes, methods)', '(class, containment, package): (class, is within, package)']"
"Here is the Car class from before with a single, simple method named getBrand added:","['(class, containment, method): (car, includes, getbrand)']"
java.awt.List is the last line of this example that calls the List stream() method to obtain the Stream representing the elements in the List,"['(class, conversion, class): (java.awt.list, obtain, stream)', '(class, containment, class): (java.awt.list, representing, list)']"
"When you divide classes into multiple Java packages, it becomes easier to figure out where a certain class you are looking for is.","['(package, containment, class): (package, includes, class)']"
Here is an example of writing a cyclic object graph to RION using the RionObjectWriter writeCyclic() method.,"['(class, execution, method): (rionobjectwriter, writecyclic, writecyclic)']"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.","['(method, creation, class): (readmydata(), creates, mydata)']"
Nested Classes and Inheritance The same Java inheritance rules apply to nested classes.,"['(class, containment, class): (nested classes, includes, inheritance)']"
"The formatted() method is only a preview feature that was added together with Java Text Blocks in Java 13, so we do not yet know if it will stay in.","['(method, dependency, class): (formatted(), added together with, text blocks)']"
The missed signals problems is the reason that the FairLock implementation shown in the text Starvation and Fairness has turned the QueueObject class into a semaphore with two methods: doWait() and doNotify().,"['(method, collaboration, method): (dowait(), works_with, donotify)']"
"Then the example calls Files.copy(), passing the two Path instances as parameters.","['(method, execution, class): (files.copy(), passing, path)']"
"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.","['(class, containment, method): (set, contains, size)']"
"The comparison follows the rules for the Comparable interface, meaning the compareTo() method returns:","['(interface, implementation, method): (comparable, follows the rules for, compareto)']"
"The lookingAt() method only matches the regular expression against the beginning of the text, whereas matches() matches the regular expression against the whole text.","['(method, difference, method): (lookingat(), matches the regular expression against the beginning of the text, matches)']"
The Collection interface has two methods to check if a Collection contains one or more certain elements. These are the contains() and containsAll() methods.,"['(interface, containment, method): (collection, includes, contains)', '(interface, containment, method): (collection, includes, containsall)']"
"If there is no more data to read from the underlying Reader, then the BufferedReader's readLine() method will return null .","['(class, containment, method): (bufferedreader, includes, readline)', '(method, dependency, class): (readline(), relies on, reader)']"
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","['(class, implementation, interface): (class, implementing, interface)']"
The Collections reverse() method can reverse the elements in a Java List.,"['(method, modification, class): (collections.reverse(), reverse, list)']"
This also means that threads calling doWait() on the first MyWaitNotify instance risk being awakened by doNotify() calls on the second MyWaitNotify instance.,"['(method, collaboration, method): (dowait(), being awakened by, donotify)']"
"Truck truck = new Truck(); // upcast to Vehicle Vehicle vehicle = truck; // downcast to car again Car car = (Car) vehicle; The Truck object can be upcast to a Vehicle object, but it cannot be downcast to a Car object later.","['(class, conversion, class): (truck, upcast to, vehicle)']"
You can read a Java float from the DataInputStream using its readFloat() method.,"['(class, access, method): (datainputstream, read, readfloat)']"
The instanceof instruction can determine whether a given object is an instance of some class.,"['(method, dependency, class): (instanceof, determine, class)']"
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"['(method, dependency, interface): (collections.sort(), takes as parameter, comparator)']"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","['(class, conversion, class): (simpledateformat, formatting, date)', '(class, conversion, class): (date, formatting, stringbuffer)']"
The String class has several other useful methods than the ones described in this tutorial.,"['(class, containment, method): (string, includes, methods)']"
Here is an example of peeking at the first element of a Java Deque using the peek() method:,"['(class, access, method): (deque, peeking, peek)']"
Here is a Java method override example: public class Vehicle { String licensePlate = null; public void setLicensePlate(String licensePlate) { this.licensePlate = licensePlate; } } public class Car extends Vehicle { public void setLicensePlate(String license) { this.licensePlate = license.toLowerCase(); } } Notice how both the Vehicle class and the Car class defines a method called setLicensePlate().,"['(class, implementation, class): (car, overrides, vehicle)']"
"TreeSet also guarantees the order of the elements when iterated, but the order is the sorting order of the elements. In other words, the order in which the elements whould be sorted if you used a Collections.sort() on a List or array containing these elements. This order is determined either by their natural order (if they implement Comparable), or by a specific Comparator implementation","['(class, containment, class): (treeset, contains elements, list)', '(class, containment, method): (treeset, contains elements, collections.sort)', '(class, implementation, interface): (treeset, order determined by, comparator)', '(class, implementation, class): (treeset, order determined by, list)']"
The Java OutputStreamWriter is a subclass of the Java Writer class.,"['(class, implementation, class): (outputstreamwriter, subclass of, writer)']"
"You can obtain both reference and stamp from an AtomicStampedReference in a single, atomic operation using the get() method.","['(class, access, method): (atomicstampedreference, obtain, get)']"
The PrintWriter class has all the same methods as the PrintStream except for the methods to write raw bytes.,"['(class, difference, class): (printwriter, has all the same methods as, printstream)']"
The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the AtomicStampedReference instance,"['(method, dependency, class): (compareandset(), relies on, atomicstampedreference)']"
"By calling flush() you can assure that any buffered data will be flushed (written) to disk (or network, or whatever else the destination of your OutputStream has).","['(method, execution, class): (flush(), assure, outputstream)']"
