Type Triple
"('method', 'dependency', 'class')"
"('method', 'dependency', 'interface')"
"('class', 'conversion', 'class')"
"('method', 'conversion', 'class')"
"('class', 'preference', 'class')"
"('class', 'implementation', 'interface')"
"('interface', 'implementation', 'method')"
"('class', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('class', 'containment', 'method')"
"('class', 'containment', 'package')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'interface')"
"('package', 'containment', 'class')"
"('class', 'modification', 'method')"
"('method', 'modification', 'class')"
"('class', 'creation', 'class')"
"('class', 'creation', 'method')"
"('method', 'creation', 'class')"
"('class', 'difference', 'class')"
"('method', 'difference', 'method')"
"('class', 'execution', 'method')"
"('method', 'execution', 'class')"
"('method', 'execution', 'method')"
"('class', 'access', 'method')"
"('method', 'access', 'class')"
"('method', 'limitation', 'class')"
"('method', 'limitation', 'method')"
"('method', 'equivalence', 'method')"
"('class', 'preference', 'interface')"
"('class', 'equivalence', 'interface')"
"('class', 'equivalence', 'method')"
