text_id,text,retrieved_context_triplets,retrieved_examples,extracted_triplets,triplet_count,kb_size_before,kb_size_after
45,The Collections reverse() method can reverse the elements in a Java List.,"(Collections, part_of, java.util.Collections)
(java.util.Collections, contains, utility methods)
(java.util.Collections, used_for, working with collections)
(removeAll(), removes_elements_from, Collection)
(remove(), removes_element_from, Collection)","[Example 1]
Text: The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.
Triplets: (Collections, has_method, binarySearch()) | (binarySearch(), used_for, searching) | (binarySearch(), operates_on, List)

[Example 2]
Text: Here is a java code example of calling the Collections addAll() method:
Triplets: (Collections, has_method, addAll())

[Example 3]
Text: The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .
Triplets: (Collection, similar_to, List) | (Collection, similar_to, Set)","(collections.reverse(), reverse, list)",3,85,88
68,"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","(Comparable, part_of, java.lang.Comparable)
(class, implements, Java Comparable interface)
(java.lang.Comparable, represents, object)
(compareTo(), returns, int value)
(classes, implements, Java Comparable interface)","[Example 1]
Text: The Java Comparable compareTo() method takes a single object as parameter and returns an int value.
Triplets: (compareTo(), has_method, takes a single object as parameter) | (compareTo(), returns, int value)

[Example 2]
Text: You can also implement the Java Comparable interface yourself, to make your own classes comparable.
Triplets: (Java Comparable interface, can_be, implemented) | (classes, can_be, comparable) | (classes, implements, Java Comparable interface)

[Example 3]
Text: The Java Comparable interface,java.lang.Comparable, represents an object which can be compared to other objects.
Triplets: (Comparable, part_of, java.lang.Comparable) | (java.lang.Comparable, represents, object) | (object, can_be, compared to other objects)","(Java Integer class, implements, Comparable interface) | (Java Integer class, has_method, compareTo())",2,125,127
77,"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","(Java Integer class, has_method, compareTo())
(compareTo() method parameter, changes_from, Object)
(compareTo(), returns, 1)
(compareTo(), has_method, takes a single object as parameter)
(compareTo(), returns, -1)","[Example 1]
Text: The Java Comparable compareTo() method takes a single object as parameter and returns an int value.
Triplets: (compareTo(), has_method, takes a single object as parameter) | (compareTo(), returns, int value)

[Example 2]
Text: By specifying a type parameter when implementing the Comparable interface, the compareTo() method parameter changes from Object to whatever type you have specified.
Triplets: (Comparable interface, has_method, compareTo()) | (compareTo() method parameter, changes_from, Object)

[Example 3]
Text: In the following section I will explain how the compareTo() method works.
Triplets: (compareTo(), has_method, works)","(compareTo(), should_throw, NullPointerException)",1,137,138
96,You add elements to the beginning end of a Deque using the add() method.,"(java.util.Deque, represents, double ended queue)
(addAll(), adds_elements_to, Collection)
(add(), adds_element_to, Collection)
(double ended queue, allows, add elements to both ends)
(Deque, can_be, instantiated)","[Example 1]
Text: The Java Deque interface, java.util.Deque, represents a double ended queue, meaning a queue where you can add and remove elements to and from both ends of the queue.
Triplets: (java.util.Deque, represents, double ended queue) | (double ended queue, allows, add elements to both ends) | (double ended queue, allows, remove elements from both ends)

[Example 2]
Text: Adding an element to a Collection is done via the add() method.
Triplets: (Collection, has_method, add())

[Example 3]
Text: Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.
Triplets: (Deque, can_be, instantiated) | (classes, implements, Deque interface)","(deque, add elements to, add)",1,168,169
104,To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"(addLast(), adds, element to end of Deque)
(element, cannot_be_added_to, Deque)
(java.util.Deque, represents, double ended queue)
(addLast(), throws, exception)
(element, cannot_be_inserted_into, Deque)","[Example 1]
Text: You add elements to the beginning end of a Deque using the add() method.
Triplets: (Deque, has_method, add())

[Example 2]
Text: The addLast() method also adds an element to the end (tail) of a Java Deque.
Triplets: (addLast(), adds, element to end of Deque)

[Example 3]
Text: If the element cannot be inserted into the Deque, the add() method will throw an exception.
Triplets: (add(), throws, exception) | (element, cannot_be_inserted_into, Deque)","(deque, used with, addfirst)",1,178,179
119,Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"(push(), adds, element to beginning of Deque)
(addFirst(), adds, element to beginning of Deque)
(element, cannot_be_added_to, beginning of Deque)
(java.util.Deque, represents, double ended queue)
(element, cannot_be_added_to, end of Deque)","[Example 1]
Text: The push() method adds an element to the beginning (head) of a Java Deque method.
Triplets: (push(), adds, element to beginning of Deque)

[Example 2]
Text: To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.
Triplets: (addFirst(), adds, element to beginning of Deque)

[Example 3]
Text: You add elements to the beginning end of a Deque using the add() method.
Triplets: (Deque, has_method, add())","(deque, adding an element, push)",1,190,190
121,Here is an example of peeking at the first element of a Java Deque using the peek() method:,"(peek(), returns, first element from beginning of Deque)
(java.util.Deque, represents, double ended queue)
(addFirst(), adds, element to beginning of Deque)
(offerFirst(), adds, element to beginning of Deque)
(LinkedList, implements, Deque)","[Example 1]
Text: The peek() method returns the first element from the beginning (head) of a Java Deque without removing it.
Triplets: (peek(), returns, first element from beginning of Deque)

[Example 2]
Text: The push() method adds an element to the beginning (head) of a Java Deque method.
Triplets: (push(), adds, element to beginning of Deque)

[Example 3]
Text: The addLast() method also adds an element to the end (tail) of a Java Deque.
Triplets: (addLast(), adds, element to end of Deque)","(peek(), used_for, peeking at first element of Deque)",1,191,192
133,Here is an example of removing the first element a Java Deque using the remove() method:,"(remove(), removes, first element of Java Deque)
(remove(), returns, element removed from Deque)
(getFirst(), returns, first element from beginning of Deque)
(addFirst(), adds, element to beginning of Deque)
(offerFirst(), adds, element to beginning of Deque)","[Example 1]
Text: The remove() method removes the first element of a Java Deque.
Triplets: (remove(), removes, first element of Java Deque)

[Example 2]
Text: The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.
Triplets: (getFirst(), returns, first element from beginning of Deque)

[Example 3]
Text: The remove() method returns the element that is removed from the Deque.
Triplets: (remove(), returns, element removed from Deque)","(remove(), removes, first element of Java Deque)",1,201,201
136,Here is an example of removing the first element of a Java Deque using the removeFirst() method:,"(remove(), removes, first element of Java Deque)
(removeFirst(), removes, first element from Deque)
(remove(), returns, element removed from Deque)
(getFirst(), returns, first element from beginning of Deque)
(addFirst(), adds, element to beginning of Deque)","[Example 1]
Text: The remove() method removes the first element of a Java Deque.
Triplets: (remove(), removes, first element of Java Deque)

[Example 2]
Text: The removeFirst() method also removes the first element from a Deque - the element at the head of the Deque.
Triplets: (removeFirst(), removes, first element from Deque)

[Example 3]
Text: The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.
Triplets: (getFirst(), returns, first element from beginning of Deque)","(removeFirst(), removes, first element of Java Deque)",1,204,205
138,The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,"(remove(), returns, element removed from Deque)
(remove(), removes, first element of Java Deque)
(removeFirst(), removes, first element of Java Deque)
(addLast(), adds, element to end of Deque)
(remove(), returns, false)","[Example 1]
Text: The remove() method returns the element that is removed from the Deque.
Triplets: (remove(), returns, element removed from Deque)

[Example 2]
Text: The remove() method removes the first element of a Java Deque.
Triplets: (remove(), removes, first element of Java Deque)

[Example 3]
Text: The removeFirst() method also removes the first element from a Deque - the element at the head of the Deque.
Triplets: (removeFirst(), removes, first element from Deque)","(removeLast(), removes, last element of Deque)",1,206,207
