Text,Result
"second, if the lock is locked, the threads are blocked in the wait() call inside the while(islocked) loop in the lock() method.","[('lock', 'contains method', 'lock()'), ('lock()', 'contains call', 'wait()')]"
"the method compareandset() allows you to compare the current value of the atomicboolean to an expected value, and if current value is equal to the expected value, a new value can be set on the atomicboolean.","[('AtomicBoolean', 'has method', 'AtomicBoolean.compareAndSet()')]"
the executequery() method is used if the stored procedure returns a resultset.,"[('executeQuery()', 'returns', 'ResultSet')]"
here is an example of flushing data written to a java bufferedwriter by calling its flush() method:,"[('BufferedWriter', 'has method', 'BufferedWriter.flush()')]"
"a class can have more than one constructor, although this example just shows one.",
here is an example of removing the first element from a java deque using the pollfirst() method:,"[('Deque', 'method', 'Deque.pollFirst()')]"
the anonymous class subclasses (extends) superclass and overrides the doit() method.,"[('anonymous class', 'overrides', 'SuperClass.doIt()'), ('anonymous class', 'subclasses', 'SuperClass')]"
"to obtain the result, you call one of the two get() methods on the future.","[('Future', 'has method', 'Future.get()')]"
java nio has more classes and components than these but the channel buffer and selector forms the core of the api in my opinion,"[('Java NIO', 'has class', 'Selector'), ('Java NIO', 'has class', 'Buffer'), ('Java NIO', 'has class', 'Channel')]"
the java atomiclongarray class (java.util.concurrent.atomic.atomiclongarray) represents an array of long .,"[('AtomicLongArray', 'is a class in', 'java.util.concurrent.atomic')]"
"the java integer class implements the comparable interface, so you can call compareto() here is an example:","[('Integer', 'method', 'compareTo()'), ('Integer', 'implements', 'Comparable')]"
"there is no package and class name to disturb you when reading the script, and whenever you need the default function all you need to write is ""default(a, b)"", instead of ""com.myapp.util.util.default(a, b)"".",
"the java sortedset interface has a method named setset() which returns another sortedset with all elements that are greater than or equal to (tailing) a given parameter value, according to the sort order used by the sortedset.","[('SortedSet', 'has method', 'SortedSet.setSet()'), ('SortedSet.setSet()', 'returns', 'SortedSet')]"
deque.polllast() is different than removelast() which throws an exception if the deque is empty,"[('Deque', 'has method', 'removeLast()'), ('Deque', 'has method', 'pollLast()')]"
to decrypt data you would have passed cipher text (encrypted data) into the dofinal() or doupdate() method instead.,"[('doFinal()', 'method of', 'decryption'), ('doUpdate()', 'method of', 'decryption')]"
as you saw in the previous section when you register a channel with a selector the register() method returns a selectionkey objects,"[('Channel', 'method', 'register()'), ('register()', 'returns', 'SelectionKey')]"
you can use addbatch() and executebatch() methods to execute batch updates.,"[('executeBatch()', 'used to', 'execute batch updates'), ('addBatch()', 'used to', 'execute batch updates')]"
to add an element at the beginning (head) instead of the end of a java deque you call the addfirst() method instead.,"[('Deque', 'method', 'Deque.addFirst()')]"
here are two examples of taking an element from a java queue using its poll() and remove() methods:,"[('Queue', 'has method', 'Queue.remove()'), ('Queue', 'has method', 'Queue.poll()')]"
a stop() or pause() method too) then you can no longer create your runnable implementation with a java lambda expression,"[('Runnable', 'has method', 'stop()'), ('Runnable', 'has method', 'pause()')]"
please keep in mind that if your runnable implementation needs more than just the run() method (e.g.,
"once the try block is exited, the close() method of the bufferedoutputstream is called automatically, because the bufferedoutputstream was declared inside the parentheses of the try block.","[('BufferedOutputStream', 'has method', 'BufferedOutputStream.close()')]"
"if the deque is empty, pollfirst() returns null. this is different than removefirst() which throws an exception if the deque is empty.","[('pollFirst()', 'returns', 'null'), ('Deque', 'method', 'pollFirst()'), ('removeFirst()', 'throws', 'exception'), ('Deque', 'method', 'removeFirst()')]"
in this example a java.util.arraylist() instance is created inside the call to setsomelist().,"[('java.util.ArrayList', 'created inside', 'setSomeList()')]"
"if the deque is empty, polllast() returns null. this is different than removelast() which throws an exception if the deque is empty.","[('Deque', 'method', 'pollLast()'), ('Deque', 'method', 'removeLast()'), ('pollLast()', 'returns', 'nan'), ('removeLast()', 'throws', 'exception')]"
"if the class is marked with the default access modifier, then no other class outside the same java package can access that class, including its constructors, fields and methods.",
"here is the car class from before with a single, simple method named getbrand added:","[('Car', 'has method', 'Car.getBrand()')]"
java.awt.list is the last line of this example that calls the list stream() method to obtain the stream representing the elements in the list,"[('List.stream()', 'returns', 'Stream'), ('java.awt.List', 'calls method', 'List.stream()')]"
"when you divide classes into multiple java packages, it becomes easier to figure out where a certain class you are looking for is.",
here is an example of writing a cyclic object graph to rion using the rionobjectwriter writecyclic() method.,"[('RionObjectWriter', 'method', 'RionObjectWriter.writeCyclic()')]"
"it is now up to the caller of the readmydata() method to decide if an existing mydata instance should be reused, or if a new instance should be created.","[('readMyData()', 'method of', 'MyData')]"
nested classes and inheritance the same java inheritance rules apply to nested classes.,
"the formatted() method is only a preview feature that was added together with java text blocks in java 13, so we do not yet know if it will stay in.","[('formatted()', 'added together with', 'Java Text Blocks')]"
the missed signals problems is the reason that the fairlock implementation shown in the text starvation and fairness has turned the queueobject class into a semaphore with two methods: dowait() and donotify().,"[('FairLock', 'contains', 'QueueObject'), ('QueueObject', 'has method', 'doWait()'), ('QueueObject', 'is a', 'class'), ('QueueObject', 'has method', 'doNotify()')]"
"then the example calls files.copy(), passing the two path instances as parameters.","[('Files', 'has method', 'Files.copy()')]"
"after running this java code the isempty variable will contain the value true, because the set size() method returns 0 - because the set in the example contains no elements.","[('Set', 'method', 'Set.size()')]"
"the comparison follows the rules for the comparable interface, meaning the compareto() method returns:",
"the lookingat() method only matches the regular expression against the beginning of the text, whereas matches() matches the regular expression against the whole text.","[('matches()', 'method of', 'regular expression'), ('lookingAt()', 'method of', 'regular expression')]"
the collection interface has two methods to check if a collection contains one or more certain elements. these are the contains() and containsall() methods.,"[('Collection', 'has method', 'Collection.containsAll()'), ('Collection', 'has method', 'Collection.contains()')]"
"if there is no more data to read from the underlying reader, then the bufferedreader's readline() method will return null .","[('BufferedReader', 'has method', 'BufferedReader.readLine()'), ('BufferedReader.readLine()', 'returns', 'nan')]"
"as you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.",
the collections reverse() method can reverse the elements in a java list.,"[('Collections.reverse()', 'operates on', 'List'), ('Collections', 'has method', 'Collections.reverse()')]"
this also means that threads calling dowait() on the first mywaitnotify instance risk being awakened by donotify() calls on the second mywaitnotify instance.,"[('MyWaitNotify', 'has method', 'MyWaitNotify.doWait()'), ('MyWaitNotify', 'has method', 'MyWaitNotify.doNotify()')]"
"truck truck = new truck(); // upcast to vehicle vehicle vehicle = truck; // downcast to car again car car = (car) vehicle; the truck object can be upcast to a vehicle object, but it cannot be downcast to a car object later.",
you can read a java float from the datainputstream using its readfloat() method.,"[('DataInputStream', 'has method', 'DataInputStream.readFloat()')]"
the instanceof instruction can determine whether a given object is an instance of some class.,
the first example of a higher order function is the collections.sort() method which takes a comparator as parameter.,"[('Collections.sort()', 'takes parameter', 'Comparator'), ('Collections', 'has method', 'Collections.sort()')]"
"the java simpledateformat class is also capable of formatting a date object into a stringbuffer, instead of returning an individual string with the date formatted.","[('SimpleDateFormat', 'returns', 'String'), ('SimpleDateFormat', 'formats', 'Date'), ('SimpleDateFormat', 'formats into', 'StringBuffer')]"
the string class has several other useful methods than the ones described in this tutorial.,"[('String', 'has method', 'String.method()')]"
here is an example of peeking at the first element of a java deque using the peek() method:,"[('Deque', 'method', 'Deque.peek()')]"
here is a java method override example: public class vehicle { string licenseplate = null; public void setlicenseplate(string licenseplate) { this.licenseplate = licenseplate; } } public class car extends vehicle { public void setlicenseplate(string license) { this.licenseplate = license.tolowercase(); } } notice how both the vehicle class and the car class defines a method called setlicenseplate().,"[('Vehicle', 'defines method', 'Vehicle.setLicensePlate()'), ('Car', 'extends', 'Vehicle'), ('Car', 'defines method', 'Car.setLicensePlate()')]"
"treeset also guarantees the order of the elements when iterated, but the order is the sorting order of the elements. in other words, the order in which the elements whould be sorted if you used a collections.sort() on a list or array containing these elements. this order is determined either by their natural order (if they implement comparable), or by a specific comparator implementation","[('elements', 'determined by', 'natural order'), ('Collections.sort()', 'used on', 'List'), ('elements', 'determined by', 'Comparator implementation'), ('TreeSet', 'guarantees', 'order of the elements'), ('Collections.sort()', 'used on', 'array')]"
the java outputstreamwriter is a subclass of the java writer class.,"[('OutputStreamWriter', 'subclass of', 'Writer')]"
"you can obtain both reference and stamp from an atomicstampedreference in a single, atomic operation using the get() method.","[('AtomicStampedReference', 'has method', 'AtomicStampedReference.get()')]"
the printwriter class has all the same methods as the printstream except for the methods to write raw bytes.,"[('PrintStream', 'has method', 'PrintStream.methodName()'), ('PrintWriter', 'has method', 'PrintWriter.methodName()')]"
the compareandset() method can compare the reference stored in the atomicstampedreference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the atomicstampedreference instance,"[('AtomicStampedReference', 'has method', 'equals()'), ('AtomicStampedReference', 'has method', 'compareAndSet()')]"
"by calling flush() you can assure that any buffered data will be flushed (written) to disk (or network, or whatever else the destination of your outputstream has).",
calling addandget() is also an atomic operation (like all operations on the atomicintegerarray).,"[('AtomicIntegerArray', 'has method', 'AtomicIntegerArray.addAndGet()')]"
"here is diagram illustrating a class called vehicle, which has two subclasses called car and truck.","[('Vehicle', 'has subclass', 'Car'), ('Vehicle', 'has subclass', 'Truck')]"
jca is structured around some central general purpose classes and interfaces.,
the static method matches() creates a new matcher and returns it.,"[('matches()', 'creates', 'matcher'), ('matches()', 'returns', 'matcher')]"
"the servicemock instance passed to the getmock() method should be the mock object obtained from the mockservice factory, using the container.instance(""mockservice"") method call.",
"however, the cache class may choose to make the cacheentry class visible to the outside world, so they can access more than just the cached value (for instance information about when the value was last refreshed etc.","[('Cache', 'contains', 'CacheEntry')]"
it is also possible to create other types of keystore instance by passing a different parameter to the getinstance() method.,"[('KeyStore', 'method', 'getInstance()')]"
"it will explain the basics of java reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",
the java map interface has a getordefault() method which can return a default value supplied by you - in case no value is stored in the map by the given key.,"[('Map', 'has method', 'Map.getOrDefault()')]"
"notice too, that the compareto() method should throw a nullpointerexception if the parameter object is null.","[('compareTo()', 'throws', 'NullPointerException')]"
finally you can access the localized values in the resourcebundle via its different getstring() and getobject() etc.,"[('ResourceBundle', 'has method', 'ResourceBundle.getString()'), ('ResourceBundle', 'has method', 'ResourceBundle.getObject()')]"
using java reflection you can inspect the constructors of classes and instantiate objects at runtime.,"[('Java Reflection', 'inspects', 'constructors'), ('Java Reflection', 'instantiates', 'objects')]"
"the reentrantlock hasqueuedthreads() method returns true if any threads are queued up waiting to lock this lock, and false if not.","[('ReentrantLock', 'has method', 'ReentrantLock.hasQueuedThreads()')]"
"if you have multiple blocks of data to include in the same message digest, call the update() method and finish off with a call to digest().","[('update()', 'called in', 'message digest'), ('digest()', 'called after', 'update()')]"
reading a byte from a java randomaccessfile is done using its read() method.,"[('RandomAccessFile', 'has method', 'RandomAccessFile.read()')]"
"non-static nested classes (inner classes) have access to the fields of the enclosing class, even if they are declared private.",
here is an example of removing the first element a java deque using the remove() method:,"[('Deque', 'method', 'remove()')]"
here is an example that shows how to create a localdatetime object via the now() method:,"[('LocalDateTime', 'created via method', 'LocalDateTime.now()')]"
the sortedmap interface has a method named headmap() which returns a new map which contains the first elements of the sortedmap according to the sort order used.,"[('SortedMap.headMap()', 'returns', 'Map'), ('SortedMap', 'has method', 'SortedMap.headMap()')]"
the atomicboolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.atomicboolean,"[('java.util.concurrent.atomic.AtomicBoolean', 'full class name', 'AtomicBoolean'), ('AtomicBoolean', 'located in', 'java.util.concurrent.atomic')]"
only the full java sdk contains the java compiler which turns your .java source files into byte code .class files.,
the rionwriter contains a method named writebytes() which can be used to write a rion bytes field to the destination byte array.,"[('RionWriter', 'contains method', 'RionWriter.writeBytes()')]"
here is an example of obtaining the current position of a randomaccessfile using its getfilepointer() method:,"[('RandomAccessFile', 'has method', 'RandomAccessFile.getFilePointer()')]"
"notice that the get() method returns a java object, so we have to cast it to a string (because we know the value is a string).",
here is an example of obtaining the comparator used by a sortedset via the comparator() method:,"[('SortedSet', 'uses method', 'SortedSet.comparator()')]"
the queueobject.dowait() call is placed outside the synchronized(this) block to avoid nested monitor lockout so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method,"[('lock', 'has method', 'unlock()'), ('queueObject', 'has method', 'queueObject.doWait()'), ('lock', 'has method', 'lock()')]"
if a thread calls lock() twice without calling unlock() in between the second call to lock() will block,"[('thread', 'calls', 'unlock()'), ('thread', 'calls', 'lock()'), ('lock()', 'blocks', 'thread')]"
it is worth noting that both unlockread() and unlockwrite() calls notifyall() rather than notify().,"[('unlockRead()', 'calls', 'notifyAll()'), ('unlockWrite()', 'calls', 'notifyAll()')]"
"in other words, the calling thread must call wait() or notify() from inside a synchronized block.","[('Thread', 'calls', 'wait()'), ('Thread', 'calls', 'notify()')]"
the files.exists() method checks if a given path exists in the file system.,"[('Files', 'has method', 'Files.exists()'), ('Files.exists()', 'checks', 'Path')]"
"you don't have to define a constructor for a class, but if you don't define any constructor, the java compiler will insert a default, no-argument constructor for you.",
"use integer.valueof(1) multiple times as monitor object), then you risk that those synchronized blocks all get synchronized on the same object.",
after running this code the size variable should contain the value 3 - because the queue contains 3 elements at the time size() is called.,"[('Queue', 'contains method', 'Queue.size()')]"
java.io.inputstreamreader example creates a fileinputstream and wraps it in a inputstreamreader,"[('java.io.InputStreamReader', 'creates', 'FileInputStream'), ('FileInputStream', 'wrapped in', 'InputStreamReader')]"
"this speeds up object mapping cache lookups because the hashcode() method returns this int id, and because equals() also only compares int id's, instead of class objects, table names etc.","[('hashCode()', 'returns', 'int id'), ('equals()', 'compares', 'int id')]"
if your java sortedmap was created using a comparator you can obtain the comparator used via the sortedmap comparator() method,"[('SortedMap', 'created using', 'Comparator'), ('SortedMap', 'method', 'comparator()')]"
the atomicreferencearray in the java.util.concurrent.atomic package is an array of object references which can be updated atomically.,"[('AtomicReferenceArray', 'contained in package', 'java.util.concurrent.atomic')]"
"as parameter to the arrays.sort() method we pass the employee array, and a comparator implementation which can determine the order of employee objects.","[('Arrays.sort()', 'takes parameter', 'employee array'), ('Comparator implementation', 'determines order of', 'Employee'), ('Arrays', 'has method', 'Arrays.sort()'), ('Arrays.sort()', 'takes parameter', 'Comparator implementation')]"
" if the deque is empty, poll() returns null. this is different than remove() which throws an exception if the deque is empty. ",
if you look at the example in the previous section imagine what happens if an exception is thrown between the call to lock.lock() and lock.unlock(),"[('lock', 'has method', 'lock.lock()'), ('lock', 'has method', 'lock.unlock()')]"
after running this java example the removedelement variable will point to the string object element 2 - since that element was the last element of the deque when removelast() was called.,"[('Deque', 'method', 'removeLast()')]"
"the channel returned by the selectionkey.channel() method should be cast to the channel you need to work with, e.g a serversocketchannel or socketchannel etc.","[('SelectionKey', 'has method', 'SelectionKey.channel()')]"
java allows this because the class myinterfaceimpl implements the myinterface interface.,"[('MyInterfaceImpl', 'implements', 'MyInterface')]"
"once allocated, no other allocate() call can allocate the same block until it has been freed.",
"but, since the thread waiting in lock() has not yet called queueobject.wait(), the call to queueobject.notify() passes into oblivion.",
"if you need to insert another row, explicitly call movetoinsertrow() to signal this to the resultset.","[('ResultSet', 'has method', 'ResultSet.moveToInsertRow()')]"
inside the inner() method the thread will again try to lock the lock instance.,"[('inner()', 'calls', 'Lock')]"
you can convert a java list to a java array using the list toarray() method.,"[('List', 'method', 'Array')]"
"more precisely, a java enum type is a special kind of java class.",
the read() and write() calls on the streams are blocking meaning if you try to use the same thread to both read and write this may result in the thread deadlocking itself,
as you can see the readnumberfromurl() needs to declare throwing both the badurlexception and the badnumberexception that are thrown from the readdatafromurl() and converdata() methods.,"[('readNumberFromUrl()', 'throws', 'BadUrlException'), ('converData()', 'throws', 'BadNumberException'), ('readNumberFromUrl()', 'throws', 'BadNumberException'), ('readDataFromUrl()', 'throws', 'BadUrlException')]"
"in fact, a subclass constructor is required to call one of the constructors in the superclass as the very first action inside the constructor body.",
"the waiting thread would call dowait(), and the notifying thread would call donotify().","[('waiting thread', 'calls', 'doWait()'), ('notifying thread', 'calls', 'doNotify()')]"
you may also be able to use the stringreader and stringwriter classes in your unit tests.,"[('StringWriter', 'used in', 'unit tests'), ('StringReader', 'used in', 'unit tests')]"
here is an example of adding an element to the beginning of a java deque using the push() method:,"[('Deque', 'method', 'Deque.push()')]"
java.io.chararrayreader is also possible to write data to an bytearrayoutputstream or chararraywriter,"[('java.io.CharArrayReader', 'related to', 'ByteArrayOutputStream'), ('java.io.CharArrayReader', 'related to', 'CharArrayWriter')]"
the removelast() method removes the last element of a deque - meaning the element at the tail of the deque.,"[('Deque', 'has method', 'Deque.removeLast()')]"
"the httpservlet class has methods you can override for each http method (get, post etc.).","[('HttpServlet', 'has method', 'HttpServlet.doPost()'), ('HttpServlet', 'has method', 'HttpServlet.doGet()')]"
the walkfiletree() method takes a path instance and a filevisitor as parameters.,"[('walkFileTree()', 'takes parameter', 'FileVisitor'), ('walkFileTree()', 'takes parameter', 'Path')]"
here is an example of writing a java calendar as a rion utc field to the destination byte array using the rionwriter writeutc() method:,"[('RionWriter', 'method', 'writeUtc()')]"
"if not, it processes that char and continues reading until -1 is returned from the bufferedreader read() method.","[('BufferedReader', 'has method', 'BufferedReader.read()')]"
"you may be tempted then to always call notifyall() instead notify(), but this is a bad idea performance wise.","[('notifyAll()', 'alternative to', 'notify()')]"
here is an example of obtaining the certpath type via gettype():,
the java inputstreamreader class java.io.inputstreamreader wraps a java inputstream thereby turning the byte based inputstream into a character based reader,"[('java.io.InputStreamReader', 'wraps', 'InputStream'), ('InputStream', 'turned into', 'Reader')]"
the assertnull() and assertnotnull() methods test a single variable to see if it is null or not null.,"[('assertNotNull()', 'tests', 'variable'), ('assertNull()', 'tests', 'variable')]"
"what matters is, that once the while loop ends, and you are done writing data to the outputstream, its close() method is called, which closes the outputstream .","[('OutputStream', 'has method', 'OutputStream.close()')]"
the package structure (directory structure) from the source directory will be preserved under the class directory.,
the second method of reading data from an asynchronousfilechannel is to call the read() method version that takes a completionhandler as a parameter.,"[('AsynchronousFileChannel', 'has method', 'AsynchronousFileChannel.read()'), ('AsynchronousFileChannel.read()', 'takes parameter', 'CompletionHandler')]"
"assuming that the myservice class implements an interface called iservice, you can create a mock implementation of the iservice interface using this code:","[('MyService', 'implements', 'IService'), ('IService', 'interface of', 'MyService')]"
"you will typically also get more help from your ide's code completion when writing it, because the ide will recognize both the doprocess() and process() methods.","[('IDE', 'recognize', 'doProcess()'), ('IDE', 'recognize', 'process()')]"
"you have to implement the filevisitor interface yourself, and pass an instance of your implementation to the walkfiletree() method.","[('FileVisitor', 'implemented by', 'your implementation'), ('your implementation', 'passed to', 'walkFileTree()')]"
the blockingqueue put() method inserts the element into the blockingqueue if it has space for it internally.,"[('BlockingQueue', 'has method', 'BlockingQueue.put()'), ('BlockingQueue.put()', 'inserts element into', 'BlockingQueue')]"
"the compareandset() method can compare the reference stored in the atomicstampedreference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the atomicstampedreference instance.","[('AtomicStampedReference', 'has method', 'equals()'), ('AtomicStampedReference', 'has method', 'compareAndSet()')]"
"the objects.equals(o, element) statement is used to check if the parameter object o matches a given element in the blockingqueue.","[('BlockingQueue', 'contains element', 'element'), ('Objects', 'has method', 'Objects.equals()')]"
"notice how the calculate() method both locks the calculator instance's lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","[('Calculator.calculate()', 'calls method', 'Calculator.subtract()'), ('Calculator', 'has method', 'Calculator.calculate()'), ('Calculator.calculate()', 'calls method', 'Calculator.add()')]"
"this little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",
the second way you can iterate the elements of a java iterable is by obtaining a java iterator from it by calling the iterable iterator() method.,"[('Iterable.iterator()', 'returns', 'Iterator'), ('Iterable', 'has method', 'Iterable.iterator()')]"
the calls to myunit.getthesameobject() are inlined into the assertsame() and assertnotsame() method calls.,"[('myUnit', 'method', 'getTheSameObject()'), ('assertNotSame()', 'contains', 'myUnit.getTheSameObject()'), ('assertSame()', 'contains', 'myUnit.getTheSameObject()')]"
"the java.util.concurrent.concurrentnavigablemap class is a java.util.navigablemap with support for concurrent access, and which has concurrent access enabled for its submaps.","[('java.util.concurrent.ConcurrentNavigableMap', 'is a', 'java.util.NavigableMap')]"
you add elements to the beginning end of a deque using the add() method.,"[('Deque', 'has method', 'Deque.add()')]"
when the thread calling lock() right after calls queueobject.wait() it will remain blocked until some other thread calls unlock() which may never happen,
"one way to solve this problem would be to create a common superclass for the vehicle and driver class, which has the storage and serialization methods.","[('common superclass', 'has method', 'serialization()'), ('Vehicle', 'is a subclass of', 'common superclass'), ('common superclass', 'has method', 'storage()'), ('Driver', 'is a subclass of', 'common superclass')]"
"the java stream findfirst() method finds the first element in the stream, if any elements are present in the stream.","[('Stream', 'has method', 'Stream.findFirst()')]"
you can set the value of an atomicboolean using the set() method.,"[('AtomicBoolean', 'has method', 'AtomicBoolean.set()')]"
the only difference is that you call begintransactionscope() and endtransactionscope() instead.,"[('beginTransactionScope()', 'is called before', 'endTransactionScope()')]"
the number of entries in a java map is also referred to as the map size - hence the method name size() .,"[('Map', 'has method', 'Map.size()')]"
"the compareandset() method can compare the reference stored in the atomicreference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the atomicreference instance.","[('AtomicReference', 'has method', 'compareAndSet()'), ('AtomicReference', 'has method', 'equals()')]"
here is an example of obtaining the last key of a sortedmap via its lastkey() method:,"[('SortedMap', 'has method', 'SortedMap.lastKey()')]"
you can obtain the log level of a logger using the getlevel() method:,"[('Logger', 'has method', 'Logger.getLevel()')]"
by calling iterator() you can obtain an iterator from the given collection.,"[('Collection', 'has method', 'Collection.iterator()')]"
"if multiple threads are awakened using notifyall() only one awakened thread at a time can exit the wait() method, since each thread must obtain the lock on the monitor object in turn before exiting wait().","[('thread', 'must obtain', 'lock'), ('multiple threads', 'exit', 'wait()'), ('notifyAll()', 'awakens', 'multiple threads'), ('lock', 'on', 'monitor object')]"
"the atomicboolean class is located in the java.util.concurrent.atomic package, so the full class name is java.util.concurrent.atomic.atomicboolean .","[('AtomicBoolean', 'located in', 'java.util.concurrent.atomic'), ('java.util.concurrent.atomic', 'contains class', 'AtomicBoolean')]"
the atomicstampedreference also contains a getstamp() method which can be used to obtain the internally stored stamp.,"[('AtomicStampedReference', 'contains method', 'AtomicStampedReference.getStamp()')]"
you can read a java long from the datainputstream using its readlong() method.,"[('DataInputStream', 'has method', 'DataInputStream.readLong()')]"
"though the error may seem the same to method1() no matter which of method2() and method3() that called it, this may important to know for the developer investigating the error.","[('method2()', 'calls', 'method1()'), ('method3()', 'calls', 'method1()')]"
you can write data to the tcp connection via the netsocket write() method.,"[('NetSocket', 'has method', 'NetSocket.write()')]"
this is true even if the subclass is not located in the same package as the superclass.,
"the java stream allmatch() method is a terminal operation that takes a single predicate as parameter, starts the internal iteration of elements in the stream, and applies the predicate parameter to each element.","[('Stream', 'method', 'Stream.allMatch()')]"
"again, here the first() and next() methods return the unicode index of the found word boundary.","[('next()', 'returns', 'unicode index'), ('first()', 'returns', 'unicode index')]"
"this class has a compareandset() function which will compare the value of the atomicboolean instance to an expected value, and if has the expected value, it swaps the value with a new value.","[('AtomicBoolean', 'has method', 'AtomicBoolean.compareAndSet()')]"
notice how the readdatafromurl() method no longer declares that it throws badurlexception.,"[('readDataFromUrl()', 'throws', 'BadUrlException')]"
"as mentioned earlier, the datainputstream class is often used together with a dataoutputstream.","[('DataInputStream', 'used together with', 'DataOutputStream')]"
fairlock creates a new instance of queueobject and enqueue it for each thread calling lock().,"[('QueueObject', 'used by', 'FairLock.lock()'), ('FairLock', 'creates', 'QueueObject')]"
by walking through all directories and deleting all files (inside visitfile()) in each directory and afterwards delete the directory itself (inside postvisitdirectory()) you can delete a directory with all subdirectories and files,"[('visitFile()', 'is used in', 'deleting all files'), ('postVisitDirectory()', 'is used in', 'delete the directory itself')]"
the getresourcebundle() method returns the resourcebundle (if any) used to localize the message of this logrecord.,"[('LogRecord', 'uses', 'ResourceBundle'), ('getResourceBundle()', 'returns', 'ResourceBundle')]"
"but remember, a connection has been opened already when the daomanager is instantiated, which happens before the dopersistenceaction() method is called.","[('DaoManager', 'has method', 'doPersistenceAction()')]"
the exception thrown when attempting to close the resource would be available inside the throwable array returned by e.getsuppressed().,"[('Throwable', 'method', 'getSuppressed()')]"
"the rion ops rionwriter class, com.nanosai.rionops.rion.write.rionwriter, enables you to write rion fields easily and efficiently.","[('com.nanosai.rionops.rion.write', 'contains class', 'RionWriter'), ('RionWriter', 'located in package', 'com.nanosai.rionops.rion.write'), ('RION Ops', 'contains class', 'RionWriter')]"
"the compareandset() method of the atomicreferencearray can compare the current reference stored in a given element with an expected reference, and if the references are the same, swap the current reference with a new reference.","[('AtomicReferenceArray', 'has method', 'AtomicReferenceArray.compareAndSet()')]"
"you don't need to know exactly what class a given object is of, as long as you know what interface it implements.",
"if the read() method returns -1, there is no more data to read in the filereader, and it can be closed.","[('FileReader', 'has method', 'FileReader.read()')]"
the java nio files class also contains a function for moving files from one path to another.,"[('Java NIO', 'contains', 'Files'), ('Files', 'contains method', 'Files.move()')]"
creating a duration object is done using one of the duration class factory methods.,"[('Duration', 'has method', 'Duration.classFactoryMethods()')]"
the getthrown() method returns the throwable that was marked thrown when logging the message represented by this logrecord.,"[('LogRecord', 'has method', 'LogRecord.getThrown()')]"
"the java filewriter class is a subclass of the java writer class, by the way.","[('Java FileWriter', 'is a subclass of', 'Java Writer')]"
exactly how to handle the calls to commit() and / or rollback() is covered in the jdbc transactions tutorial.,
here is an example of reading a double from a java datainputstream using readdouble():,"[('DataInputStream', 'method', 'readDouble()')]"
if thread a is executing add() then thread b cannot execute neither add() nor subtract() until thread a has exited add().,"[('Thread B', 'cannot execute', 'add()'), ('Thread A', 'exits', 'add()'), ('Thread B', 'cannot execute', 'subtract()'), ('Thread A', 'executes', 'add()')]"
