"('class', 'dependency', 'class')"
"('interface', 'dependency', 'interface')"
"('method', 'dependency', 'method')"
"('class', 'conversion', 'class')"
"('interface', 'conversion', 'interface')"
"('class', 'similarity', 'class')"
"('method', 'similarity', 'method')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'method')"
"('interface', 'implementation', 'method')"
"('method', 'implementation', 'interface')"
"('class', 'containment', 'package')"
"('interface', 'containment', 'interface')"
"('package', 'containment', 'interface')"
"('package', 'containment', 'method')"
"('package', 'containment', 'class')"
"('method', 'access', 'class')"
"('method', 'access', 'interface')"
"('class', 'execution', 'class')"
"('method', 'execution', 'class')"
"('method', 'execution', 'interface')"
"('method', 'modification', 'class')"
"('method', 'modification', 'interface')"
"('class', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('class', 'difference', 'class')"
"('method', 'difference', 'method')"
"('method', 'support', 'class')"
