text,triplet
"Note, it is important to use toSerialize.GetType() instead of typeof(T) in XmlSerializer constructor: if you use the first one the code covers all possible subclasses of T (which are valid for the method), while using the latter one will fail when passing a type derived from T .","(GetType, preferred over, typeof); (GetType, used with, XmlSerializer); (typeof, used with, XmlSerializer)"
"These dictionaries use the GetHashCode() implementation on StringComparer.OrdinalIgnoreCase so comparer.GetHashCode(""foo"") and comparer.GetHashcode(""FOO"") return the same value.","(StringComparer.OrdinalIgnoreCase, implements, GetHashCode())"
According to the StyleCop  Rules Documentation the ordering is as follows.,
Apply SerializableAttribute to a type to indicate that instances of this type can be serialized,"(SerializableAttribute, indicates serialization capability for, type)"
"We get rid of all of the intricacies of C# and VB and whatnot and ""lower"" everything to a simple language that is easy to write a jitter for.",
"It's a bit ugly - and inefficient - but it's the quickest way to do it in terms of code. (I haven't tested it, admittedly.)",
that you could more than safely feed to your HttpClient.GetAsync method.,"(HttpClient, has method, GetAsync)"
"also has the xcopy able/portable-framework version of the library if you want to use it on other platforms - .NET 4.0, Windows Phone , etc.",
.NET's Dictionary throws an ArgumentNullException if you try to add a null key,
"You use standard syntax (using this like a method) to pick the overload, inside the class:",
"While debugging Debug.Write might be preferable over Console.WriteLine as it works in all kind of applications, not only console applications (thanks to @Bart for his note in the comments below).","(Debug.Write, preferable over, Console.WriteLine)"
"If you don't need to clone the values, you can use the constructor overload to Dictionary which takes an existing IDictionary. (You can specify the comparer as the existing dictionary's comparer, too.)","(Dictionary, takes, IDictionary)"
"Some providers, such as the Entity Framework, will produce an ArgumentException when presented with a negative argument","(Entity Framework, produces, ArgumentException)"
"It has the standard collection operations Add, Remove, Contains, but since it uses a hash-based implementation, these operations are O(1). (As opposed to List for example, which is O(n) for Contains and Remove.) HashSet also provides standard set operations such as union , intersection , and symmetric difference . Take a look here","(HashSet, has operation, Add)"
"Using the standard CustomCreationConverter , I was struggling to work how to generate the correct type ( Person or Employee ), because in order to determine this you need to analyse the JSON and there is no built in way to do this using the Create method.","(CustomCreationConverter, uses, Create)"
"At the end of the day it's an API sending back responses and not views, so I think it's fine to send back a message with the exception and status code to the consumer",
Attempting to get a non-existent key Java's HashMap will return null. .NET's Dictionary will throw a KeyNotFoundException .  You can use the TryGetValue method instead of the [] indexing to avoid this: MyObject value = null;,
"Use a .NET Core library when you want to increase the .NET API surface area your library can access, and you are okay with allowing only .NET Core applications to be compatible with your library.",
"The ANTS profiler has come on in leaps and bounds in the last few years, and its memory profiler has some truly useful features which now pushed it ahead of dotTrace as a package in my estimation",
"This has existed since .NET 2.0, so before LINQ. It's meant to be used with the Predicate delegate , but lambda expressions are backward compatible",
If I wish to submit a http get request using System.Net.HttpClient,"(System.Net.HttpClient, utilizes, http get)"
Use await Task.Delay when you want a logical delay without blocking the current thread.,"(Task, uses, Task.Delay)"
Apply the SerializableAttribute even if the class also implements the ISerializable interface to control the serialization process.,"(SerializableAttribute, used with, ISerializable)"
"What's required is to subclass JsonConverter , overriding the ReadJson method and creating a new abstract Create method which accepts a JObject .","(JsonConverter, contains method, ReadJson)"
Something called Cancel() on the CancellationTokenSource associated with the cancellation token before the task completed.,"(Cancel(), called on, CancellationTokenSource); (CancellationTokenSource, associated with, CancellationToken)"
At compile time C# version is defined by setting in the project file for project (can be viewd in VS settings of the project as shown in another answer ) and explicit or implicit switch passed to compiler if compiling directly with CSC ( How do I tell the Roslyn C# compiler to use a specific version of .NET? ),
"The StringBuilder.Append() method is much better than using the + operator.  But I've found that, when executing 1000 concatenations or less, String.Join() is even more efficient than StringBuilder .","(StringBuilder.Append(), less efficient than, String.Join())"
"Also, some MSDN articles; one on asynchronous data-binding (if you're using MVVM) and another on asynchronous best practices (i.e., you should avoid async void ).",
I recommend always using X.Y.* instead of X.Y.Z.* because your version number will ALWAYS increase this way.,
"Inside a method that returns IEnumerable<T> , yield return has to return T , not an IEnumerable<T> .",
"This isn't C# per se, but I haven't seen anyone who really uses System.IO.Path.Combine() to the extent that they should","(System.IO.Path, contains method, Combine)"
"Also, as noted by @АртёмЦарионов below, EPPlus has support for Pivot Tables and ExcelLibrary may have some support ( Pivot table issue in ExcelLibrary )",
"To resolve the problem, close all Visual Studio instances, then delete all files in the following folder:",
There is no strict reason why a bytecode based language like C# or Java that has a JIT cannot be as fast as C++ code,
"In the demo , I have built JwtAuthenticationAttribute which inherits from IAuthenticationFilter (more detail about authentication filter in here ).","(JwtAuthenticationAttribute, inherits from, IAuthenticationFilter)"
"If you disable the context capture using ConfigureAwait(false) , then the thread just continues executing the method directly",
"It is run automatically by the runtime the first time it is needed (the exact rules there are complicated (see ""beforefieldinit""), and changed subtly between CLR2 and CLR4). Unless you abuse reflection, it is guaranteed to run at most once (even if two threads arrive at the same time).",
You can also use OWIN middleware or DelegateHander if you want to validate all incoming requests for your WebAPI (not specific to Controller or action),"(DelegateHandler, can be used to validate, WebAPI)"
"In your case, I would check if your variable calculationViewModel is a null-reference.",
"Anyway, you can simply mock IHttpHandler without having to worry about the concrete HttpClient class as it has been abstracted away.",
"Filter is Where : Enumerable.Range(1, 10).Where(x => x % 2 == 0);","(Enumerable, utilizes, Range()), (Enumerable, utilizes, Where()), (Range(), utilizes, Where())"
(Note: SkiaSharp on Windows 8.1 is missing the appropriate VC runtime files - msvcp140.dll and vcruntime140.dll,"(msvcp140.dll, similar to, vcruntime140.dll)"
The reason you may need AsyncContext.RunTask instead of Task.WaitAndUnwrapException is because of a rather subtle deadlock possibility that happens on WinForms/WPF/SL/ASP.NET:,"(AsyncContext.RunTask, may be needed instead of, Task.WaitAndUnwrapException)"
"See e.g. an INI file handling class using C#, P/Invoke and Win32 .","(INI file, handled using, P/Invoke)"
"As shown in this answer , in .NET 4.6 this is simplified to .Returns(Task.CompletedTask); , e.g.:","(Task.CompletedTask, used_with, .Returns())"
"The easiest way to get the connection string is using the ""Server Explorer"" window in Visual Studio (menu View , Server Explorer ) and connect to the server from that window.",
"This in no way obsoletes Task.Factory.StartNew, but rather should simply be thought of as a quick way to use Task.Factory.StartNew without needing to specify a bunch of","(Task, provides quick alternative to, Task.Factory.StartNew)"
Copy the MimeMappings file from the reference source of the .NET Framework,"(MimeMappings, part of, .NET Framework)"
"So, while C++ itself doesn't require you to overload in pairs, it will not let you use an equality operator that you haven't overloaded on a custom class.  It's valid in .NET, because all objects have a default one; C++ does not.","(.NET, imposes restriction on, equality operator)"
"\d checks all Unicode digits, while [0-9] is limited to these 10 characters",
"When you do data.GroupBy(x => x.metric) , it means ""for each element x in the IEnumerable defined by data , calculate it's .metric , then group all the elements with the same metric into a Grouping and return an IEnumerable of all the resulting groups","(GroupBy(), groups elements into, Grouping)"
"For example, System.Data.DataTable/DataAdaper.Update is missing... (not anymore with .NET Core 2.0) Together with the System.Data.Common.IDB* interfaces. (not anymore with .NET Core 1.1) if there ever was one class that is often used, DataTable/DataAdapter would be it... Also, the Linux-installer (.deb) fails, at least on my machine, and I'm sure I'm not the only one that has that problem","(System.Data.DataTable, related_to, System.Data.DataAdapter.Update)"
"While the above methods might fit your needs, the only correct answer to your question (as I see it) is that you will need an extra check:",
"One is an array of arrays, and one is a 2d array.  The former can be jagged, the latter is uniform.","(array of arrays, distinct from, 2d array)"
Additionally go to the Google Account > Security page and look at the Signing in to Google > 2-Step Verification setting.,""
"If you have a machine with the Async CTP, you can use GeneralThreadAffineContext from My Documents\Microsoft Visual Studio Async CTP\Samples(C# Testing) Unit Testing\AsyncTestUtilities . Alternatively, you can use AsyncContext from my Nito.AsyncEx NuGet package .",
"To understand why that is, it helps to understand how .NET produces NullReferenceException in the first place. (These details apply to .NET running on Windows; other operating systems use similar mechanisms.)","(.NET, produces, NullReferenceException)"
"Where the exception contains culture-sensitive data, the string representation returned by ToString is required to take into account the current system culture","(Exception, contains, culture-sensitive data); (Exception, utilizes, ToString); (ToString, takes into account, current system culture)"
This feature was added in EF Core 2.1 under the name of query types.,""
"For the purpose of this question, there is really no reason to use GetFiles() and GetDirectories() .",
"That also means that Convert.ToInt32() is probably a wee bit slower than Int32.Parse() , though in practice, unless you're doing a very large number of iterations in a loop, you'll never notice it.","(Int32.Parse, faster than, Convert.ToInt32)"
LINQ solution is strictly for style points - since Contains iterates over all items its complexity is O(range_size) and not O(1) normally expected from a range check,"(LINQ, imposes complexity constraint on, Contains)"
"Type.GetType(""namespace.qualified.TypeName"") only works when the type is found in either mscorlib.dll or the currently executing assembly.","(Type.GetType(), works with, mscorlib.dll)"
"Assuming the day of the month is irrelevant (i.e. the diff between 2011.1.1 and 2010.12.31 is 1), with date1 > date2 giving a positive value and date2 > date1 a negative value",
"C# 6.0 released with .NET 4.6 and VS2015 (July 2015). Implemented by Roslyn . Features : initializers for automatically implemented properties, using directives to import static members, exception filters, element initializers, await in catch and finally , extension Add methods in collection initializers.",
Do you mean Delegate.Invoke / BeginInvoke or Control.Invoke / BeginInvoke ?,"(Delegate.Invoke, contrasted with, Delegate.BeginInvoke)"
initobj : Uses an already-allocated storage location and just wipes the data,
"Technically, JWT uses a signature which is signed from headers and claims with security algorithm specified in the headers (example: HMACSHA256). Therefore, JWT must be transferred over HTTPs if you store any sensitive information in its claims.",""
"What is the correct C# way of representing a data structure, which, ""logically"" (that is to say, ""to the human mind"") is just a list of things with a few bells and whistles?",
Grab it from NuGet: dotnet add package CefSharp.Wpf or dotnet add package CefSharp.WinForms,"(CefSharp.Wpf, alternative to, CefSharp.WinForms)"
