Text,Entity Type,Label1,Label2,Final Label
"`Arrays.asList(...)` will give you a `List` backed by an array, so it cannot change length.",Arrays: utility class; List: interface;,"T, T","T, T","T, T"
"*Implementation detail: It's a private nested class inside `java.util.Arrays`, named `ArrayList`, which is a different class from `java.util.ArrayList`, even though their simple names are the same.*",java.util.Arrays: concrete class; java.util.ArrayList: concrete class;,"T, T","T, T","T, T"
"Correction: For an existing list in some variable, then you get an unmodifiable view list by passing it in the `Collections.unmodifiableList()` constructor, but `List.of` will always give you an ""immutable"" or unmodifiable list that is not a view.",Collections.unmodifiableList: concrete class; List.of: static method;,"F, T","F, T","F, T"
"Only `List.copyOf` is structurally unmodifiable and *not* a view collection (like `unmodifiableList` or `List.of` is), so its structure cannot be changed.",List.copyOf: static method; unmodifiableList: none; List.of: static method;,"T, T, T","T, T, T","T, T, T"
"The above results in a compiler error, because `List<B>` (which is what is returned by `Arrays.asList`) is not a subclass of `List<A>`, even though you can add Objects of type `B` to a `List<A>` object.",List: interface; Arrays: utility class;,"T, T","T, T","T, T"
Any calls to `Arrays.asList()` with zero arguments or only one argument could be replaced with either a call to `Collections.singletonList()` or `Collections.emptyList()` which will save some memory.,Arrays.asList: concrete class; Collections.singletonList: concrete class; Collections.emptyList: concrete class;,"F, F, F","F, F, F","F, F, F"
"Note: the list returned by `Collections.singletonList()` is immutable, while the list returned `Arrays.asList()` allows calling the `set()` method.",Collections.singletonList: static method; Arrays.asList: static method; set: method,"T, T, T","T, T, T","T, T, T"
"Differences between TreeMap, HashMap, and LinkedHashMap in Java",TreeMap: concrete class; HashMap: concrete class; LinkedHashMap: concrete class;,"T, T, T","T, T, F","T, T, T"
"The reason being that if you're in an interruptible blocking call (like `Thread.sleep` or using java.nio Channel operations), you'll actually be able to break out of those right away.",Thread.sleep: static method; java.nio.Channel: abstract class;,"T, T","T, T","T, T"
"Like I said, the main advantage to `Thread.interrupt()` is that you can immediately break out of interruptible calls, which you can't do with the flag approach.",Thread.interrupt: method,T,T,T
"To clarify, if this `while` condition is going to be the sole way to stop the thread, then any `catch` block needs to call `Thread.currentThread().interrupt();` in order to maintain the interrupted status for the `while` condition.",Thread.currentThread: concrete class; interrupt: method; Thread.currentThread.interrupt: method;,"F, T, F","F, T, F","F, T, F"
Blocking library methods like `Thread.sleep` and `Object.wait` try to detect when a thread has been interrupted and return early.,Thread.sleep: static method; Object.wait: instance method;,"T, T","T, T","T, T"
Brian Goetz in his book suggests using `Thread.currentThread().isInterrupted()` flag and `interrupt()` method for cancellation.,Thread.currentThread: concrete class; Thread.isInterrupted: concrete class; Thread.interrupt: concrete class; currentThread.isInterrupted: none; currentThread.interrupt: none; isInterrupted.interrupt: none;,"F, F, F, F, F, T","T, F, F, F, F, T","F, F, F, F, F, T"
thread will continue its work until it reaches `Thread.currentThread().isInterrupted()` check and exit from `run()`.,Thread: concrete class; Thread.currentThread: static method; isInterrupted: instance method; run: instance method; Thread.currentThread.isInterrupted: instance method; Thread.currentThread.run: instance method;,"T, T, T, T, F, F","T, T, T, T, F, F","T, T, T, T, F, F"
"Edit: I'm now using `Arrays.asList` instead of `Collections.singleton`: singleton is limited to one entry, whereas the `asList` approach allows you to add other strings to filter out later: `Arrays.asList(""a"", ""b"", ""c"")`.",Arrays.asList: static method; Collections.singleton: static method;,"T, T","T, T","T, T"
"Make a `List` out of the array with `Arrays.asList()`, and call `remove()` on all the appropriate elements.",List: interface; Arrays.asList: static method; remove: method,"T, T, T","T, T, T","T, T, T"
Use System.arraycopy repeatedly to copy each group of items you wish to retain into your new Array.,System.arraycopy: static method,T,T,T
"solution: Iterate over your array and whenever you find an element to remove (let's call it element n), use System.arraycopy to copy the tail of the array over the ""deleted"" element (Source and Destination are same array)--it is smart enough to do the copy in the correct direction so the memory doesn't overwrite itself:",System.arraycopy: static method,T,T,T
"The `IllegalAccessException` would be thrown if the field was not accessible (for example, if it is private and has not been made accessible via missing out the `f.setAccessible(true)` line.",IllegalAccessException: concrete class; setAccessible: method,"T, T","T, F","T, T"
"Of course, now you have to find out the `java.lang.reflect.Field` for `sString` prior to setting the field value.",java.lang.reflect.Field: concrete class; sString: none;,"T, T","T, T","T, T"
Basically on an `ExecutorService` you call `shutdown()` and then `awaitTermination()`:,"ExecutorService: interface; shutdown: method; awaitTermination: method; shutdown, awaitTermination: none;","T, T, T, F","T, T, T, F","T, T, T, F"
"Note that `executorService.invokeAll` will wait for all threads to complete, but you will still need to call `executorService.shutdown` to clean up your thread pool.",executorService.invokeAll: method; executorService.shutdown: method;,"T, T","T, T","T, T"
".get() on each Future one at a time, instead of infinite looping calling isDone() on (all or each).",Future: interface; isDone: method; get: method;,"T, T, T","T, T, T","T, T, T"
"While you can use `executor.shutdown()` and `executor.awaitTermination()`, it is not the best practice as the time taken by different threads would be unpredictable.",executor.shutdown: concrete method; executor.awaitTermination: concrete method;,"F, F","F, F","F, F"
"The way you're doing it, there's no guarantee that `sock.close()` will be reached because you catch only `Exception` and not all `Throwable`s.",Exception: concrete class; Throwable: concrete class;,"T, T","T, T","T, T"
Long.valueOf() should be preferred: it returns cached values of Long for some often-used values instead of constructing a new instance as the constructor does.,Long.valueOf: static method,T,T,T
"**Difference between Long.getLong(s), Long.valueOf(s), Long.parseLong(s) where ""s"" is a String Type**",Long.getLong: static method; Long.valueOf: static method; Long.parseLong: static method;,"T, T, T","T, T, T","T, T, T"
"Using `str.subSequence(begin, end)` returns a CharSequence which is a read-only form of the string represented as a sequence of chars.",String: concrete class; CharSequence: interface;,"T, T","T, T","T, T"
