Language, Num,URL,Question,Body,Answer,Triple,Result
Java, 1,https://stackoverflow.com/questions/1792134/java-util-vector-alternatives,java.util.Vector - alternatives,"Previously I would always have thought a Vector was good to use for non-descript objects when length was unknown. As far as I was aware I thought it was thread-safe too

What would change that Vector shouldn't be used anymore, and what is the alternative?",ArrayList,"(class, replacement, class): (arrayList, instead of, vector)",T
Java, 3,https://stackoverflow.com/questions/5683728/convert-java-util-date-to-string,Convert java.util.Date to String,"I want to convert a java.util.Date object to a String in Java.

The format is 2010-05-30 22:15:52",SimpleDateFormat.format,"(method, modification, class): (simpledataformat.format, modifies, string)",T
Java, 4,https://stackoverflow.com/questions/23079003/how-to-convert-a-java-8-stream-to-an-array,How to convert a Java 8 Stream to an Array?,What is the easiest/shortest way to convert a Java 8 Stream into an array?,toArray(),"(class, collaboration, class): (toArray, works with, stream)",T
Java, 5,https://stackoverflow.com/questions/14035953/alternative-to-grantedauthorityimpl-class,alternative to GrantedAuthorityImpl() class,"I want an alternative to GrantedAuthorityImpl() class. I want this in spring security implementation. GrantedAuthorityImpl() class is deprecated. Hence I want an alternative solution to it. My code :

public Collection<GrantedAuthority> getAuthorities(Integer access) {
    List<GrantedAuthority> authList = new ArrayList<GrantedAuthority>(2);
    
    if (access.compareTo(1) == 0) {
        authList.add(new GrantedAuthorityImpl(""ROLE_ADMIN""));
    }
    else{
        authList.add(new GrantedAuthorityImpl(""ROLE_USER""));
    }
    return authList;
}",,,""
Java, 7,https://stackoverflow.com/questions/11083868/is-there-an-interface-similar-to-callable-but-with-arguments,Is there an interface similar to Callable but with arguments?,"Is there an interface in Java similar to the Callable interface, that can accept an argument to its call method?

Like so:

public interface MyCallable<V> {
  V call(String s) throws Exception;
}
I would rather avoid creating a new type if there already exists something that I can use. Or is there a better strategy to having multiple clients implement and plug in a callable routine?

Copied from here http://www.programmingforums.org/thread27905.html",,,
Java, 8,https://stackoverflow.com/questions/949352/is-there-something-like-instanceofclass-c-in-java,Is there something like instanceOf(Class<?> c) in Java?,"I want to check if an object o is an instance of the class C or of a subclass of C.

For instance, if x is of class Point I want x.instanceOf(Point.class) to be true and also x.instanceOf(Object.class) to be true.

I want it to work also for boxed primitive types. For instance, if x is an Integer then x.instanceOf(Integer.class) should be true.

Is there such a thing? If not, how can I implement such a method?",Class.isInstance,"(method, equivalence, class): (class.isinstance, similar to, instanceof)",T
Java, 9,https://stackoverflow.com/questions/5113688/sortable-hashmap-like-data-structure-in-java?rq=3,Sortable HashMap-like data structure in Java?,Is there some sort of data structure in Java that resembles a HashMap that can be sorted by key or value? In PHP you can have associative arrays that are sortable. Is there such a thing in Java?,TreeMap,"(class, difference, class): (hashmap, does not guarantee order, treemap)",T
Java, 10,https://stackoverflow.com/questions/61269054/what-can-i-use-instead-of-set-in-java,What can I use instead of Set in Java?,"The following code is in JavaScript to check if a pair of numbers in a set are equal to a specific sum.

function hasPairWithSum2(arr, sum){
    const mySet = new Set();
    const len = arr.length;

    for (let i = 0; i < len; i++){
        if (mySet.has(arr[i]))
            return true;

        mySet.add(sum - arr[i]);
    }

    return false;
}
How can I do the same in Java? What is the alternative to Set()?",HashSet,"(class, implementation, interface): (hashset, implements, set)",T
Java, 11,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,How do I efficiently iterate over each entry in a Java Map?,"If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map?

Will the ordering of elements depend on the specific map implementation that I have for the interface?",map.entrySet(),"(class, modification, method): (map.entrySet(), iterate entry in, map)",T
Java, 12,https://stackoverflow.com/questions/3395286/remove-last-character-of-a-stringbuilder,Remove last character of a StringBuilder?,"When you have to loop through a collection and make a string of each data separated by a delimiter, you always end up with an extra delimiter at the end, e.g.

for (String serverId : serverIds) {
  sb.append(serverId);
   sb.append("","");
}
Gives something like : serverId_1, serverId_2, serverId_3,

I would like to delete the last character in the StringBuilder (without converting it because I still need it after this loop).",deleteCharAt,"(method, modification, class): (deletecharat, delete character in, stringbuilder)",T
Java, 13,https://stackoverflow.com/search?q=How+to+get+the+last+value+of+an+ArrayList,How to get the last value of an ArrayList,How can I get the last value of an ArrayList?,arraylist.get,"(class, implementation, method): (arraylist, implements, listget)",T
Java, 14,https://stackoverflow.com/questions/2891361/how-to-set-time-zone-of-a-java-util-date,How to set time zone of a java.util.Date?,"I have parsed a java.util.Date from a String but it is setting the local time zone as the time zone of the date object.

The time zone is not specified in the String from which Date is parsed. I want to set a specific time zone of the date object.

How can I do that?",setTimeZone,"(class, modification, method): (simpledateformat, set the time zone, settimezone)",T
Kotlin, 15,https://stackoverflow.com/questions/65876607/alternative-for-thread-sleep-in-a-for-loop-in-kotlin,"Alternative for Thread.Sleep() in a ""For Loop"" in Kotlin?","I have a for loop that consists of looping towards infinity and inside that for loop, there is a Thread.sleep(T)function, the sleeping time varies from 50ms to 1s. I know there are performance and user experience costs for using a sleep function inside a loop.

So what are the Kotlin alternatives ? (I found answers but all of them are in Java, I wanna know the best alternatives in Kotlin)",,,
Kotlin, 16,https://stackoverflow.com/questions/47204146/how-to-iterate-over-hashmap-in-kotlin?rq=3,How to iterate over hashmap in Kotlin?,"How to iterate over HashMap in Kotlin?

typealias HashMap<K, V> = HashMap<K, V> (source)
kotlinkotlin-extension",map.forEach,"(class, Implementation, function): (HashMap, Implements, forEach)",T
Kotlin, 17,https://stackoverflow.com/questions/54543309/how-to-put-values-from-a-hashmap-into-an-array?rq=3,How to put values from a HashMap into an array,"How can I add all values from a HashMap into a String array? For example, I have:

var tablica = arrayListOf<String>()

var haszmapa = hashMapOf<String, Int>()
haszmapa.put(""Tadek"", 1)
haszmapa.put(""Maniek"", 1)
haszmapa.put(""Juras"", 1)",,,
Kotlin, 18,https://stackoverflow.com/questions/56522915/how-to-get-key-for-value-from-hashmap-in-kotlin?rq=3,How to get key for value from Hashmap in Kotlin?,"I have HashMap in Kotlin

val map = HashMap<String, String>()
I want to know how to get key for a particular value from this HashMap without iterating through complete HashMap?",filterValues,"(class, Implementation, function): (HashMap. Implements, filterValues)",T
Kotlin, 19,https://stackoverflow.com/questions/52851161/how-do-i-sum-all-the-items-of-a-list-of-integers-in-kotlin?rq=3,How do I sum all the items of a list of integers in Kotlin?,"I have a list of integers, like:

val myList = listOf(3,4,2)
Is there any quick way in Kotlin to sum all the values of the list? or do I have to use a loop?

Thanks.",sumOf,"(function, Collaboration, function): (listof, works with, sumOf)",F
Kotlin, 20,https://stackoverflow.com/questions/61183570/how-to-remove-item-from-array-list-in-kotlin?rq=3,how to remove item from array list in kotlin,"fun main(args: Array<String>) {
var listOfRideDate = mutableListOf<RideDate>();
val date1 = RideDate()
date1.startdate = ""2018-11-05 00:00:00 +0000""
date1.enddate = ""2018-11-06 23:59:59 +0000""
listOfRideDate.add(date1)

val date2 = RideDate()
date2.startdate = ""2020-01-20 00:00:00 +0000""
date2.enddate = ""2020-02-20 00:00:00 +0000""
listOfRideDate.add(date2)

val date3 = RideDate()
date3.startdate = ""2020-03-20 00:00:00 +0000""
date3.enddate = ""2020-03-20 00:00:00 +0000""
listOfRideDate.add(date3)

val date4 = RideDate()
date4.startdate = ""2020-04-20 00:00:00 +0000""
date4.enddate = ""2020-04-20 00:00:00 +0000""
listOfRideDate.add(date4)

val date5 = RideDate()
date5.startdate = ""2020-11-20 00:00:00 +0000""
date5.enddate = ""2020-11-20 00:00:00 +0000""
listOfRideDate.add(date5)


for (i in 0..listOfRideDate.size -1) {
    // we have to remove 2018-11-05 00:00:00 +0000 and 2018-11-06 23:59:59 +0000  from list 
    println(listOfRideDate.get(i).startdate + "" and "" + listOfRideDate.get(i).enddate)
}
}

This is my data class and the main method I have added item RideDate of startDate and endDate manually I want delete item dynamically if data contains date1.startdate = ""2018-11-05 00:00:00 +0000"" date1.enddate = ""2018-11-06 23:59:59 +0000""

so that I can ignore it please help me how to delete the item from array list in kotlin",removeAll,"(function, Collaboration, function): (removeAll, remove elements from, list)
['(function, Modification, function): (ArrayList, filter by, filter)']",T
Kotlin, 21,https://stackoverflow.com/questions/61023968/what-do-i-use-now-that-handler-is-deprecated?utm_source=chatgpt.com,What do I use now that Handler() is deprecated?,"How do I fix the deprecation warning in this code? Alternatively, are there any other options for doing this?

Handler().postDelayed({
    context?.let {
        //code
    }
}, 3000)",,,
