Text,Result
"the atomicboolean class provides you with a boolean variable which can be read and written atomically, and which also contains advanced atomic operations like compareandset().","['(class, containment, method): (atomicboolean, contains, compareandset)']"
the java reader is the base class of all reader's in the java io api.,[]
the read() method of a java bufferedreader returns an int which contains the char value of the next character read.,"['(class, containment, method): (bufferedreader, includes, read)']"
"second, if the lock is locked, the threads are blocked in the wait() call inside the while(islocked) loop in the lock() method.","['(method, dependency, method): (wait(), blocked in, lock)']"
"the method compareandset() allows you to compare the current value of the atomicboolean to an expected value, and if current value is equal to the expected value, a new value can be set on the atomicboolean.",[]
the executequery() method is used if the stored procedure returns a resultset.,[]
here is an example of flushing data written to a java bufferedwriter by calling its flush() method:,"['(class, execution, method): (bufferedwriter, flushes, flush)']"
"a class can have more than one constructor, although this example just shows one.","['(class, containment, method): (class, have, constructor)']"
here is an example of removing the first element from a java deque using the pollfirst() method:,"['(class, execution, method): (deque, removing the first element, pollfirst)']"
the anonymous class subclasses (extends) superclass and overrides the doit() method.,"['(class, modification, method): (superclass, overrides, doit)']"
"to obtain the result, you call one of the two get() methods on the future.",[]
java nio has more classes and components than these but the channel buffer and selector forms the core of the api in my opinion,"['(class, containment, class): (channel, forms the core of, buffer)', '(class, containment, class): (channel, forms the core of, selector)']"
the java atomiclongarray class (java.util.concurrent.atomic.atomiclongarray) represents an array of long .,[]
"the java integer class implements the comparable interface, so you can call compareto() here is an example:","['(class, implementation, interface): (integer, implements, comparable)']"
"there is no package and class name to disturb you when reading the script, and whenever you need the default function all you need to write is ""default(a, b)"", instead of ""com.myapp.util.util.default(a, b)"".",[]
"the java sortedset interface has a method named setset() which returns another sortedset with all elements that are greater than or equal to (tailing) a given parameter value, according to the sort order used by the sortedset.",[]
deque.polllast() is different than removelast() which throws an exception if the deque is empty,"['(method, difference, method): (deque.polllast(), is different than, deque.removelast)']"
to decrypt data you would have passed cipher text (encrypted data) into the dofinal() or doupdate() method instead.,"['(method, preference, method): (dofinal(), favored_over, doupdate)']"
as you saw in the previous section when you register a channel with a selector the register() method returns a selectionkey objects,"['(method, creation, class): (register(), returns, selectionkey)']"
you can use addbatch() and executebatch() methods to execute batch updates.,"['(method, execution, method): (addbatch(), execute batch updates, executebatch)']"
to add an element at the beginning (head) instead of the end of a java deque you call the addfirst() method instead.,[]
here are two examples of taking an element from a java queue using its poll() and remove() methods:,"['(method, difference, method): (poll(), difference, remove)']"
a stop() or pause() method too) then you can no longer create your runnable implementation with a java lambda expression,"['(method, limitation, method): (stop(), no longer create, lambda expression)']"
please keep in mind that if your runnable implementation needs more than just the run() method (e.g.,[]
"once the try block is exited, the close() method of the bufferedoutputstream is called automatically, because the bufferedoutputstream was declared inside the parentheses of the try block.","['(class, execution, method): (bufferedoutputstream, is called automatically, close)']"
"if the deque is empty, pollfirst() returns null. this is different than removefirst() which throws an exception if the deque is empty.","['(method, difference, method): (pollfirst(), returns null if empty, removefirst)']"
in this example a java.util.arraylist() instance is created inside the call to setsomelist().,"['(class, creation, method): (java.util.arraylist, created inside, setsomelist)']"
"if the deque is empty, polllast() returns null. this is different than removelast() which throws an exception if the deque is empty.","['(method, difference, method): (polllast(), returns null if empty, removelast)']"
"if the class is marked with the default access modifier, then no other class outside the same java package can access that class, including its constructors, fields and methods.","['(class, containment, method): (class, includes, constructors)', '(class, containment, method): (class, includes, fields)', '(class, containment, method): (class, includes, methods)']"
"here is the car class from before with a single, simple method named getbrand added:","['(class, containment, method): (car, includes, getbrand)']"
java.awt.list is the last line of this example that calls the list stream() method to obtain the stream representing the elements in the list,"['(class, conversion, class): (java.awt.list, obtain, stream)', '(class, containment, class): (java.awt.list, representing, list)']"
"when you divide classes into multiple java packages, it becomes easier to figure out where a certain class you are looking for is.",[]
here is an example of writing a cyclic object graph to rion using the rionobjectwriter writecyclic() method.,"['(class, execution, method): (rionobjectwriter, writecyclic, writecyclic)']"
"it is now up to the caller of the readmydata() method to decide if an existing mydata instance should be reused, or if a new instance should be created.","['(method, creation, class): (readmydata(), creates, mydata)']"
nested classes and inheritance the same java inheritance rules apply to nested classes.,"['(class, containment, class): (nested classes, includes, inheritance)']"
"the formatted() method is only a preview feature that was added together with java text blocks in java 13, so we do not yet know if it will stay in.",[]
the missed signals problems is the reason that the fairlock implementation shown in the text starvation and fairness has turned the queueobject class into a semaphore with two methods: dowait() and donotify().,"['(method, collaboration, method): (dowait(), works_with, donotify)']"
"then the example calls files.copy(), passing the two path instances as parameters.",[]
"after running this java code the isempty variable will contain the value true, because the set size() method returns 0 - because the set in the example contains no elements.","['(class, containment, method): (set, contains, size)']"
"the comparison follows the rules for the comparable interface, meaning the compareto() method returns:",[]
"the lookingat() method only matches the regular expression against the beginning of the text, whereas matches() matches the regular expression against the whole text.","['(method, difference, method): (lookingat(), matches the regular expression against the beginning of the text, matches)']"
the collection interface has two methods to check if a collection contains one or more certain elements. these are the contains() and containsall() methods.,[]
"if there is no more data to read from the underlying reader, then the bufferedreader's readline() method will return null .","['(class, containment, method): (bufferedreader, includes, readline)']"
"as you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","['(class, implementation, interface): (class, implementing, interface)']"
the collections reverse() method can reverse the elements in a java list.,[]
this also means that threads calling dowait() on the first mywaitnotify instance risk being awakened by donotify() calls on the second mywaitnotify instance.,"['(method, collaboration, method): (dowait(), being awakened by, donotify)']"
"truck truck = new truck(); // upcast to vehicle vehicle vehicle = truck; // downcast to car again car car = (car) vehicle; the truck object can be upcast to a vehicle object, but it cannot be downcast to a car object later.","['(class, conversion, class): (truck, upcast to, vehicle)']"
you can read a java float from the datainputstream using its readfloat() method.,[]
the instanceof instruction can determine whether a given object is an instance of some class.,[]
the first example of a higher order function is the collections.sort() method which takes a comparator as parameter.,[]
"the java simpledateformat class is also capable of formatting a date object into a stringbuffer, instead of returning an individual string with the date formatted.","['(class, conversion, class): (simpledateformat, formatting, date)', '(class, conversion, class): (date, formatting, stringbuffer)']"
the string class has several other useful methods than the ones described in this tutorial.,"['(class, containment, method): (string, includes, methods)']"
here is an example of peeking at the first element of a java deque using the peek() method:,[]
here is a java method override example: public class vehicle { string licenseplate = null; public void setlicenseplate(string licenseplate) { this.licenseplate = licenseplate; } } public class car extends vehicle { public void setlicenseplate(string license) { this.licenseplate = license.tolowercase(); } } notice how both the vehicle class and the car class defines a method called setlicenseplate().,"['(class, implementation, class): (car, overrides, vehicle)']"
"treeset also guarantees the order of the elements when iterated, but the order is the sorting order of the elements. in other words, the order in which the elements whould be sorted if you used a collections.sort() on a list or array containing these elements. this order is determined either by their natural order (if they implement comparable), or by a specific comparator implementation","['(class, containment, class): (treeset, contains elements, list)', '(class, containment, method): (treeset, contains elements, collections.sort)', '(class, implementation, interface): (treeset, order determined by, comparator)', '(class, implementation, class): (treeset, order determined by, list)']"
the java outputstreamwriter is a subclass of the java writer class.,"['(class, implementation, class): (outputstreamwriter, subclass of, writer)']"
"you can obtain both reference and stamp from an atomicstampedreference in a single, atomic operation using the get() method.",[]
the printwriter class has all the same methods as the printstream except for the methods to write raw bytes.,"['(class, difference, class): (printwriter, has all the same methods as, printstream)']"
the compareandset() method can compare the reference stored in the atomicstampedreference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the atomicstampedreference instance,[]
"by calling flush() you can assure that any buffered data will be flushed (written) to disk (or network, or whatever else the destination of your outputstream has).",[]
calling addandget() is also an atomic operation (like all operations on the atomicintegerarray).,[]
"here is diagram illustrating a class called vehicle, which has two subclasses called car and truck.","['(class, containment, class): (vehicle, has subclass, car)', '(class, containment, class): (vehicle, has subclass, truck)']"
jca is structured around some central general purpose classes and interfaces.,"['(class, containment, class): (jca, is structured around, classes)']"
the static method matches() creates a new matcher and returns it.,"['(method, creation, class): (matches(), creates, matcher)']"
"the servicemock instance passed to the getmock() method should be the mock object obtained from the mockservice factory, using the container.instance(""mockservice"") method call.","['(method, dependency, method): (getmock(), relies on, instance)']"
"however, the cache class may choose to make the cacheentry class visible to the outside world, so they can access more than just the cached value (for instance information about when the value was last refreshed etc.","['(class, containment, class): (cache, includes, cacheentry)']"
it is also possible to create other types of keystore instance by passing a different parameter to the getinstance() method.,"['(method, creation, class): (getinstance(), create, keystore)']"
"it will explain the basics of java reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.","['(class, containment, class): (reflection, work with, arrays)', '(class, containment, class): (reflection, work with, generics)', '(class, containment, class): (reflection, work with, dynamic proxies)', '(class, containment, method): (reflection, do, class loading)', '(class, containment, method): (reflection, do, reloading)']"
the java map interface has a getordefault() method which can return a default value supplied by you - in case no value is stored in the map by the given key.,[]
"notice too, that the compareto() method should throw a nullpointerexception if the parameter object is null.",[]
finally you can access the localized values in the resourcebundle via its different getstring() and getobject() etc.,[]
using java reflection you can inspect the constructors of classes and instantiate objects at runtime.,"['(class, containment, method): (reflection, inspect, constructors)']"
"the reentrantlock hasqueuedthreads() method returns true if any threads are queued up waiting to lock this lock, and false if not.","['(class, containment, method): (reentrantlock, includes, hasqueuedthreads)']"
"if you have multiple blocks of data to include in the same message digest, call the update() method and finish off with a call to digest().","['(method, execution, method): (update(), finish off with a call to, digest)']"
reading a byte from a java randomaccessfile is done using its read() method.,[]
"non-static nested classes (inner classes) have access to the fields of the enclosing class, even if they are declared private.","['(class, containment, class): (fields, of, enclosing class)']"
here is an example of removing the first element a java deque using the remove() method:,"['(class, execution, method): (deque, removing the first element, remove)']"
here is an example that shows how to create a localdatetime object via the now() method:,"['(class, creation, method): (localdatetime, create, now)']"
the sortedmap interface has a method named headmap() which returns a new map which contains the first elements of the sortedmap according to the sort order used.,[]
the atomicboolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.atomicboolean,[]
only the full java sdk contains the java compiler which turns your .java source files into byte code .class files.,"['(class, conversion, class): (.java, turns into, .class)']"
the rionwriter contains a method named writebytes() which can be used to write a rion bytes field to the destination byte array.,"['(class, containment, method): (rionwriter, contains, writebytes)']"
here is an example of obtaining the current position of a randomaccessfile using its getfilepointer() method:,[]
"notice that the get() method returns a java object, so we have to cast it to a string (because we know the value is a string).","['(class, conversion, class): (object, cast, string)']"
here is an example of obtaining the comparator used by a sortedset via the comparator() method:,[]
the queueobject.dowait() call is placed outside the synchronized(this) block to avoid nested monitor lockout so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method,"['(method, dependency, method): (dowait(), relies on, unlock)', '(method, dependency, method): (dowait(), relies on, lock)', '(method, dependency, method): (unlock(), relies on, lock)']"
if a thread calls lock() twice without calling unlock() in between the second call to lock() will block,"['(method, dependency, method): (lock(), relies on, unlock)']"
it is worth noting that both unlockread() and unlockwrite() calls notifyall() rather than notify().,"['(method, collaboration, method): (unlockread(), notifyall(), unlockwrite)', '(method, collaboration, method): (unlockwrite(), notifyall(), unlockread)']"
