Sentence, Relation,Label 1,Label 2,Final
"You can also set the Currency object to use for formatting a number as a currency, using the setCurrency() method on the NumberFormat class.","['(class, modification, method): (numberformat, setcurrency() method modifies, setcurrency)']",T,T,T
Unreferenced classes are not loaded until the time they are referenced.,[],,,
Before you can serialize and de-serialize objects the class of the object must implement java.io.Serializable.,[],,,
You can set the value of an AtomicLong instance via the set() method.,"['(class, modification, method): (atomiclong, set(), set)']",T,F,T
Nor does wait() make any guarantees about what thread is awakened when notify() is called.,"['(method, limitation, method): (notify(), make any guarantees about what thread is awakened, wait)']",F,F,F
"As you can see, accessing a variable from an interface is very similar to accessing a static variable in a class.","['(interface, access, class): (interface, accessing, class)']",F,F,F
The map() method will be covered in more detail later on.,[],,,
Two new parameters have been added to the addInfo() method and the constructor of the EnrichableException.,"['(method, modification, class): (addinfo(), added to, enrichableexception)']",F,F,F
This would happen sometime at runtime - depending on when the application tried to use the missing class.,[],,,
The instanceof instruction can determine whether a given object is an instance of some class.,"['(method, dependency, class): (instanceof, determine, class)']",F,F,F
"Since the Java BufferedOutputStream is a subclass of OutputStream, you can write arrays of bytes to the BufferedOutputStream too, instead of just a single byte at a time.","['(class, containment, class): (bufferedoutputstream, is a subclass of, outputstream)']",T,T,T
The Constructor[] array will have one Constructor instance for each public constructor declared in the class.,[],,,
"As you can see, the IObjectFactory only contains a single method named instance().","['(interface, containment, method): (iobjectfactory, contains, instance)']",T,T,T
"System.in is not used as often since data is commonly passed to a command line Java application via command line arguments, files, or possibly via network connections if the application is designed for that.",[],,,
"Notice how the synchronized(queueObject) with its queueObject.wait() call is nested inside the synchronized(this) block, resulting in the nested monitor lockout problem.","['(method, containment, method): (synchronized, nested inside, wait)']",T,T,T
Here are the two Java interfaces implemented by the class above:,[],,,
"The com.itextpdf.text.Chunk class in IText represents the smallest possible ""chunk"" of text.",[],,,
"The Java OutputStreamWriter also has alternative constructors that allow you to specify the character set (ISO-Latin1, UTF-8, UTF-16 etc.)",[],,,
The second parameter to the getNow() method is the domain name of the remote HTTP server to connect to.,[],,,
"You can check if a File object points to a file or directory, by calling its isDirectory() method.","['(class, execution, method): (file, points to, isdirectory)']",T,T,T
"I have described the java.util.TimeZone class in more detail in my Java Date Time tutorial, in the TimeZone class.","['(class, containment, class): (java.util.timezone, includes, timezone)', '(class, containment, package): (java.util.timezone, includes, java.util)']","F, T","F, T","F, T"
"These examples build a RionObjectWriter which will serialize all fields (private, protected, default and public) found in the Pojo class to RION.",[],,,
"Local classes cannot contain all kinds of static declarations (constants are allowed - variables declared static final), because local classes are non-static in nature - even if declared inside a static method.",[],T,T,T
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","['(interface, dependency, method): (iterator, relies on, hasnext)']",,,
Loading classes dynamically must therefore also be done using a java.lang.ClassLoader subclass.,[],,,
Notice how there is no longer any explicit close() method call to the FileReader instance.,"['(method, dependency, class): (close(), relies on, filereader)']",F,F,F
"As parameters to the completed() method are passed an Integer telling how many bytes were read, and the ""attachment"" which was passed to the read() method.","['(method, dependency, method): (completed(), relies on, read)']",T,T,T
That is why Java 5 got a whole set of concurrency utility classes to help developers implement more fine grained concurrency control than what you get with synchronized.,[],,,
To use the Path interface and the Paths class we must first import them.,"['(interface, dependency, class): (path, use, paths)']",T,T,T
The visitFileFailed() method is called in case visiting a file fails.,[],,,
The start() call will return as soon as the thread is started. It will not wait until the run() method is done.,"['(method, execution, method): (start(), initiates, run)']",T,T,T
I usually do something like this to obtain the class name for primitives as well as objects:,[],,,
"The Buffer.rewind() sets the position back to 0, so you can reread all the data in the buffer.",[],,,
It is the Arrays.asList() method that converts the array to a List.,[],,,
"For now, the translateEscapes() is a preview feature, so it is not yet sure that it will stay in Java.",[],,,
"If a message cannot fit into the 4KB buffer, a larger buffer of e.g.",[],,,
You can write a single byte to a RandomAccessFile using its write() method which takes an int as parameter.,"['(class, execution, method): (randomaccessfile, uses, write)']",T,T,T
What is interesting about this version is the implementation of the inc() method.,[],,,
