"('class', 'dependency', 'class')"
"('class', 'dependency', 'interface')"
"('class', 'dependency', 'method')"
"('class', 'dependency', 'package')"
"('interface', 'dependency', 'class')"
"('interface', 'dependency', 'interface')"
"('interface', 'dependency', 'method')"
"('interface', 'dependency', 'package')"
"('method', 'dependency', 'class')"
"('method', 'dependency', 'interface')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'package')"
"('package', 'dependency', 'class')"
"('package', 'dependency', 'interface')"
"('package', 'dependency', 'method')"
"('package', 'dependency', 'package')"
"('class', 'conversion', 'class')"
"('class', 'conversion', 'interface')"
"('class', 'conversion', 'method')"
"('class', 'conversion', 'package')"
"('interface', 'conversion', 'class')"
"('interface', 'conversion', 'interface')"
"('interface', 'conversion', 'method')"
"('interface', 'conversion', 'package')"
"('method', 'conversion', 'class')"
"('method', 'conversion', 'interface')"
"('method', 'conversion', 'method')"
"('method', 'conversion', 'package')"
"('package', 'conversion', 'class')"
"('package', 'conversion', 'interface')"
"('package', 'conversion', 'method')"
"('package', 'conversion', 'package')"
"('class', 'replacement', 'class')"
"('class', 'replacement', 'interface')"
"('class', 'replacement', 'method')"
"('class', 'replacement', 'package')"
"('interface', 'replacement', 'class')"
"('interface', 'replacement', 'interface')"
"('interface', 'replacement', 'method')"
"('interface', 'replacement', 'package')"
"('method', 'replacement', 'class')"
"('method', 'replacement', 'interface')"
"('method', 'replacement', 'method')"
"('method', 'replacement', 'package')"
"('package', 'replacement', 'class')"
"('package', 'replacement', 'interface')"
"('package', 'replacement', 'method')"
"('package', 'replacement', 'package')"
"('class', 'preference', 'class')"
"('class', 'preference', 'interface')"
"('class', 'preference', 'method')"
"('class', 'preference', 'package')"
"('interface', 'preference', 'class')"
"('interface', 'preference', 'interface')"
"('interface', 'preference', 'method')"
"('interface', 'preference', 'package')"
"('method', 'preference', 'class')"
"('method', 'preference', 'interface')"
"('method', 'preference', 'method')"
"('method', 'preference', 'package')"
"('package', 'preference', 'class')"
"('package', 'preference', 'interface')"
"('package', 'preference', 'method')"
"('package', 'preference', 'package')"
"('class', 'similarity', 'class')"
"('class', 'similarity', 'interface')"
"('class', 'similarity', 'method')"
"('class', 'similarity', 'package')"
"('interface', 'similarity', 'class')"
"('interface', 'similarity', 'interface')"
"('interface', 'similarity', 'method')"
"('interface', 'similarity', 'package')"
"('method', 'similarity', 'class')"
"('method', 'similarity', 'interface')"
"('method', 'similarity', 'method')"
"('method', 'similarity', 'package')"
"('package', 'similarity', 'class')"
"('package', 'similarity', 'interface')"
"('package', 'similarity', 'method')"
"('package', 'similarity', 'package')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'method')"
"('class', 'implementation', 'package')"
"('interface', 'implementation', 'class')"
"('interface', 'implementation', 'interface')"
"('interface', 'implementation', 'method')"
"('interface', 'implementation', 'package')"
"('method', 'implementation', 'class')"
"('method', 'implementation', 'interface')"
"('method', 'implementation', 'method')"
"('method', 'implementation', 'package')"
