"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'method')"
"('class', 'collaboration', 'function')"
"('class', 'collaboration', 'library')"
"('class', 'collaboration', 'property')"
"('class', 'collaboration', 'interface')"
"('method', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('method', 'collaboration', 'function')"
"('method', 'collaboration', 'library')"
"('method', 'collaboration', 'property')"
"('method', 'collaboration', 'interface')"
"('function', 'collaboration', 'class')"
"('function', 'collaboration', 'method')"
"('function', 'collaboration', 'function')"
"('function', 'collaboration', 'library')"
"('function', 'collaboration', 'property')"
"('function', 'collaboration', 'interface')"
"('library', 'collaboration', 'class')"
"('library', 'collaboration', 'method')"
"('library', 'collaboration', 'function')"
"('library', 'collaboration', 'library')"
"('library', 'collaboration', 'property')"
"('library', 'collaboration', 'interface')"
"('property', 'collaboration', 'class')"
"('property', 'collaboration', 'method')"
"('property', 'collaboration', 'function')"
"('property', 'collaboration', 'library')"
"('property', 'collaboration', 'property')"
"('property', 'collaboration', 'interface')"
"('interface', 'collaboration', 'class')"
"('interface', 'collaboration', 'method')"
"('interface', 'collaboration', 'function')"
"('interface', 'collaboration', 'library')"
"('interface', 'collaboration', 'property')"
"('interface', 'collaboration', 'interface')"
"('class', 'similarity', 'class')"
"('class', 'similarity', 'method')"
"('class', 'similarity', 'function')"
"('class', 'similarity', 'library')"
"('class', 'similarity', 'property')"
"('class', 'similarity', 'interface')"
"('method', 'similarity', 'class')"
"('method', 'similarity', 'method')"
"('method', 'similarity', 'function')"
"('method', 'similarity', 'library')"
"('method', 'similarity', 'property')"
"('method', 'similarity', 'interface')"
"('function', 'similarity', 'class')"
"('function', 'similarity', 'method')"
"('function', 'similarity', 'function')"
"('function', 'similarity', 'library')"
"('function', 'similarity', 'property')"
"('function', 'similarity', 'interface')"
"('library', 'similarity', 'class')"
"('library', 'similarity', 'method')"
"('library', 'similarity', 'function')"
"('library', 'similarity', 'library')"
"('library', 'similarity', 'property')"
"('library', 'similarity', 'interface')"
"('property', 'similarity', 'class')"
"('property', 'similarity', 'method')"
"('property', 'similarity', 'function')"
"('property', 'similarity', 'library')"
"('property', 'similarity', 'property')"
"('property', 'similarity', 'interface')"
"('interface', 'similarity', 'class')"
"('interface', 'similarity', 'method')"
"('interface', 'similarity', 'function')"
"('interface', 'similarity', 'library')"
"('interface', 'similarity', 'property')"
"('interface', 'similarity', 'interface')"
"('class', 'containment', 'class')"
"('class', 'containment', 'method')"
"('class', 'containment', 'function')"
"('class', 'containment', 'library')"
"('class', 'containment', 'property')"
"('class', 'containment', 'interface')"
"('method', 'containment', 'class')"
"('method', 'containment', 'method')"
"('method', 'containment', 'function')"
"('method', 'containment', 'library')"
"('method', 'containment', 'property')"
"('method', 'containment', 'interface')"
"('function', 'containment', 'class')"
"('function', 'containment', 'method')"
"('function', 'containment', 'function')"
"('function', 'containment', 'library')"
"('function', 'containment', 'property')"
"('function', 'containment', 'interface')"
"('library', 'containment', 'class')"
"('library', 'containment', 'method')"
"('library', 'containment', 'function')"
"('library', 'containment', 'library')"
"('library', 'containment', 'property')"
"('library', 'containment', 'interface')"
"('property', 'containment', 'class')"
"('property', 'containment', 'method')"
"('property', 'containment', 'function')"
"('property', 'containment', 'library')"
"('property', 'containment', 'property')"
"('property', 'containment', 'interface')"
"('interface', 'containment', 'class')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'function')"
"('interface', 'containment', 'library')"
"('interface', 'containment', 'property')"
"('interface', 'containment', 'interface')"
"('class', 'modification', 'class')"
"('class', 'modification', 'method')"
"('class', 'modification', 'function')"
"('class', 'modification', 'library')"
"('class', 'modification', 'property')"
"('class', 'modification', 'interface')"
"('method', 'modification', 'class')"
"('method', 'modification', 'method')"
"('method', 'modification', 'function')"
"('method', 'modification', 'library')"
"('method', 'modification', 'property')"
"('method', 'modification', 'interface')"
"('function', 'modification', 'class')"
"('function', 'modification', 'method')"
"('function', 'modification', 'function')"
"('function', 'modification', 'library')"
"('function', 'modification', 'property')"
"('function', 'modification', 'interface')"
"('library', 'modification', 'class')"
"('library', 'modification', 'method')"
"('library', 'modification', 'function')"
"('library', 'modification', 'library')"
"('library', 'modification', 'property')"
"('library', 'modification', 'interface')"
"('property', 'modification', 'class')"
"('property', 'modification', 'method')"
"('property', 'modification', 'function')"
"('property', 'modification', 'library')"
"('property', 'modification', 'property')"
"('property', 'modification', 'interface')"
"('interface', 'modification', 'class')"
"('interface', 'modification', 'method')"
"('interface', 'modification', 'function')"
"('interface', 'modification', 'library')"
"('interface', 'modification', 'property')"
