Dependency,"One entity relies on another entity for its functionality, execution, or data.","['takes as parameter', 'can be passed via', 'obtained via', 'takes input from', 'depends on', 'relies on', 'takes as argument', 'obtained from', 'relies on framework of']"
Conversion,One entity is transformed into another entity or format.,"['converts to', 'can be changed to', 'can be switched to', 'convert', 'is converted to', 'convert to', 'converts']"
Preference,"One entity is favored over another entity in terms of usage, efficiency, or recommendation.","['is used instead of', 'can be used instead of', 'recommended over', 'should use', 'use instead of', 'can be replaced by', 'is alternative to', 'preferred over', 'alternative to']"
Similarity,"One entity shares characteristics, behavior, or purpose with another entity.","['corresponds to', 'similar in performance to', 'is a view collection like', 'shares method with', 'same as', 'same time complexity as', 'is similar to', 'similar to']"
Difference,"One entity is distinct from another entity in characteristics, behavior, or purpose.","['differs in return type from', 'does not have method', 'different in purpose from', 'different from', 'is different from', 'is not', 'is immutable compared to', 'is mutable version of', 'different in auto-flushing support', 'different in behavior', 'allows calling set() compared to', 'different in append capability', 'different in input handling from', 'unlike Servlets', 'different in null key support', 'does not support', 'is different in code type from', 'uses different approach than', 'different in null key/value support', 'different in order preservation', 'avoids creating', 'is structurally unmodifiable unlike', 'conversion loses time components', 'is not interruptible like', 'allows multiple entries unlike', 'does not create']"
Implementation,"One entity is realized, executed, or provided by another entity.","['provides', 'can be provided with', 'directly implemented in class', 'is doubly-linked and circular', 'provides method', 'has method', 'is implemented in', 'implement', 'throws', 'render complete web pages', 'has peculiar implementation in', 'defined as', 'have two types of request', 'has constructor that takes', 'implemented by', 'support', 'overrides', 'implements together with', 'implements', 'supports']"
Containment,"One entity includes, holds, or is part of another entity.","['wrapped by', 'is part of', 'contains', 'part of', 'defined in', 'creates', 'generates']"
Collaboration,One entity employs or operates with another entity.,"['used to traverse', 'you can choose the actual type of the array', 'can be used on', 'can be used with', 'use', 'used with', 'can use', 'uses', 'consume after', 'used for', 'navigates internal structure of', 'used before', 'used to define ordering for', 'can test with', 'uses method', 'multiple instances can be placed onto', 'collaborates with', 'associate with', 'is related to', 'referenced by', 'paired with']"
Modification,"One entity alters, changes, or writes to another entity.","['can be copied into', 'used to copy into', 'copies over', 'print to', 'writes to', 'read into', 'writes data to', 'reset when', 'taking from the other', 'copies from', 'can copy into', 'reset by', 'adding to one end']"
Comparison,"One entity is evaluated against another entity based on performance, order, or mechanism.","['less impact than', 'different in performance', 'different in execution mechanism', 'more verbose than', 'call order', 'slightly faster than', 'different in ordering', 'compares', 'sorted differently than', 'more efficient than', 'differs in execution behavior', 'cancellation mechanism', 'different in execution context', 'is awkward to use compared to', 'different in contains() time complexity', 'different in object creation behavior', 'is more general than', 'has higher resolution than']"
Replacement,One entity is outdated or replaced by another entity.,"['supplanted by', 'deprecated and replaced by', 'legacy compared to', 'is legacy with', 'supplants']"
Constraint,"One entity imposes a restriction, condition, or limitation on another entity.","['suspend until', 'verify with', 'check size before using', 'used to fix size of', 'not allowed to generate', 'should be overridden by', 'completion checked by', 'should avoid extending', 'checks condition', 'check before', 'checks for', 'content type limited to', 'should be wrapped with', 'should avoid overriding', 'checks completion of', 'is supertype of', 'is a type of', 'extends', 'can be extended to', 'is a specific type of']"
Execution,"One entity explicitly calls, invokes, or triggers the execution of another entity","['executed by', 'calls', 'invokes', 'trigger reset of', 'listen to', 'calls asynchronously', 'call method', 'call', 'called on', 'internally calls']"
Access,"One entity reads, retrieves, or obtains existing data or state from another entity","['accessed only through', 'returns same instance for every item', 'returns', 'returns result to', 'outputs', 'returns as', 'returns immutable list']"
