Type Triples
"('class', 'dependency', 'class')"
"('class', 'dependency', 'method')"
"('class', 'dependency', 'interface')"
"('class', 'dependency', 'package')"
"('method', 'dependency', 'class')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'interface')"
"('method', 'dependency', 'package')"
"('interface', 'dependency', 'class')"
"('interface', 'dependency', 'method')"
"('interface', 'dependency', 'interface')"
"('interface', 'dependency', 'package')"
"('package', 'dependency', 'class')"
"('package', 'dependency', 'method')"
"('package', 'dependency', 'interface')"
"('package', 'dependency', 'package')"
"('class', 'conversion', 'class')"
"('class', 'conversion', 'method')"
"('class', 'conversion', 'interface')"
"('class', 'conversion', 'package')"
"('method', 'conversion', 'class')"
"('method', 'conversion', 'method')"
"('method', 'conversion', 'interface')"
"('method', 'conversion', 'package')"
"('interface', 'conversion', 'class')"
"('interface', 'conversion', 'method')"
"('interface', 'conversion', 'interface')"
"('interface', 'conversion', 'package')"
"('package', 'conversion', 'class')"
"('package', 'conversion', 'method')"
"('package', 'conversion', 'interface')"
"('package', 'conversion', 'package')"
"('class', 'preference', 'class')"
"('class', 'preference', 'method')"
"('class', 'preference', 'interface')"
"('class', 'preference', 'package')"
"('method', 'preference', 'class')"
"('method', 'preference', 'method')"
"('method', 'preference', 'interface')"
"('method', 'preference', 'package')"
"('interface', 'preference', 'class')"
"('interface', 'preference', 'method')	"
"('interface', 'preference', 'interface')"
"('interface', 'preference', 'package')"
"('package', 'preference', 'class')"
"('package', 'preference', 'method')"
"('package', 'preference', 'interface')"
"('package', 'preference', 'package')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'method')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'package')"
"('method', 'implementation', 'class')"
"('method', 'implementation', 'method')"
"('method', 'implementation', 'interface')"
"('method', 'implementation', 'package')"
"('interface', 'implementation', 'class')"
"('interface', 'implementation', 'method')"
"('interface', 'implementation', 'interface')"
"('interface', 'implementation', 'package')"
"('package', 'implementation', 'class')"
"('package', 'implementation', 'method')"
"('package', 'implementation', 'interface')"
"('package', 'implementation', 'package')"
"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'method')"
"('class', 'collaboration', 'interface')"
"('class', 'collaboration', 'package')"
"('method', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('method', 'collaboration', 'interface')"
"('method', 'collaboration', 'package')"
"('interface', 'collaboration', 'class')"
"('interface', 'collaboration', 'method')"
"('interface', 'collaboration', 'interface')"
"('interface', 'collaboration', 'package')"
"('package', 'collaboration', 'class')"
"('package', 'collaboration', 'method')"
"('package', 'collaboration', 'interface')"
"('package', 'collaboration', 'package')"
"('class', 'containment', 'class')"
"('class', 'containment', 'method')"
"('class', 'containment', 'interface')"
"('class', 'containment', 'package')"
"('method', 'containment', 'class')"
"('method', 'containment', 'method')"
"('method', 'containment', 'interface')"
"('method', 'containment', 'package')"
"('interface', 'containment', 'class')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'interface')"
"('interface', 'containment', 'package')"
"('package', 'containment', 'class')"
"('package', 'containment', 'method')"
"('package', 'containment', 'interface')"
"('package', 'containment', 'package')"
"('class', 'modification', 'class')"
"('class', 'modification', 'method')"
"('class', 'modification', 'interface')"
"('class', 'modification', 'package')"
"('method', 'modification', 'class')"
"('method', 'modification', 'method')"
"('method', 'modification', 'interface')"
"('method', 'modification', 'package')"
"('interface', 'modification', 'class')"
"('interface', 'modification', 'method')"
"('interface', 'modification', 'interface')"
"('interface', 'modification', 'package')"
"('package', 'modification', 'class')"
"('package', 'modification', 'method')"
"('package', 'modification', 'interface')"
"('package', 'modification', 'package')"
"('class', 'difference', 'class')"
"('class', 'difference', 'method')"
"('class', 'difference', 'interface')"
"('class', 'difference', 'package')"
