Text,Relations,Label1,Label2,Final Label
"`Arrays.asList(...)` will give you a `List` backed by an array, so it cannot change length.","(Arrays, backed by, List)",F,F,F
"*Implementation detail: It's a private nested class inside `java.util.Arrays`, named `ArrayList`, which is a different class from `java.util.ArrayList`, even though their simple names are the same.*","(java.util.Arrays, contains private nested class, java.util.ArrayList)",T,T,T
"Correction: For an existing list in some variable, then you get an unmodifiable view list by passing it in the `Collections.unmodifiableList()` constructor, but `List.of` will always give you an ""immutable"" or unmodifiable list that is not a view.","(Collections.unmodifiableList, provides unmodifiable view, List.of); (List.of, provides immutable list, Collections.unmodifiableList)","F, T","F, T","F, T"
"Only `List.copyOf` is structurally unmodifiable and *not* a view collection (like `unmodifiableList` or `List.of` is), so its structure cannot be changed.","(List.copyOf, structurally unmodifiable, unmodifiableList); (List.copyOf, structurally unmodifiable, List.of)","T, T","T, T","T, T"
"The above results in a compiler error, because `List<B>` (which is what is returned by `Arrays.asList`) is not a subclass of `List<A>`, even though you can add Objects of type `B` to a `List<A>` object.","(List, returned by, Arrays)",T,T,T
Any calls to `Arrays.asList()` with zero arguments or only one argument could be replaced with either a call to `Collections.singletonList()` or `Collections.emptyList()` which will save some memory.,"(Arrays.asList, can be replaced by, Collections.singletonList); (Arrays.asList, can be replaced by, Collections.emptyList)","T, T","T, T","T, T"
"Note: the list returned by `Collections.singletonList()` is immutable, while the list returned `Arrays.asList()` allows calling the `set()` method.","(Collections.singletonList, immutability, Arrays.asList); (Arrays.asList, mutability, set)","F, T","F, T","F, T"
"Differences between TreeMap, HashMap, and LinkedHashMap in Java","(TreeMap, different in ordering, HashMap); (TreeMap, different in ordering, LinkedHashMap); (HashMap, different in ordering, LinkedHashMap)","F, F, F","F, F, F","F, F, F"
"The reason being that if you're in an interruptible blocking call (like `Thread.sleep` or using java.nio Channel operations), you'll actually be able to break out of those right away.","(Thread.sleep, interruptible blocking call, java.nio.Channel)",T,T,T
"Like I said, the main advantage to `Thread.interrupt()` is that you can immediately break out of interruptible calls, which you can't do with the flag approach.",,F,F,F
