"('struct', 'implementation', 'struct')"
"('struct', 'implementation', 'enum')"
"('struct', 'implementation', 'trait')"
"('struct', 'implementation', 'module')"
"('struct', 'implementation', 'function ')"
"('struct', 'implementation', 'method')"
"('struct', 'implementation', 'macro')"
"('enum', 'implementation', 'struct')"
"('enum', 'implementation', 'enum')"
"('enum', 'implementation', 'trait')"
"('enum', 'implementation', 'module')"
"('enum', 'implementation', 'function ')"
"('enum', 'implementation', 'method')"
"('enum', 'implementation', 'macro')"
"('trait', 'implementation', 'struct')"
"('trait', 'implementation', 'enum')"
"('trait', 'implementation', 'trait')"
"('trait', 'implementation', 'module')"
"('trait', 'implementation', 'function ')"
"('trait', 'implementation', 'method')"
"('trait', 'implementation', 'macro')"
"('module', 'implementation', 'struct')"
"('module', 'implementation', 'enum')"
"('module', 'implementation', 'trait')"
"('module', 'implementation', 'module')"
"('module', 'implementation', 'function ')"
"('module', 'implementation', 'method')"
"('module', 'implementation', 'macro')"
"('function ', 'implementation', 'struct')"
"('function ', 'implementation', 'enum')"
"('function ', 'implementation', 'trait')"
"('function ', 'implementation', 'module')"
"('function ', 'implementation', 'function ')"
"('function ', 'implementation', 'method')"
"('function ', 'implementation', 'macro')"
"('method', 'implementation', 'struct')"
"('method', 'implementation', 'enum')"
"('method', 'implementation', 'trait')"
"('method', 'implementation', 'module')"
"('method', 'implementation', 'function ')"
"('method', 'implementation', 'method')"
"('method', 'implementation', 'macro')"
"('macro', 'implementation', 'struct')"
"('macro', 'implementation', 'enum')"
"('macro', 'implementation', 'trait')"
"('macro', 'implementation', 'module')"
"('macro', 'implementation', 'function ')"
"('macro', 'implementation', 'method')"
"('macro', 'implementation', 'macro')"
"('struct', 'similarity', 'struct')"
"('struct', 'similarity', 'enum')"
"('struct', 'similarity', 'trait')"
"('struct', 'similarity', 'module')"
"('struct', 'similarity', 'function ')"
"('struct', 'similarity', 'method')"
"('struct', 'similarity', 'macro')"
"('enum', 'similarity', 'struct')"
"('enum', 'similarity', 'enum')"
"('enum', 'similarity', 'trait')"
"('enum', 'similarity', 'module')"
"('enum', 'similarity', 'function ')"
"('enum', 'similarity', 'method')"
"('enum', 'similarity', 'macro')"
"('trait', 'similarity', 'struct')"
"('trait', 'similarity', 'enum')"
"('trait', 'similarity', 'trait')"
"('trait', 'similarity', 'module')"
"('trait', 'similarity', 'function ')"
"('trait', 'similarity', 'method')"
"('trait', 'similarity', 'macro')"
"('module', 'similarity', 'struct')"
"('module', 'similarity', 'enum')"
"('module', 'similarity', 'trait')"
"('module', 'similarity', 'module')"
"('module', 'similarity', 'function ')"
"('module', 'similarity', 'method')"
"('module', 'similarity', 'macro')"
"('function ', 'similarity', 'struct')"
"('function ', 'similarity', 'enum')"
"('function ', 'similarity', 'trait')"
"('function ', 'similarity', 'module')"
"('function ', 'similarity', 'function ')"
"('function ', 'similarity', 'method')"
"('function ', 'similarity', 'macro')"
"('method', 'similarity', 'struct')"
"('method', 'similarity', 'enum')"
"('method', 'similarity', 'trait')"
"('method', 'similarity', 'module')"
"('method', 'similarity', 'function ')"
"('method', 'similarity', 'method')"
"('method', 'similarity', 'macro')"
"('macro', 'similarity', 'struct')"
"('macro', 'similarity', 'enum')"
"('macro', 'similarity', 'trait')"
