Type Triple
"('class', 'equivalence', 'class')"
"('method', 'collaboration', 'method')"
"('class', 'difference', 'method')"
"('class', 'collaboration', 'interface')"
"('class', 'execution', 'class')"
"('class', 'collaboration', 'method')"
"('class', 'dependency', 'method')"
"('class', 'access', 'method')"
"('class', 'containment', 'class')"
"('class', 'conversion', 'class')"
"('package', 'containment', 'class')"
"('class', 'containment', 'method')"
"('class', 'equivalence', 'method')"
"('class', 'implementation', 'interface')"
"('method', 'containment', 'class')"
"('class', 'difference', 'class')"
"('method', 'equivalence', 'class')"
"('method', 'execution', 'class')"
"('class', 'modification', 'class')"
"('method', 'dependency', 'class')"
"('method', 'access', 'class')"
"('interface', 'containment', 'method')"
"('method', 'equivalence', 'method')"
"('class', 'implementation', 'class')"
"('class', 'execution', 'method')"
"('class', 'collaboration', 'class')"
"('class', 'modification', 'method')"
"('class', ' limitation', 'method')"
"('method', 'dependency', 'method')"
"('method', 'preference', 'method')"
