text,triplet
pd.DataFrame.set_index because the set of keys are unique for both rows and columns df.set_index(,"(pd.DataFrame, has method, set_index)"
"Use isinstance(ele, dict) , which will return true for dict objects as well as subclasses of dict , such as OrderedDict and defaultdict :","(isinstance(), accepts as second argument, dict), (isinstance(), accepts as second argument, OrderedDict), (isinstance(), accepts as second argument, defaultdict), (dict, similar to, OrderedDict), (dict, similar to, defaultdict), (OrderedDict, similar to, defaultdict)"
"Note that ""first"" may not be an appropriate term here because dict is not an ordered type in Python < 3.6",
"There are a lot of formatting options for annotate() , see the matplotlib website:",
"Parallel versions of the map function are provided by two libraries:multiprocessing, and also its little known, but equally fantastic step child:multiprocessing.dummy.","(map, has parallel version provided by, multiprocessing), (map, has parallel version provided by, multiprocessing.dummy)"
"all in order to wrap it, making Boost.Python ideal for exposing",
"If you're still using Python 2, note that the above method works with new-style classes only (in Python 3+ all classes are ""new-style"" classes). Your code might use some old-style classes",
I discuss this in the Stack Overflow question Does Python have a package/module management system? .,
"(i.e. a type) as a parent class, or the ""top-level type"" object if no",
"For older Flask versions, or to return a different JSON-serializable object, import and use jsonify .","(Flask, uses, jsonify)"
"If you want to check the first and only item of your Series (like .bool() , but it works even for non-Boolean contents): >>> x = pd.Series([100])",
"In shipping with a package manager, Python joins Ruby , Node.js , Haskell , Perl , Go —almost every other contemporary language with a majority open-source community",
pd.get_dummies + pd.DataFrame.dot I use this for cleverly performing cross tabulation.,"(pd.get_dummies, used in conjunction with, pd.DataFrame.dot)"
"Starting with Python 3.7 , the built-in dictionary is guaranteed to maintain the insertion order as well, so you can also use that directly if you are on Python 3.7 or later (or CPython 3.6):",
"Abstract Base Classes, for example, from the collections module, are not instantiated, yet __slots__ are declared for them.","(collections module, contains classes that declare, __slots__)"
"If you're not planning to open the file immediately, you can use os.path.isfile if you need to be sure it's a file.","(os.path, includes, os.path.isfile)"
"Anyway, it's not just something that will happen by throwing together a bunch of Django models :)",
"However, it doesn't currently try to work out the appropriate quotes to place around that expression (that's not impossible, just sufficiently complicated that it hasn't been done).",
"It still returns None , because that is the return value of the code object returned from compile .",
"To do these type of calculations for the data, use a NumPy array:",
"Another common way is os.system but you shouldn't use it because it is unsafe if any parts of the command come from outside your program or can contain spaces or other special characters, also subprocess.run is generally more flexible (you can get the stdout , stderr , the ""real"" status code , better error handling , etc.). Even the documentation for os.system recommends using subprocess instead.","(os.system, replaced by, subprocess.run)"
"The .next() method of iterators immediately raises StopIteration if the iterator immediately finishes -- i.e., for your use case, if no item in the iterable satisfies the condition.  If you don't care (i.e., you know there must be at least one satisfactory item) then just use .next() (best on a genexp, line for the next built-in in Python 2.6 and better).","(.next() method, raises, StopIteration)"
I also recommend once you have pip using the virtualenv package and pattern. :),
"The way this works is slightly different than dreload . Some caveats apply, type %autoreload? to see what can go wrong.",
asarray : The input will be returned uncopied iff it's a compatible ndarray ( copy=False ).,"(asarray, requires compatibility with, ndarray)"
"If setuptools is not already installed, get-pip.py will install setuptools for you.",
"array , which is defined on Index and Series objects only.","(Index, includes, Series)"
The .py extension should be removed from moduleName . The function also defines a package argument for relative imports.,
"There are also convenience functions, like asarray_chkfinite (same copying rules as asarray , but raises ValueError if there are any nan or inf values), and constructors for subclasses like matrix or for special cases like record arrays, and of course the actual ndarray constructor (which lets you create an array directly out of strides over a buffer).","(asarray_chkfinite, similar to, asarray)"
"Copy the contents of the file named src to a file named dst . Both src and dst need to be the entire filename of the files, including path.",
"Potentially worse still, do not catch exceptions such as WindowsError and OSError after changing directory as that may mean destructive changes are applied in the old location!",
"It works by installing a bunch of files in a directory (eg: env/ ), and then modifying the PATH environment variable to prefix it with a custom bin directory (eg: env/bin/ ). An exact copy of the python or python3 binary is placed in this directory, but Python is programmed to look for libraries relative to its path first, in the environment directory",
"Note: Callable on its own is equivalent to Callable[..., Any] .",
Changing the current working directory in a subprocess does not change the current working directory in the parent process.  This is true of the Python interpreter as well.  You cannot use os.chdir() to change the CWD of the calling process.,"(os, includes, os.chdir)"
"The internal difference is that without that import, / is mapped to the __div__() method, while with it, __truediv__() is used. (In any case, // calls __floordiv__() .)","(__div__(), differs from, __truediv__()), (__div__(), differs from, __floordiv__()), (__truediv__(), differs from, __floordiv__())"
The groupby() function takes two arguments: (1) the data to group and (2) the function to group it with.,
subprocess.run() is the way to go if you simply need a program to run and return control to Python,"(subprocess, has_method, subprocess.run())"
"numpy.logical_and : >>> np.logical_and(x, y) or simply the & operator: >>> x & y","(numpy.logical_and, equivalent to, & operator)"
There are also solutions for fixing JSON like for example How do I automatically fix an invalid JSON string? .,
"applymap is good for elementwise transformations across multiple rows/columns, e.g., df[['A', 'B', 'C']].applymap(str.strip)",
"If you want http errors (e.g. 401 Unauthorized) to raise exceptions, you can call Response.raise_for_status . That will raise an HTTPError , if the response was an http error.","(Response.raise_for_status, raises, HTTPError)"
"( Historical note : In earlier versions of Python, you can sometimes use contextlib.nested() to nest context managers.  This won't work as expected for opening multiples files, though -- see the linked documentation for details.)","(contextlib, includes, contextlib.nested())"
