text,triplet
"If the element was not present, the remove() method returns false.",[]
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,[]
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.",[]
In case the stream has no elements the get() method will return null.,[]
"contains() returns true if the collection contains the element, and false if not.",[]
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.",[]
The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,[]
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.",[]
You can check the size of a collection using the size() method.,[]
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.","['(method, execution, interface): (java.util.Comparator.comparing(), takes, java.util.function.Function)']"
"This version of the reduce() method returns the accumulated value directly, and not an Optional.",[]
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"['(method, execution, class): (removeAll(), takes, java.util.Collection)']"
The count() method simply returns the number of elements in the stream after filtering has been applied.,"['(class, implementation, method): (java.util.stream.Stream, provides, java.util.stream.Stream.count())']"
Adding an element to a Collection is done via the add() method.,"['(method, implementation, interface): (add(), provides method for, Collection)']"
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.",[]
The reduce() method can reduce the elements of a stream to a single value.,[]
The List must be sorted in ascending order before you search it using binarySearch() .,[]
The count() method returns a long which is the count of elements in the stream after filtering etc.,[]
Exactly how the addAll() method behaves depends on the Collection subtype.,[]
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,[]
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.",[]
Here is an example of sorting a Java List using Collections sort() method:,[]
The Collections max() method can find the maximum element in a List according to the natural order of the elements (see my Java List sorting tutorial).,[]
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"['(method, execution, interface): (addAll(), receives, java.util.Collection)']"
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.","['(method, execution, interface): (java.util.stream.Stream.reduce(), takes, java.util.function.BinaryOperator)']"
The unmodifiableSet() method in the Java Collections class can create an immutable (unmodifiable) Set from a normal Java Set .,[]
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.",[]
You pass the element to replace and the element to replace it with as parameters to the replaceAll() method.,[]
Several of the built-in classes in Java implements the Java Comparable interface.,[]
"You can also implement the Java Comparable interface yourself, to make your own classes comparable.",[]
Then a Stream of strings is obtained by calling the items.stream() method.,[]
I have a written a few more details about how the equals() method works in my section about the Java equals() method.,[]
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,[]
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","['(method, modification, interface): (add(), modifies, java.util.Collection)']"
"The Java Comparable interface,java.lang.Comparable, represents an object which can be compared to other objects.",[]
You can also add a collection of objects to a Java Collection using the addAll().,"['(method, execution, class): (addAll(), takes, java.util.Collection)']"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.","['(method, modification, interface): (remove(), modifies, java.util.Collection)']"
"When a class implements the Java Comparable interface, this means that instances (objects) of that class can be compared to each other, as mentioned above.",[]
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","['(method, execution, interface): (add(), takes, java.util.Collection)']"
In the following section I will explain how the compareTo() method works.,[]
Please keep in mind that the Comparable interface is intended for comparison of objects of the same class.,[]
Since the value 45 is smaller than 99 - the first comparison ( valA.compareTo(valB) = 45.compareTo(99) ) results in the value -1 being returned.,[]
The collect() method is one of the stream processing methods on the Stream interface.,[]
You obtain a stream from a collection by calling the stream() method of the given collection.,[]
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","['(method, execution, interface): (add(), called on, java.util.List)', '(method, modification, interface): (add(), alters, java.util.List)']"
Here is a java code example of calling the Collections addAll() method:,"['(class, implementation, method): (java.util.Collections, provides method, addAll())']"
Here is a Java example of calling the Collections copy() method:,[]
"The int returned signal whether the object the compareTo() method is called on is larger than, equal to or smaller than the parameter object.",[]
You can just cast to the desired class (as in the example above).,[]
"If the classes do not match, the Java VM will throw a ClassCastException.",[]
"Finally, also notice how it is now necessary to cast the parameter of the compareTo() method to Spaceship explicitly.",[]
"Notice how there is no type parameter specified after the ""implements Comparable"" interface in the class declaration.",[]
Here is an example of a Spaceship class which can compare itself to other Spaceship instances:,[]
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.",[]
This way you can implement compareTo() to compare base on multiple factors.,[]
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",[]
The reduce() method can be combined with the filter() method too.,[]
Here is an example of searching a List using the Collections binarySearch() method:,"['(class, implementation, method): (java.util.Collections, provides, binarySearch())']"
"The Java Comparator interface, java.util.Comparator, represents a component that can compare two objects so they can be sorted using sorting functionality in Java.",[]
Imagine you have the following Spaceship class that you would like to be able to compare instances of:,[]
The compare() method returns an int which signals which of the two objects was larger.,[]
"First, notice how the SpaceshipComparator class implements the Comparator interface with the type Spaceship specified inside the < > characters ( implements Comparator<Spaceship> ).",[]
"A Java Comparator implementation is pretty much always specialized to be able to compare objects of a specific type (class), so specifying a generic type in your Comparator implementation almost always makes sense.",[]
"In case the stream contains no elements, the Optional.get() returns null.","['(class, implementation, method): (java.util.Optional, provides method, java.util.Optional.get())']"
"Notice that the Spaceship class already implements the Comparable interface which compares Spaceship objects on spaceshipClass first, and then registrationNo.",[]
The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.,"['(class, implementation, method): (java.util.Collections, provides method, binarySearch())', '(method, execution, interface): (binarySearch(), takes, java.util.List)']"
"Imagine if the registrationNo variable of the Spaceship class was an int instead, so getRegistrationNo() would return an int.",[]
Here is an example of shuffling a list with the Collections shuffle() method:,[]
"In the second comparison, when 99 is compared to 45 ( valB.compareTo(valA) = 99.compareTo(45) ) the result is 1 - because 99 is larger than 45.",[]
Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.,[]
You provide the source and destination List instances as parameters to the copy() method.,"['(method, execution, interface): (java.util.Collections.copy(), takes, java.util.List)']"
The Java Collections copy() method can copy one List into another.,[]
The Java ArrayDeque class stores its elements internally in an array.,[]
The Java Collections replaceAll() method can replace all occurrences of one element with another element.,[]
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,[]
Here is an example of finding the minimum element in a Java List using Collections min() method:,"['(class, implementation, method): (java.util.Collections, provides implementation for, java.util.Collections.min())', '(method, execution, interface): (java.util.Collections.min(), takes, java.util.List)']"
The Collections copy() method can copy all elements of a List into another List.,"['(class, implementation, interface): (java.util.Collections, provides implementation for, java.util.List)']"
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.",[]
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"['(method, execution, interface): (reduce(), takes, BinaryOperator)', '(method, access, class): (reduce(), returns, Optional)']"
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","['(class, implementation, interface): (java.lang.Integer, implements, java.lang.Comparable)', '(class, implementation, method): (java.lang.Integer, provides, compareTo())', '(interface, implementation, method): (java.lang.Comparable, provides, compareTo())']"
"Second, notice how the compare() method returns the registrationNo of the first Spaceship parameter compared to the registrationNo of the second Spaceship parameter.",[]
The Collections shuffle() method can shuffle the elements of a List.,"['(class, implementation, method): (java.util.Collections, provides, java.util.Collections.shuffle())', '(method, execution, interface): (java.util.Collections.shuffle(), takes, java.util.List)']"
"This is different from the offer() method, which will return false if it cannot insert the element.",[]
"The Collections replaceAll() method returns true if any elements were replaced, and false if not.","['(class, implementation, method): (java.util.Collections, provides, replaceAll())']"
This is different from the addFirst() method which will throw an exception is adding an element to the beginning of the Deque fails.,[]
The Collections reverse() method can reverse the elements in a Java List.,"['(class, implementation, method): (java.util.Collections, provides, reverse())', '(method, execution, interface): (reverse(), takes, java.util.List)']"
The Collections min() method can find the minimum element in a List according to the natural ordering of the elements (see my Java List sorting tutorial).,[]
The peekFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,[]
When sorting e.g a Java List you can pass a Java Comparator to the sorting method.,[]
"This is similar to how peek() works, but the method name peekFirst() is a bit more saying about which end of the Deque you peek at.",[]
The Collections replaceAll() method uses the equals() method of each element to determine if the element is equal to the element to replace or not.,"['(method, dependency, method): (java.util.Collections.replaceAll(), depends on, java.lang.Object.equals())']"
"Notice also, how the parameter type of the compareTo() object is no longer Spaceship, but Object.",[]
The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .,"['(class, implementation, method): (java.util.Collections, provides, addAll())', '(method, execution, interface): (addAll(), takes, java.util.Collection)', '(method, execution, interface): (addAll(), takes, java.util.List)', '(method, execution, interface): (addAll(), takes, java.util.Set)', '(interface, containment, interface): (java.util.Collection, contains, java.util.List)', '(interface, containment, interface): (java.util.Collection, contains, java.util.Set)']"
"The Java Deque interface, java.util.Deque, represents a double ended queue, meaning a queue where you can add and remove elements to and from both ends of the queue.",[]
This is different from the add() method which will throw an exception is adding an element to the end of the Deque fails.,[]
"This method, the compare() method, takes two objects which the Comparator implementation is intended to compare.","['(method, implementation, interface): (java.util.Comparator.compare(), provides implementation for, java.util.Comparator)']"
Here is an example of how to add an element to the end of a Java Deque using the offer() method:,"['(method, implementation, interface): (java.util.Deque.offer(), provides method for, java.util.Deque)']"
The Java Comparable compareTo() method takes a single object as parameter and returns an int value.,"['(interface, implementation, method): (java.lang.Comparable, provides method, compareTo())']"
You add elements to the beginning end of a Deque using the add() method.,"['(interface, implementation, method): (java.util.Deque, provides, add())']"
The addLast() method also adds an element to the end (tail) of a Java Deque.,"['(method, implementation, interface): (addLast(), provides method for, java.util.Deque)']"
"Similarly, the compareTo() method should throw a ClassCastException if the input parameter is not of the same class as the class of the object compareTo() is called on.",[]
The offer() method adds an element to the end (tail) of the Deque.,[]
"By specifying a type parameter when implementing the Comparable interface, the compareTo() method parameter changes from Object to whatever type you have specified.","['(interface, implementation, method): (java.lang.Comparable, defines, compareTo())', '(method, execution, class): (compareTo(), takes, java.lang.Object)']"
Here is an example of adding an element to a Java Deque instance using the addLast() method:,[]
"If the element cannot be added to the beginning of the Deque, the addFirst() method will throw an exception.","['(method, implementation, interface): (addFirst(), method of, java.util.Deque)']"
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"['(interface, implementation, method): (deque, used with, addfirst)']"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","['(interface, implementation, method): (java.util.Deque, has method, java.util.Deque.add())']"
This is the Deque interface's equivalent of the add() method inherited from the Queue interface.,[]
This is different from the offerLast() method which will return false if the element cannot be added to the Deque.,"['(method, implementation, interface): (java.util.Deque.offerLast(), provides implementation for, java.util.Deque)']"
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",[]
This is different from the offerFirst() method which will return false if an element cannot be inserted in the beginning of the Deque.,"['(method, implementation, interface): (java.util.Deque.offerFirst(), provides implementation for, java.util.Deque)']"
The LinkedList class is a pretty standard Deque and Queue implementation.,"['(class, implementation, interface): (java.util.LinkedList, implements, java.util.Deque)', '(class, implementation, interface): (java.util.LinkedList, implements, java.util.Queue)']"
The offerFirst() method adds an element to the beginning (head) of the Deque.,[]
Here is an example of how to add an element to the end of a Java Deque using the offerLast() method:,"['(interface, implementation, method): (java.util.Deque, provides method, offerLast())']"
Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"['(entity, relation, entity): (deque, adding an element, push)']"
