Dependency,One entity utilizes or employs another entity for its function or purpose.,"['shuffle method', 'intended for use with', 'assign to', 'use with', 'uses by default', 'is for', 'used by default in', 'uses', 'used in', 'apply to', 'use', 'can be used in', 'runs on multiple runtimes', 'works on', 'takes as parameter', 'requires creation of', 'requires check from', 'must have equal accessibility to', 'requires', 'requires conversion by', 'must return same value for', 'requires registration of', 'required for', 'requires reference to']"
Similarity,One entity is considered similar or equivalent to another entity.,"['alternative to', 'pattern match with', 'similar to', 'alternative debugger', 'is similar in runtime improvement to', 'has browser controls like', 'match', 'compatible with', 'is equivalent to', 'checks equality with', 'equal to', 'equivalent to', 'is same as']"
Difference,One entity is distinct or varies from another entity.,"['not similar to', 'is different from', 'different in return type', 'different compatibility than', 'outside of', 'different in representation', 'return type differs from', 'different in null handling', 'different in blocking behavior']"
Conversion,One entity is transformed into another entity or format.,"['convert to', 'became', 'coerces to', 'copies to', 'replaced with temporary', 'converted']"
Implementation,One entity is realized or executed by another entity.,['implements']
Containment,One entity includes or holds another entity within it.,"['part of', 'has property', 'is part of', 'host', 'includes', 'wrap in', 'contains', 'has column']"
Preference,One entity is compared to another entity in terms of speed or efficiency.,"['is preferred over', 'compare with', 'compared to', 'compare performance', 'faster than', 'optimized form', 'is slower than']"
Collaboration,One entity communicates or works with another entity.,"['used with', 'associated with', 'works with', 'combined by', 'related to', 'join with', 'checked by', 'contains check', 'respects', 'handles', 'covers use case with', 'supports starting date', 'handle release with', 'checks before accessing', 'accesses more API surface area', 'increases access to', 'allows access via', 'allows checking']"
Limitation,One entity imposes restrictions or constraints on another entity.,"['avoids deadlock in', 'prevent issues in', 'avoids', 'prevents', 'not secure with', 'avoids time zone issues', 'lacks feature', 'causes deadlock in', 'does not support', 'not supported by', 'does not throw', 'terminates with', 'does not implement', 'is restricted to', 'force to be asynchronous', 'throws', 'not supported in', 'affected by', 'affects', 'influenced by', 'decreases']"
Creation,One entity generates or produces another entity.,"['introduces', 'generates number for', 'create', 'created using', 'create indexes with', 'instantiate in', 'register as', 'initialized with', 'start operations before', 'inserts default values']"
Replacement,One entity can substitute or exchange another entity in specific contexts or under certain conditions without affecting the overall result or behavior.,"['not recommended for', 'recommended over', 'provides more options than', 'recommended with', 'overwriting benefit']"
Extension,One entity expands or adds to the functionality of another entity.,"['expand via', 'extension of', 'extend']"
Reference,"One entity retrieves, references, or indicates the presence of another entity, typically through functions like returning, referencing, or pointing to it.","['based on', 'returns', 'is public because', 'is generic type', 'nullable version', 'explained in', 'ends with', 'implies knowledge of', 'represented by', 'marked covariant', 'reflects logic of', 'has representation', 'displayed by', 'is a special case of', 'return to', 'add mappings to', 'reference', 'searched before', 'has default value', 'exists before', 'add reference to', 'introduced before', 'assumed as', 'instance of', 'return']"
Delegation,One entity delegates or assigns a task to another entity for execution.,"['delegates to', 'passes to', 'forwarded to']"
