Text,Entities,Label1,Label2,Final Label
"`Arrays.asList(...)` will give you a `List` backed by an array, so it cannot change length.","Arrays, List","T, T","T, T","T, T"
"*Implementation detail: It's a private nested class inside `java.util.Arrays`, named `ArrayList`, which is a different class from `java.util.ArrayList`, even though their simple names are the same.*","java.util.Arrays, java.util.ArrayList","T, T","T, T","T, T"
"Correction: For an existing list in some variable, then you get an unmodifiable view list by passing it in the `Collections.unmodifiableList()` constructor, but `List.of` will always give you an ""immutable"" or unmodifiable list that is not a view.","Collections.unmodifiableList, List.of","T, T","T, T","T, T"
"Only `List.copyOf` is structurally unmodifiable and *not* a view collection (like `unmodifiableList` or `List.of` is), so its structure cannot be changed.","List.copyOf, unmodifiableList, List.of","T, T","T, T","T, T"
"The above results in a compiler error, because `List<B>` (which is what is returned by `Arrays.asList`) is not a subclass of `List<A>`, even though you can add Objects of type `B` to a `List<A>` object.","List, Arrays","F, F","F, F","F, F"
Any calls to `Arrays.asList()` with zero arguments or only one argument could be replaced with either a call to `Collections.singletonList()` or `Collections.emptyList()` which will save some memory.,"Arrays.asList, Collections.singletonList, Collections.emptyList","T, T","T, T","T, T"
"Note: the list returned by `Collections.singletonList()` is immutable, while the list returned `Arrays.asList()` allows calling the `set()` method.","Collections.singletonList, Arrays.asList, set","T, T, T","T, T, T","T, T, T"
"Differences between TreeMap, HashMap, and LinkedHashMap in Java","TreeMap, HashMap, LinkedHashMap","T, T, T","T, T, T","T, T, T"
"The reason being that if you're in an interruptible blocking call (like `Thread.sleep` or using java.nio Channel operations), you'll actually be able to break out of those right away.","Thread.sleep, java.nio.Channel","T, T","T, T","T, T"
"Like I said, the main advantage to `Thread.interrupt()` is that you can immediately break out of interruptible calls, which you can't do with the flag approach.",Thread.interrupt,T,T,T
"To clarify, if this `while` condition is going to be the sole way to stop the thread, then any `catch` block needs to call `Thread.currentThread().interrupt();` in order to maintain the interrupted status for the `while` condition.","Thread, Thread.currentThread, interrupt","F, T, F","F, T, F","F, T, F"
Blocking library methods like `Thread.sleep` and `Object.wait` try to detect when a thread has been interrupted and return early.,"Thread.sleep, Object.wait","T, T","T, T","T, T"
Brian Goetz in his book suggests using `Thread.currentThread().isInterrupted()` flag and `interrupt()` method for cancellation.,"Thread, currentThread, isInterrupted, interrupt","F, F, F, T","F, F, F, T","F, F, F, T"
thread will continue its work until it reaches `Thread.currentThread().isInterrupted()` check and exit from `run()`.,"Thread, Thread.currentThread, isInterrupted, run","F, F, F, T","F, F, T, T","F, F, F, T"
"Edit: I'm now using `Arrays.asList` instead of `Collections.singleton`: singleton is limited to one entry, whereas the `asList` approach allows you to add other strings to filter out later: `Arrays.asList(""a"", ""b"", ""c"")`.","Arrays.asList, Collections.singleton","T, T","T, T","T, T"
"Make a `List` out of the array with `Arrays.asList()`, and call `remove()` on all the appropriate elements.","List, Arrays.asList, remove","T, T, T","T, T, T","T, T, T"
Use System.arraycopy repeatedly to copy each group of items you wish to retain into your new Array.,System.arraycopy,T,T,T
"solution: Iterate over your array and whenever you find an element to remove (let's call it element n), use System.arraycopy to copy the tail of the array over the ""deleted"" element (Source and Destination are same array)--it is smart enough to do the copy in the correct direction so the memory doesn't overwrite itself:",System.arraycopy,T,T,T
"The `IllegalAccessException` would be thrown if the field was not accessible (for example, if it is private and has not been made accessible via missing out the `f.setAccessible(true)` line.",IllegalAccessException,T,T,T
"Of course, now you have to find out the `java.lang.reflect.Field` for `sString` prior to setting the field value.",java.lang.reflect.Field,T,T,T
Basically on an `ExecutorService` you call `shutdown()` and then `awaitTermination()`:,"ExecutorService, shutdown, awaitTermination","T, T, T","T, T, T","T, T, T"
"Note that `executorService.invokeAll` will wait for all threads to complete, but you will still need to call `executorService.shutdown` to clean up your thread pool.","executorService.invokeAll, executorService.shutdown","T, T","T, T","T, T"
".get() on each Future one at a time, instead of infinite looping calling isDone() on (all or each).",Future,F,F,F
"While you can use `executor.shutdown()` and `executor.awaitTermination()`, it is not the best practice as the time taken by different threads would be unpredictable.","executor.shutdown, executor.awaitTermination","T, T","T, T","T, T"
"The way you're doing it, there's no guarantee that `sock.close()` will be reached because you catch only `Exception` and not all `Throwable`s.","Exception, Throwable","T, T","T, T","T, T"
Long.valueOf() should be preferred: it returns cached values of Long for some often-used values instead of constructing a new instance as the constructor does.,Long.valueOf,T,T,T
"**Difference between Long.getLong(s), Long.valueOf(s), Long.parseLong(s) where ""s"" is a String Type**","Long.getLong, Long.valueOf, Long.parseLong","T, T, T","T, T, T","T, T, T"
"Using `str.subSequence(begin, end)` returns a CharSequence which is a read-only form of the string represented as a sequence of chars.","String, CharSequence","F, T","F, T","F, T"
"In Java 1.4, `CharSequence` was added, and somebody apparently realized that it would be useful to have the same functionality there, but which returned a `CharSequence` instead of `String` (for flexibility).","CharSequence, String","T, T","T, T","T, T"
Difference between subSequence and subString methods in java String class,"subSequence, subString, String","T, T, T","T, T, T","T, T, T"
"@Calum and @Pool - as noted below in Alex Miller's answer, using `Arrays.asList(array)` without passing it into a new `ArrayList` object will fix the size of the list.","Arrays, ArrayList","F, T","F, T","F, T"
"To clarify, `Arrays.asList()` creates a `java.util.Arrays.ArrayList` (static nested class in `java.util.Arrays`), not a `java.util.ArrayList`.","java.util.Arrays.asList, java.util.Arrays.ArrayList, java.util.ArrayList","F, T, T","F, T, T","F, T, T"
Use the `ImmutableList` class and its `of()` and `copyOf()` factory methods (elements can't be null):,"ImmutableList, of, copyOf","T, T, T","T, T, T","T, T, T"
"Use the JDK's `Arrays` class and its `asList()` factory method, wrapped with a `Collections.unmodifiableList()`:","java.util.Arrays, java.util.Collections, java.util.Collections.unmodifiableList, java.util.Arrays.asList","F, F, F, F","F, F, F, F","F, F, F, F"
"Note that the returned type for `asList()` is a `List` using a concrete `ArrayList` implementation, but **it is NOT** `java.util.ArrayList`.","java.util.List, java.util.ArrayList","F, T","F, T","F, T"
Thus this list isn't truly immutable and a call to `asList()` should be wrapped with `Collections.unmodifiableList()`.,"Collections, unmodifiableList","F, F","F, F","F, F"
"I don't think so, the 2 options are valid but the Arrays.stream is slightly 'better' since you can create it with fixed size, using the overload method with 'start', 'end' args.",Arrays.stream,T,T,T
It creates a kind of ArrayList named Arrays.ArrayList where the Object[] data points directly to the array.,"ArrayList, Object","T, T","T, T","T, T"
I fail to see the fundamental difference between your loop at the end of the answer and the new ArrayList<T>(Arrays.asList(myArray)); part which you discourage to use.,"ArrayList, Arrays","T, F","T, F","T, F"
"`new ArrayList<T>(Arrays.asList(myArray));` does the same, it copies the `asList` to an `ArrayList`.","ArrayList, Arrays, asList","T, F, F","T, F, F","T, F, F"
"If you say `String.valueOf(i)`, Java converts the integer to a string and returns the result.","String, valueOf","F, F","F, F","F, F"
"Both of the ways are correct, but using `String.valueOf(i)` or `Integer.toString(i)` is more efficient than `"""" + i`.","String.valueOf, Integer.toString","T, T","T, T","T, T"
As already pointed out `Integer.toString()` or `String.valueOf()` are the way to go.,"Integer.toString, String.valueOf","T, T","T, T","T, T"
"`Integer.toString(i)` and `String.valueOf(i)` are basically identical in performance, with `Integer.toString(i)` being a tiny bit faster.","Integer.toString, String.valueOf","T, T","T, T","T, T"
