Type Triple
"('method', 'dependency', 'class')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'interface')"
"('class', 'conversion', 'class')"
"('method', 'conversion', 'class')"
"('class', 'preference', 'class')"
"('method', 'preference', 'method')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'interface')"
"('interface', 'implementation', 'method')"
"('class', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('class', 'containment', 'class')"
"('class', 'containment', 'method')"
"('class', 'containment', 'package')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'interface')"
"('package', 'containment', 'class')"
"('class', 'modification', 'method')"
"('method', 'modification', 'class')"
"('class', 'creation', 'class')"
"('class', 'creation', 'method')"
"('method', 'creation', 'class')"
"('class', 'difference', 'class')"
"('method', 'difference', 'method')"
"('class', 'execution', 'method')"
"('method', 'execution', 'class')"
"('method', 'execution', 'method')"
"('class', 'access', 'method')"
"('method', 'access', 'class')"
"('interface', 'access', 'method')"
"('method', 'limitation', 'class')"
"('method', 'limitation', 'method')"
"('method', 'equivalence', 'method')"
