text,triplet
"If you use testVariants, make sure you don't call testedVariant in the class","(testVariants, conflicts with, testedVariant)"
So the reason why keyboard hides view even with SOFT_INPUT_ADJUST_RESIZE is that the windowIsFloating is set for Dialogs.,"(Dialogs, hasAttribute, windowIsFloating); (windowIsFloating, causes, keyboardHidesView); (SOFT_INPUT_ADJUST_RESIZE, ineffectiveWhen, windowIsFloating);"
" Since drag, scroll or transform gestures check if PointeInputChange.isConsumed is true they will never get any event if you consume them in previous pointerInput.","(PointerInputChange.isConsumed, consumes, pointerInput)"
"} delegate can only be used for val properties, whereas lateinit can only be applied to vars, because it can't be compiled to a final field, thus no immutability can be guaranteed;",""
"We have made the strategy for generating pure fields (as opposed to get/set pairs) more predictable: from now on only properties annotated as @JvmField, lateinit or const are exposed as fields to Java clients",""
"Sadly, as far as I know there is no way of changing the delegate by changing the original property content, but you might still be able to do something similar by working in an immutable way and copying the object:",""
"I am finding that if debug { testCoverageEnabled true } is set, jacoco produces no output for unit tests (eg testDebugUnitTest)","(debug, imposes restriction on, testCoverageEnabled)"
Your app receives a Bluetooth broadcast that requires the BLUETOOTH_CONNECT or BLUETOOTH_SCAN permissions.,"(Bluetooth broadcast, requires, BLUETOOTH_CONNECT); (Bluetooth broadcast, requires, BLUETOOTH_SCAN)"
"So avoid using var variables with data classes, always declare them as val to prevent such errors.","(data, contains, var);
(val, prevents, errors);"
"The last parameter is maxConcurrency, specifying the maximum number of active subscriptions to the SingleSources:","(maxConcurrency, specifies maximum for, SingleSource)"
You need to use Annotation use-site targets since the default for a property declared in the constructor is to target the annotation on the constructor parameter instead of the getter (which will be seen by JavaBeans compliant hosts) when there are multiple options available,"(Annotation, imposes restrictions, JavaBeans)"
Alternatively just add content to Box so it will stretch and .size modifier won't be needed anymore,""
"If there is a setter, a var-property is seen from Kotlin, otherwise it's an unmodifiable val.",""
"Also note that in the sample above MyClass::class.java gets the instance of type Class<MyClass> for the logger, whereas this.javaClass would get the instance of type Class<MyClass.Companion>.",""
"Will return minWidth = 0px, and maxWidth 1080px(width of my device in px) instead of 525px which is 200.dp in my device.","(minWidth, is different from, maxWidth)"
"To adjust the font size based on height, play around with the Text composable's attributes and use didOverflowHeight instead of didOverflowWidth:","(didOverflowHeight, compared to, didOverflowWidth)"
"After the device reboots and receives the ACTION_BOOT_COMPLETED, ACTION_LOCKED_BOOT_COMPLETED, or ACTION_MY_PACKAGE_REPLACED intent action in a broadcast receiver.","(ACTION_BOOT_COMPLETED, compared with, ACTION_LOCKED_BOOT_COMPLETED); (property, Difference, property): (ACTION_BOOT_COMPLETED, compared with, ACTION_MY_PACKAGE_REPLACED); (property, Difference, property): (ACTION_LOCKED_BOOT_COMPLETED, compared with, ACTION_MY_PACKAGE_REPLACED)"
This wires any output from the subprocess to regular stdout and stderr:,"(stdout, includes, stderr)"
"in some cases, it warrants different return types that include the status of the method call and the result if successful","(status, includes, result)"
"Assuming your projector using the jar in build/libs/hello.jar assuming that in your settings.gradle.kts you have set rootProject.name = ""hello""","(settings.gradle.kts, contains, rootProject.name)"
"As a result, the view will store the measured values BASED on the constraints in designated members (MeasuredHeight/Width)","(MeasuredHeight, is part of, MeasuredWidth)"
"You should use an object that contains both properties, lang and years.","(lang, is part of, years)"
I have attached the image successfully in email i will give you a code,""
"The issue appears because Glassfish embeds native sun.* classes into [glassfish5_home]/glassfish/modules/endorsed/grizzly-npn-bootstrap.jar, so it conflicts with others classes included into [JDK_HOME]/jre/lib/jsse.jar",""
"If you are using kotlin version 1.4.21 or newer, kotlin-android-extension is deprecated.
So if you removing the plugin you also have to remove the android experimental extension block.
In my case, I had to remove these pieces of code.",""
here in the Run test using: dropdown selected option was: Gradle(default) changed it to IntelliJ IDEA,""
"The fix was to replace dagger implementation dependencies with api, that makes them available to dependant modules as well.",""
"Note; if you're using the classes from the Java runtime instead of jaxws-rt, use com.sun.xml.internal.ws as the package for everything in this post that references com.sun.xml.ws.",""
"OK, problem is with JDK, I was using Open JDK 8 and it was missing tools.jar for some reason, I switched to Oracle JDK and now it works like a charm! ",""
Unfortunately this approach has great disadvantage: you can't use Kotlin code from Java in this case,""
"Those being very handy features in the pure Kotlin world, tend to turn into a disaster when you have to use them too often in the Kotlin/Java setting.",""
The only workaround for now is to define strict compilation order: Java first and after that kotlin,""
"In this scenario the problem boils down to the question:
Is kapt supported in maven?","(kapt, unsupported in, maven)"
