"('class', 'dependency', 'class')"
"('class', 'dependency', 'method')"
"('class', 'dependency', 'interface')"
"('class', 'dependency', 'struct')"
"('class', 'dependency', 'namespace')"
"('method', 'dependency', 'class')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'interface')"
"('method', 'dependency', 'struct')"
"('method', 'dependency', 'namespace')"
"('interface', 'dependency', 'class')"
"('interface', 'dependency', 'method')"
"('interface', 'dependency', 'interface')"
"('interface', 'dependency', 'struct')"
"('interface', 'dependency', 'namespace')"
"('struct', 'dependency', 'class')"
"('struct', 'dependency', 'method')"
"('struct', 'dependency', 'interface')"
"('struct', 'dependency', 'struct')"
"('struct', 'dependency', 'namespace')"
"('namespace', 'dependency', 'class')"
"('namespace', 'dependency', 'method')"
"('namespace', 'dependency', 'interface')"
"('namespace', 'dependency', 'struct')"
"('namespace', 'dependency', 'namespace')"
"('class', 'similarity', 'class')"
"('class', 'similarity', 'method')"
"('class', 'similarity', 'interface')"
"('class', 'similarity', 'struct')"
"('class', 'similarity', 'namespace')"
"('method', 'similarity', 'class')"
"('method', 'similarity', 'method')"
"('method', 'similarity', 'interface')"
"('method', 'similarity', 'struct')"
"('method', 'similarity', 'namespace')"
"('interface', 'similarity', 'class')"
"('interface', 'similarity', 'method')"
"('interface', 'similarity', 'interface')"
"('interface', 'similarity', 'struct')"
"('interface', 'similarity', 'namespace')"
"('struct', 'similarity', 'class')"
"('struct', 'similarity', 'method')"
"('struct', 'similarity', 'interface')"
"('struct', 'similarity', 'struct')"
"('struct', 'similarity', 'namespace')"
"('namespace', 'similarity', 'class')"
"('namespace', 'similarity', 'method')"
"('namespace', 'similarity', 'interface')"
"('namespace', 'similarity', 'struct')"
"('namespace', 'similarity', 'namespace')"
"('class', 'difference', 'class')"
"('class', 'difference', 'method')"
"('class', 'difference', 'interface')"
"('class', 'difference', 'struct')"
"('class', 'difference', 'namespace')"
"('method', 'difference', 'class')"
"('method', 'difference', 'method')"
"('method', 'difference', 'interface')"
"('method', 'difference', 'struct')"
"('method', 'difference', 'namespace')"
"('interface', 'difference', 'class')"
"('interface', 'difference', 'method')"
"('interface', 'difference', 'interface')"
"('interface', 'difference', 'struct')"
"('interface', 'difference', 'namespace')"
"('struct', 'difference', 'class')"
"('struct', 'difference', 'method')"
"('struct', 'difference', 'interface')"
"('struct', 'difference', 'struct')"
"('struct', 'difference', 'namespace')"
"('namespace', 'difference', 'class')"
"('namespace', 'difference', 'method')"
"('namespace', 'difference', 'interface')"
"('namespace', 'difference', 'struct')"
"('namespace', 'difference', 'namespace')"
"('class', 'conversion', 'class')"
"('class', 'conversion', 'method')"
"('class', 'conversion', 'interface')"
"('class', 'conversion', 'struct')"
"('class', 'conversion', 'namespace')"
"('method', 'conversion', 'class')"
"('method', 'conversion', 'method')"
"('method', 'conversion', 'interface')"
"('method', 'conversion', 'struct')"
"('method', 'conversion', 'namespace')"
"('interface', 'conversion', 'class')"
"('interface', 'conversion', 'method')"
"('interface', 'conversion', 'interface')"
"('interface', 'conversion', 'struct')"
"('interface', 'conversion', 'namespace')"
"('struct', 'conversion', 'class')"
"('struct', 'conversion', 'method')"
"('struct', 'conversion', 'interface')"
"('struct', 'conversion', 'struct')"
"('struct', 'conversion', 'namespace')"
"('namespace', 'conversion', 'class')"
"('namespace', 'conversion', 'method')"
"('namespace', 'conversion', 'interface')"
"('namespace', 'conversion', 'struct')"
"('namespace', 'conversion', 'namespace')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'method')"
"('class', 'implementation', 'interface')"
"('class', 'implementation', 'struct')"
"('class', 'implementation', 'namespace')"
"('method', 'implementation', 'class')"
"('method', 'implementation', 'method')"
"('method', 'implementation', 'interface')"
"('method', 'implementation', 'struct')"
