text,triples
The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,"(""Java Collection"", ""The Java Collection class is part of the java.util.Collection package, as indicated by the package name."", ""java.util.Collection"")"
Adding an element to a Collection is done via the add() method.,"(""Collection"", ""The add() method is used to add an element to a Collection."", ""add"")"
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","(""Add"", ""The Add method is used to add an element to the Collection class."", ""Collection"")"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","(""Add"", ""The method 'Add' is called on the class 'List' to add an element."", ""List"")"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.","(""Remove"", ""The remove() method is used to remove an element from the Collection class."", ""Collection"")"
"If the element was not present, the remove() method returns false.","(""Remove"", ""The remove() method returns false if the element was not present."", ""False"")"
You can also add a collection of objects to a Java Collection using the addAll().,"(""Collection"", ""The addAll method is used to add a collection of objects to a Collection class."", ""addAll""); (""addAll"", ""The addAll method is part of the Java package."", ""Java"")"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,"(""addAll"", ""The addAll method is part of the Java Collection class."", ""Java Collection""); (""addAll"", ""The addAll method takes a Collection as a parameter."", ""Collection"")"
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","(""add"", ""The method 'add' is related to the class 'Collection' because it is mentioned as being called with a 'Collection' as a parameter."", ""Collection"")"
Exactly how the addAll() method behaves depends on the Collection subtype.,"(""addAll"", ""The addAll method is a function that operates on the Collection class, indicating a functional relationship between the method and the class."", ""Collection"")"
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,"(""removeAll"", ""The method removeAll() is a part of the Java Collection class."", ""Java Collection""); (""removeAll"", ""The method removeAll() operates on a Collection, as it removes elements found in the Collection passed as a parameter."", ""Collection"")"
"contains() returns true if the collection contains the element, and false if not.","(""CONTAINS"", ""The method 'contains' is used to check if the collection includes a specific element."", ""COLLECTION""); (""CONTAINS"", ""The method 'contains' checks for the presence of a specific element within the collection."", ""ELEMENT"")"
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.","(""containsAll"", ""The method containsAll is related to the collection because it checks if the collection contains all elements in the parameter collection."", ""collection""); (""containsAll"", ""The method containsAll is related to the parameter collection as it verifies if all elements in the parameter collection are present in the collection."", ""parameter collection"")"
You can check the size of a collection using the size() method.,"(""Size"", ""The size() method is used to check the size of a collection."", ""Collection"")"
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,"(""Java Stream API"", ""The Java Stream API is a package that provides a functional programming approach to iterating and processing elements."", ""Java Stream API"")"
You obtain a stream from a collection by calling the stream() method of the given collection.,"(""Collection"", ""The Stream() method is called on a Collection to obtain a Stream."", ""Stream()""); (""Stream()"", ""The Stream() method is used to create or obtain a Stream."", ""Stream"")"
Then a Stream of strings is obtained by calling the items.stream() method.,"(""items.stream()"", ""The method items.stream() is used to obtain a Stream of strings."", ""Stream"")"
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","(""items.iterator()"", ""The method items.iterator() is used to obtain an Iterator."", ""Iterator""); (""items.iterator()"", ""The method items.iterator() is mentioned in the context of obtaining a Stream, indicating a relationship."", ""Stream"")"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"(""Predicate"", ""The test method is a function contained within the Predicate interface."", ""test"")"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""item"", ""The method 'startsWith' is called on the parameter 'item' to check if it begins with the letter 'o'."", ""startsWith"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Filter"", ""The filter() method is called on a Stream, indicating a relationship where the method operates on the class."", ""Stream""); (""Filter"", ""The filter passed as a parameter to the filter() method suggests a relationship where the method uses the filter."", ""Filter"")"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.","(""FILTER"", ""The FILTER method processes items in the STREAM."", ""STREAM"")"
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","(""Predicate"", ""The test method belongs to the Predicate class."", ""test""); (""filter"", ""The filter method uses the Predicate class to determine if an item should be processed."", ""Predicate"")"
The collect() method is one of the stream processing methods on the Stream interface.,"(""Collect"", ""The collect() method is a stream processing method on the Stream interface, indicating that it is a method associated with the Stream class."", ""Stream"")"
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","(""Min"", ""The Min method returns an Optional instance."", ""Optional""); (""Max"", ""The Max method returns an Optional instance."", ""Optional""); (""Optional"", ""The Optional class has a Get method to obtain the value."", ""Get"")"
In case the stream has no elements the get() method will return null.,"(""GET"", ""The GET method returns NULL when the stream has no elements."", ""NULL"")"
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,"(""comparing"", ""The comparing method is a part of the Comparator class, as it is used to create a Comparator based on a lambda expression."", ""Comparator"")"
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.","(""comparing"", ""The comparing() method takes a Function as a parameter, indicating a direct relationship where Function is used by comparing()."", ""Function""); (""Function"", ""Function is a functional interface suited for lambda expressions, indicating that lambda expressions can be used with Function."", ""lambda expressions"")"
The count() method simply returns the number of elements in the stream after filtering has been applied.,"(""Count"", ""The Count method returns the number of elements in the Stream after filtering."", ""Stream"")"
The count() method returns a long which is the count of elements in the stream after filtering etc.,"(""Count"", ""The count() method is used to count elements in the stream."", ""Stream"")"
The reduce() method can reduce the elements of a stream to a single value.,"(""Reduce"", ""The reduce() method operates on the elements of a stream to reduce them to a single value."", ""Stream"")"
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.","(""Reduce"", ""The reduce() method takes a BinaryOperator as a parameter."", ""BinaryOperator"")"
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,"(""BinaryOperator"", ""The apply method is a method of the BinaryOperator class."", ""apply"")"
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.","(""reduce"", ""The reduce method processes elements in the stream to accumulate a value."", ""stream"")"
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"(""Reduce"", ""The Reduce method takes a BinaryOperator as a parameter."", ""BinaryOperator""); (""Reduce"", ""The Reduce method returns an Optional."", ""Optional"")"
"In case the stream contains no elements, the Optional.get() returns null.","(""Optional"", ""The method 'get' is a member of the class 'Optional', as it is invoked on an instance of 'Optional'."", ""get"")"
"This version of the reduce() method returns the accumulated value directly, and not an Optional.","(""Reduce"", ""The Reduce method returns the accumulated value directly."", ""Accumulated Value"")"
The reduce() method can be combined with the filter() method too.,"(""Reduce"", ""Both are methods that can be combined in functional programming."", ""Filter"")"
"The Java Collections class, java.util.Collections, contains a long list of utility methods for working with collections in Java.","(""Java Collections"", ""The Java Collections class is part of the java.util.Collections package."", ""java.util.Collections""); (""Java Collections"", ""The Java Collections class contains utility methods for working with collections."", ""utility methods"")"
The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .,"(""Java Collections"", ""The addAll method is part of the Java Collections package."", ""addAll""); (""addAll"", ""The addAll method can add elements to a Collection."", ""Collection""); (""Collection"", ""A List is a type of Collection."", ""List""); (""Collection"", ""A Set is a type of Collection."", ""Set"")"
Here is a java code example of calling the Collections addAll() method:,"(""Collections"", ""The addAll method is a method of the Collections class."", ""addAll"")"
The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.,"(""Collections"", ""The binarySearch method is a part of the Collections class."", ""binarySearch""); (""Java"", ""The List class is part of the Java package."", ""List"")"
The List must be sorted in ascending order before you search it using binarySearch() .,"(""List"", ""The binarySearch method is used to search within the List class."", ""binarySearch"")"
Here is an example of searching a List using the Collections binarySearch() method:,"(""Collections"", ""The binarySearch method is part of the Collections package."", ""binarySearch""); (""List"", ""The binarySearch method is used to search a List."", ""binarySearch"")"
The Collections copy() method can copy all elements of a List into another List.,"(""Collections"", ""The copy method is part of the Collections class."", ""copy""); (""copy"", ""The copy method operates on List objects to copy elements."", ""List"")"
Here is a Java example of calling the Collections copy() method:,"(""Collections"", ""The copy() method is a method of the Collections class."", ""copy()"")"
The Collections reverse() method can reverse the elements in a Java List.,"(""Collections"", ""The reverse method is a part of the Collections class."", ""reverse""); (""Java"", ""The List class is part of the Java package."", ""List"")"
The Collections shuffle() method can shuffle the elements of a List.,"(""Collections"", ""The shuffle method is a part of the Collections class."", ""shuffle""); (""shuffle"", ""The shuffle method operates on the elements of a List."", ""List"")"
Here is an example of shuffling a list with the Collections shuffle() method:,"(""Collections"", ""The shuffle method is part of the Collections package, which provides utility methods for collection operations."", ""shuffle"")"
Here is an example of sorting a Java List using Collections sort() method:,"(""Collections"", ""The sort method is a part of the Collections class."", ""sort""); (""List"", ""The sort method is used to sort a List."", ""sort"")"
The Java Collections copy() method can copy one List into another.,"(""copy"", ""The copy method is part of the Java Collections package."", ""Java Collections""); (""copy"", ""The copy method is used to copy one List into another."", ""List"")"
You provide the source and destination List instances as parameters to the copy() method.,"(""copy"", ""The copy() method uses List instances as parameters, indicating a relationship where the method operates on the class."", ""List"")"
The Collections min() method can find the minimum element in a List according to the natural ordering of the elements (see my Java List sorting tutorial).,"(""Collections"", ""The min method is part of the Collections package."", ""min""); (""min"", ""The min method operates on a List to find the minimum element."", ""List""); (""Collections"", ""The Collections package provides utilities for working with the List class."", ""List"")"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""The min method is a part of the Collections class, which provides utility methods for collection operations."", ""min""); (""List"", ""The min method is used to find the minimum element in a List, indicating a functional relationship between the List class and the min method."", ""min"")"
The Collections max() method can find the maximum element in a List according to the natural order of the elements (see my Java List sorting tutorial).,"(""Collections"", ""The max method is part of the Collections package."", ""max""); (""max"", ""The max method operates on a List to find the maximum element."", ""List"")"
The Java Collections replaceAll() method can replace all occurrences of one element with another element.,"(""Java Collections"", ""The replaceAll() method is part of the Java Collections package."", ""replaceAll"")"
You pass the element to replace and the element to replace it with as parameters to the replaceAll() method.,"(""replaceAll"", ""The replaceAll method uses the element as a parameter to perform its operation"", ""element"")"
"The Collections replaceAll() method returns true if any elements were replaced, and false if not.","(""Collections"", ""The replaceAll method is a part of the Collections class."", ""replaceAll"")"
The Collections replaceAll() method uses the equals() method of each element to determine if the element is equal to the element to replace or not.,"(""Collections"", ""The replaceAll method is a part of the Collections class."", ""replaceAll""); (""replaceAll"", ""The replaceAll method uses the equals method to determine if an element is equal to the element to replace."", ""equals"")"
I have a written a few more details about how the equals() method works in my section about the Java equals() method.,"(""EQUALS"", ""The equals() method is part of the Java package, as it is a method commonly used in Java programming."", ""JAVA"")"
The unmodifiableSet() method in the Java Collections class can create an immutable (unmodifiable) Set from a normal Java Set .,"(""UnmodifiableSet"", ""The unmodifiableSet() method is part of the Java Collections class."", ""Java Collections""); (""UnmodifiableSet"", ""The unmodifiableSet() method creates an immutable Set from a normal Java Set."", ""Set"")"
