Text,Label1,Label2,Relations
"The AtomicBoolean class provides you with a boolean variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","(atomicboolean, contains, compareandset)","(atomicboolean, contains, compareandset)","(atomicboolean, contains, compareandset)"
The Java Reader is the base class of all Reader's in the Java IO API.,"(reader, base class of, io)","(io, contains, reader)","(reader, base class of, io)"
The read() method of a Java BufferedReader returns an int which contains the char value of the next character read.,"(read(), belongs to, BufferedReader)","(read(), method of, BufferedReader)","(read(), belongs to, BufferedReader)"
"Second, if the lock is locked, the threads are blocked in the wait() call inside the while(isLocked) loop in the lock() method.","(wait(), blocked in, lock)","(wait(), blocked in, lock)","(wait(), blocked in, lock)"
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","(compareandset(), set a new value, atomicboolean)","(compareandset(), set a value, atomicboolean)","(compareandset(), set a new value, atomicboolean)"
The executeQuery() method is used if the stored procedure returns a ResultSet.,"(executequery(), used on, resultset)","(executequery(), used in, resultset)","(executequery(), used on, resultset)"
Here is an example of flushing data written to a Java BufferedWriter by calling its flush() method:,"(bufferedwriter, contain, flush)",,"(bufferedwriter, contain, flush)"
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,"(deque, contain, pollfirst)","(deque, contain, pollfirst)","(deque, contain, pollfirst)"
"A class can have more than one constructor, although this example just shows one.",,,
The anonymous class subclasses (extends) SuperClass and overrides the doIt() method.,,,
"To obtain the result, you call one of the two get() methods on the Future.","(Future, contain, get)","(Future, contain, get)","(Future, contain, get)"
Java NIO has more classes and components than these but the Channel Buffer and Selector forms the core of the API in my opinion,"(channel, forms the core of the api with, Java NIO); (selector, forms the core of the api with, Java NIO); (buffer, forms the core of the api with, Java NIO)","(channel, forms, Java NIO); (selector, forms, Java NIO); (buffer, forms, Java NIO)","(channel, forms the core of the api with, Java NIO); (selector, forms the core of the api with, Java NIO); (buffer, forms the core of the api with, Java NIO)"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"(java.util.concurrent.atomic, contains, atomiclongarray)","(java.util.concurrent.atomic, contains, atomiclongarray)","(java.util.concurrent.atomic, contains, atomiclongarray)"
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","(integer, implements, comparable)","(integer, implements, comparable)","(integer, implements, comparable)"
"There is no package and class name to disturb you when reading the script, and whenever you need the default function all you need to write is ""default(a, b)"", instead of ""com.myapp.util.Util.default(a, b)"".","(com.myapp.util.util, contains, default)","(com.myapp.util.util, contains, default)","(com.myapp.util.util, contains, default)"
"The Java SortedSet interface has a method named setSet() which returns another SortedSet with all elements that are greater than or equal to (tailing) a given parameter value, according to the sort order used by the SortedSet.","(sortedset, has a method named, setset)","(sortedset, contains, setset)","(sortedset, has a method named, setset)"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"(deque.polllast(), is different from, deque.removelast)","(deque.polllast(), different, deque.removelast)","(deque.polllast(), is different from, deque.removelast)"
