Equivalence,One entity is considered equal or similar to another entity.
Execution,One entity initiates or carries out the operation of another entity.
Support,One entity provides assistance or resources to another entity.
Conversion,One entity is transformed into another entity or format.
Dependency,One entity relies on another entity for functionality or execution.
Preference,One entity is favored over another entity for usage or efficiency.
Replacement,One entity substitutes or exchanges another entity.
Containment,One entity includes or holds another entity within it.
Difference,"One entity is considered different from another entity, often in specific traits or properties."
Creation,One entity generates or produces another entity.
Limitation,One entity imposes restrictions or constraints on another entity.
Access,One entity retrieves or obtains data or function from another entity.
Implementation,One entity is realized or executed by another entity.
Modification,One entity alters or changes another entity.
