Dependency,One entity requires or depends on another entity for its operation or existence.  ,"['uses', 'requires', 'depends on', 'needed for', 'prevented by', 'causes termination of', 'caused by', 'avoided in', 'throws']"
Conversion,One entity is transformed from or obtained from another entity.  ,"['obtained from', 'can obtain', 'converts to', 'converted to']"
Replacement,One entity substitutes or replaces another entity.  ,"['can be replaced by', 'supplanted together with', 'replaces', 'supplanted by', 'replaced by', 'should be replaced by']"
Preference,One entity is favored over another entity in usage or suitability.  ,"['preferred over', 'awkward to use', 'used instead of', 'less preferred than', 'alternative to', 'not safe compared to', 'more efficient than', 'slightly faster than']"
Similarity,One entity is considered similar or equivalent to another entity.  ,"['shares non intnterruptibility with', 'shares view nature', 'similar behavior to', 'same class as', 'shares meaning with', 'shares method toPattern', 'similar to', 'shares purpose of comparing', 'equivalent to', 'same O(1) complexity as', 'counterpart of', 'similar complexity as']"
Implementation,One entity provides a method or implementation for another entity.  ,"['defined in', 'can be implemented by', 'implemented in', 'has method', 'implemented by', 'method of', 'defines']"
Containment,One entity contains or is part of another entity.  ,"['part of', 'contains', 'subtype of', 'derived from', 'is a']"
Access,One entity retrieves or acquires data from another entity.,"['returns same instance of', 'returns', 'does not return', 'yields fixed-size list', 'return type of', 'returns fixed-size', 'is returned by', 'monitors']"
Execution,"One entity takes, accepts, or receives another entity as input.  ","['takes', 'input to', 'parameter of', 'takes as input', 'accepts', 'called by', 'call order', 'calls', 'executed by', 'generates', 'initialized with', 'creates new String object', 'source of', 'copied into', 'copies from', 'used to create', 'made from', 'source for', 'creates']"
Modification,One entity alters or changes another entity's state or behavior.,"['sorts', 'precedes', 'follows', 'imposes ordering on']"
Collaboration,"One entity is compatible, complementary, or works together with another entity.  ","['complementary to', 'works with', 'paired with', 'used with', 'compatible with', 'used together for cancellation']"
Difference,"One entity differs from another entity in meaning, behavior, or characteristics.  ","['differs in view nature', 'is immutable compared to', 'different in resolution', 'different in append‑on‑write option', 'different in scheduling approach', 'loses time precision', 'different from', 'different return type', 'different return type than', 'differs in object creation', 'different functionality from', 'differs in implementation', 'different in null key', 'different in auto‑flushing option', 'can be offset by', 'different execution context', 'different in sorting', 'differs in meaning from', 'different in duplicate handling', 'limited mutable support', 'is different from']"
Support,"One entity provides support, resources, or capabilities to another entity.","['supported by', 'allows multiple entries', 'provides iterator', 'provides']"
