We can use reflection (reflect package) to access the tag values of struct fields,,[]
"When converting a string to and from a []byte or a []rune, Go does O(n) work even though conversions are ""syntax"".","['Conversion: (string, converted to, []byte)', 'Conversion: (string, converted to, []rune)']","['(type, Conversion, type): (string, converted to, []byte)', '(type, Conversion, type): (string, converted to, []rune)']"
"However, converting a []string to an []interface{} is O(n) time because each element of the slice must be converted to an interface{}.","['Conversion: ([]string, converted to, []interface{})', 'Conversion: ([]string, converted to, interface{})']","['(type, Conversion, type): ([]string, converted to, []interface{})', '(type, Conversion, type): ([]string, converted to, interface{})']"
Converting a string to an interface{} is done in O(1) time,"['Conversion: (string, transformed into, interface{})']","['(type, Conversion, type): (string, transformed into, interface{})']"
"I'd imitate that; it avoids aliasing, returning a new slice helps call attention to the fact that a new array might be allocated, and it's familiar to callers.","['Conversion: (slice, transformed to, array)']","['(type, Conversion, type): (slice, transformed to, array)']"
Program execution begins by initializing the main package and then invoking the function main,"['Dependency: (main, operation relies on, package)']","['(func, Dependency, package): (main, operation relies on, package)']"
"Similarly, you don't need a pointer to modify a map or communicate on a channel.","['Collaboration: (map, interact with, channel)']","['(type, Collaboration, type): (map, interact with, channel)']"
Converting a []string to an interface{} is also done in O(1) time since a slice is still one value,"['Conversion: ([]string, transformed into, interface{})']","['(type, Conversion, type): ([]string, transformed into, interface{})']"
"Finally, on whether your slices should be of pointers: slices of values can be useful, and save you allocations and cache misses","['Difference: (slice, compared to, pointer)', 'Difference: (slice, compared to, value)']","['(type, Difference, type): (slice, compared to, pointer)', '(type, Difference, type): (slice, compared to, value)']"
in case of json it means not to marshal or unmarshal that field).,"['Limitation: (marshal(), restricts, unmarshal())']","['(func, Limitation, func): (marshal(), restricts, unmarshal())']"
These methods return a value of StructField which describes / represents a struct field; and StructField.Tag is a value of type StructTag which describes / represents a tag value.,"['Containment: (StructField, includes, StructField.Tag)', 'Equivalence: (StructField.Tag, similar purpose, StructTag)']","['(type, Containment, type): (StructField, includes, StructField.Tag)', '(type, Equivalence, type): (StructField.Tag, similar purpose, StructTag)']"
"Usually it is used to provide transformation info on how a struct field is encoded to or decoded from another format (or stored/retrieved from a database), but you can use it to store whatever meta-info you want to, either intended for another package or for your own use.","['containment: (struct, includes meta-info for, package)', 'collaboration: (struct, intended for use by, package)']","['(type, containment, package): (struct, includes meta-info for, package)', '(type, collaboration, package): (struct, intended for use by, package)']"
This exported type would then need methods to implement the json.Marshaler and json.Unmarshaler interfaces.,"['Collaboration: (json.Marshaler, implement with, json.Unmarshaler)']","['(interface, Collaboration, interface): (json.Marshaler, implement with, json.Unmarshaler)']"
"For slices, you don't need to pass a pointer to change elements of the array","['Containment: (slice, part of, array)']","['(type, Containment, type): (slice, part of, array)']"
You have to tell your main() function to wait for the SayHello() function started as a goroutine to complete,"['Dependency: (main(), depends on completion of, SayHello())']","['(func, Dependency, func): (main(), depends on completion of, SayHello())']"
And second you have to first start SayHello() as a goroutine because your current code first executes SayHello() in the main goroutine and only once it finished starts the other one:,"['Dependency: (SayHello(), relies on, goroutine)']","['(func, Dependency, type): (SayHello(), relies on, goroutine)']"
A package can only view the unexported fields of types within its own package,"['Limitation: (package, view restriction, types)']","['(package, Limitation, type): (package, view restriction, types)']"
"Code review guidelines suggest passing small structs like type Point struct { latitude, longitude float64 }, and maybe even things a bit bigger, as values, unless the function you're calling needs to be able to modify them in place.","['Containment: (Point, contains, latitude)', 'Containment: (Point, contains, longitude)', 'Containment: (Point, consists of, float64)']","['(type, Containment, var): (Point, contains, latitude)', '(type, Containment, var): (Point, contains, longitude)', '(type, Containment, type): (Point, consists of, float64)']"
"You mention accepting a pointer to avoid allocations by allowing reuse; changing APIs for the sake of memory reuse is an optimization I'd delay until it's clear the allocations have a nontrivial cost, and then I'd look for a way that doesn't force the trickier API on all users:","['Limitation: (pointer, imposes restrictions on, APIs)', 'Replacement: (APIs, replaced for optimization purposes, pointer)']","['(type, Limitation, type): (pointer, imposes restrictions on, APIs)', '(type, Replacement, type): (APIs, replaced for optimization purposes, pointer)']"
More details about this: The Laws of Reflection #The representation of an interface.,"['containment: (The Laws of Reflection, represents, interface)']","['(method, containment, type): (The Laws of Reflection, represents, interface)']"
"Broadly, value slices can make sense if either you get all of your items in place up front and don't move them (e.g., no more appends after initial setup), or if you do keep moving them around but you're confident that's OK (no/careful use of pointers to items, and items are small or you've measured the perf impact)","['Limitation: (pointer, restricts use of, value)']","['(type, Limitation, type): (pointer, restricts use of, value)']"
This seems unfeasible as you'd have to know the actual type the interface holds,"['Containment: (interface, holds, type)']","['(type, Containment, type): (interface, holds, type)']"
"For Go modules to work (with Go 1.11 or newer), you'll also need to set the GOPRIVATE variable, to avoid using the public servers to fetch the code:","['Limitation: (Go 1.11, requires configuration of, GOPRIVATE)']","['(type, Limitation, var): (Go 1.11, requires configuration of, GOPRIVATE)']"
"There are types which cannot be nil, for example a struct or a custom type with int as its underlying type","['Difference: (struct, cannot be nil, int)']","['(type, Difference, type): (struct, cannot be nil, int)']"
In these cases you would not need to be able to store a nil value of that specific type.,"['Limitation: (nil, imposes restrictions on, value)', 'Limitation: (nil, imposes restrictions on, type)']","['(const, Limitation, var): (nil, imposes restrictions on, value)', '(const, Limitation, type): (nil, imposes restrictions on, type)']"
The most common example is the built-in error type which is an interface with one method,"['Satisfaction: (error, fulfills contract, error)']","['(interface, Satisfaction, interface): (error, fulfills contract, error)']"
But besides the nil inside the interface we must store its dynamic type as the nil value does not carry such information,"['Containment: (interface, includes, dynamic type)']","['(type, Containment, type): (interface, includes, dynamic type)']"
"They are statically typed: a variable of interface type always has the same static type, and even though at run time the value stored in the interface variable may change type, that value will always satisfy the interface.","['Containment: (interface, includes, variable)']","['(type, Containment, var): (interface, includes, variable)']"
"The value inside the pair will be nil, not the interface value itself","['Containment: (nil, value inside, interface)']","['(type, Containment, type): (nil, value inside, interface)']"
"Whenever there is no error, you explicitly set or return the value nil and not the value of some concrete (non-interface) type error variable (which would be really bad practice, see demonstration below).","['Replacement: (nil, substitutes, error)']","['(const, Replacement, type): (nil, substitutes, error)']"
"If you would put a nil value into the slice, then the interface value itself would be nil and a condition x == nil would be true.","['Containment: (slice, includes, interface)']","['(type, Containment, type): (slice, includes, interface)']"
"In case 2 a nil pointer is returned but first it is converted to an interface type (error) so an interface value is created which holds a nil value and the type *MyErr, so the interface value is not nil.","['Conversion: (error, conversion to, *MyErr)']","['(type, Conversion, type): (error, conversion to, *MyErr)']"
Interfaces unlike other concrete types (non-interfaces) can hold values of different concrete types (different static types),"['Difference: (Interfaces, compared to, non-interfaces)  ', 'Containment: (Interfaces, hold values of, static types)  ', 'Containment: (non-interfaces, hold values of, static types)  ']","['(unknown, Difference, unknown): ((Interfaces, compared to, non-interfaces)  )', '(unknown, Containment, unknown): ((Interfaces, hold values of, static types)  )', '(unknown, Containment, unknown): ((non-interfaces, hold values of, static types)  )']"
"IF you can be certain Get() will not produce error for certain input values, you can create a helper Must() function which would not return the error but raise a runtime panic if it still occurs:","['Replacement: (Get(), substitute by, Must())']","['(func, Replacement, func): (Get(), substitute by, Must())']"
"The alternate option would be to use nil as the interface value itself when the value to be stored in it is nil, but this solution is insufficient as it would lose the dynamic type information.","['Replacement: (nil, use as, interface)  ', 'Limitation: (nil, insufficient solution to, interface)']","['(unknown, Replacement, unknown): ((nil, use as, interface)  )', '(const, Limitation, type): (nil, insufficient solution to, interface)']"
"slices, maps, channels, all pointer types), so in order to store the value at runtime that satisfies the interface it is reasonable to support storing nil inside the interface","['Containment: (slices, are included within, pointer types)', 'Containment: (maps, are included within, pointer types)', 'Containment: (channels, are included within, pointer types)']","['(type, Containment, type): (slices, are included within, pointer types)', '(type, Containment, type): (maps, are included within, pointer types)', '(type, Containment, type): (channels, are included within, pointer types)']"
"You can even simplify it further if you incorporate the Get() call into your helper function, let's call it MustGet:","['Containment: (MustGet, incorporate Get(), Get())']","['(func, Containment, func): (MustGet, incorporate Get(), Get())']"
"In general if you want to indicate nil for a value of interface type, use explicit nil value and then you can test for nil equality","['Limitation: (interface, use explicit value, nil)', 'Dependency: (interface, test for, nil equality)', 'Equivalence: (nil, compare with, nil equality)']","['(type, Limitation, const): (interface, use explicit value, nil)', '(type, Dependency, method): (interface, test for, nil equality)', '(const, Equivalence, method): (nil, compare with, nil equality)']"
"For this reason the template package provides the Must(t *Template, err error) *Template function and the regexp package provides the MustCompile(str string) *Regexp function: they don't return errors because their intended use is where the input is guaranteed to be valid.","['Dependency: (template, provided by, Must())', 'Dependency: (regexp, provided by, MustCompile())']","['(package, Dependency, func): (template, provided by, Must())', '(package, Dependency, func): (regexp, provided by, MustCompile())']"
"As an exception to the addressability requirement, x [in the expression of &x] may also be a (possibly parenthesized) composite literal.",,[]
The method set of pointer types includes methods with both pointer and non-pointer receiver,"['Containment: (set, includes, pointer)']","['(method, Containment, type): (set, includes, pointer)']"
Short summary: An assignment to a variable of interface type is valid if the value being assigned implements the interface it is assigned to,"['Satisfaction: (var, implements the contract of, interface)']","['(var, Satisfaction, type): (var, implements the contract of, interface)']"
"Maps, channels, strings, and function and interface values, like slices, are internally references or structures that contain references already, so if you're just trying to avoid getting the underlying data copied, you don't need to pass pointers to them","['Equivalence: (Maps, functionally similar to, channels)', 'Equivalence: (Maps, functionally similar to, strings)', 'Equivalence: (Maps, functionally similar to, function)', 'Equivalence: (Maps, functionally similar to, interface)', 'Equivalence: (Maps, functionally similar to, slices)', 'Equivalence: (channels, functionally similar to, strings)', 'Equivalence: (channels, functionally similar to, function)', 'Equivalence: (channels, functionally similar to, interface)', 'Equivalence: (channels, functionally similar to, slices)', 'Equivalence: (strings, functionally similar to, function)', 'Equivalence: (strings, functionally similar to, interface)', 'Equivalence: (strings, functionally similar to, slices)', 'Equivalence: (function, functionally similar to, interface)', 'Equivalence: (function, functionally similar to, slices)', 'Equivalence: (interface, functionally similar to, slices)']","['(type, Equivalence, type): (Maps, functionally similar to, channels)', '(type, Equivalence, type): (Maps, functionally similar to, strings)', '(type, Equivalence, type): (Maps, functionally similar to, function)', '(type, Equivalence, type): (Maps, functionally similar to, interface)', '(type, Equivalence, type): (Maps, functionally similar to, slices)', '(type, Equivalence, type): (channels, functionally similar to, strings)', '(type, Equivalence, type): (channels, functionally similar to, function)', '(type, Equivalence, type): (channels, functionally similar to, interface)', '(type, Equivalence, type): (channels, functionally similar to, slices)', '(type, Equivalence, type): (strings, functionally similar to, function)', '(type, Equivalence, type): (strings, functionally similar to, interface)', '(type, Equivalence, type): (strings, functionally similar to, slices)', '(type, Equivalence, type): (function, functionally similar to, interface)', '(type, Equivalence, type): (function, functionally similar to, slices)', '(type, Equivalence, type): (interface, functionally similar to, slices)']"
"We also created a MyType, and we created a method MyType.String() with pointer receiver","['Creation: (MyType, creates, MyType.String())']","['(type, Creation, method): (MyType, creates, MyType.String())']"
"Given a struct type S and a type named T, promoted methods are included in the method set of the struct as follows:","['Embedding: (S, incorporates fields and methods, T)']","['(type, Embedding, type): (S, incorporates fields and methods, T)']"
"We saw this with type aliases as well (and resisted almost all the proposed cut-outs, thankfully).",,[]
"This means that taking the address of a composite literal, e.g",,[]
"As an exception to the addressability requirement, x [in the expression of &x] may also be a (possibly parenthesized) composite literal.",,[]
"When we attempt to assign a value of MyType to a variable of type Stringer, we get the error in question:","['Limitation: (MyType, imposes restrictions when assigned to, Stringer)']","['(type, Limitation, type): (MyType, imposes restrictions when assigned to, Stringer)']"
In the background an array of [1]int64 will also be allocated and used as the backing array for the slice,,[]
"So if the struct literal contains a field of type int64, we can also take the address of that field!",,[]
"But if so, another requirement will become available to us: ""field selector of an addressable struct operand""",,[]
"But we can omit the ""outer"" parenthesis as the address operator & is applied to the result of the selector expression.",,[]
"But a slice value is a header, describing a contiguous section of a backing array, and a slice value only contains a pointer to the array where the elements are actually stored",,[]
"The principle is the same as with case #6, but we can also use an anonymous struct literal, so no helper/wrapper struct type definition needed:",,[]
"For details, see Is returning a slice of a local array in a Go function safe?",,[]
"This means the String() method is in the method set of the *MyType type, but not in that of MyType.","['Containment: (String(), in method set, *MyType)', 'Limitation: (String(), not in method set of, MyType)', 'Difference: (*MyType, differs from, MyType)']","['(method, Containment, type): (String(), in method set, *MyType)', '(method, Limitation, type): (String(), not in method set of, MyType)', '(type, Difference, type): (*MyType, differs from, MyType)']"
"In these cases you can provide a helper function (or method) which will discard the error (or raise a runtime panic if it still occurs).
This can be the case if you provide the input values for a function from code, and you know they work.
Great examples of this are the template and regexp packages: if you provide a valid template or regexp at compile time, you can be sure they can always be parsed without errors at runtime","['Equivalence: (template, similar behavior to, regexp)']","['(package, Equivalence, package): (template, similar behavior to, regexp)']"
"Attempting to convert instead of type assert, we get the compile-time error we're talking about:","['Limitation: (type, imposes restriction, compile-time error)']","['(type, Limitation, const): (type, imposes restriction, compile-time error)']"
"To see what's in a slice header, check out the reflect.SliceHeader type:",,[]
