The Java Collection interface (java.util.Collection) is one of the root interfaces of the Java Collection API.,,[]
Adding an element to a Collection is done via the add() method.,"['execution: (add(), operation of adding an element, Collection)']","['(method, execution, class): (add(), operation of adding an element, Collection)']"
"The add() method adds the given element to the collection, and returns true if the Collection changed as a result of calling the add() method.","['execution: (add(), adds the given element to, Collection)']","['(method, execution, class): (add(), adds the given element to, Collection)']"
"On the other hand, if you called add() on a List and the List already contained that element, the element would then exist twice in the List.","['execution: (add(), perform operation on, List)']","['(method, execution, class): (add(), perform operation on, List)']"
"The remove() method removes the given element from the Collection and returns true if the removed element was present in the Collection, and was removed.",,[]
"If the element was not present, the remove() method returns false.",,[]
You can also add a collection of objects to a Java Collection using the addAll().,"['containment: (addAll(), add a collection of objects to, Collection)']","['(method, containment, class): (addAll(), add a collection of objects to, Collection)']"
The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.,,[]
"If you had called add() with the Collection as parameter instead, the Collection object itself would have been added, not its elements.","['containment: (add(), includes, Collection)']","['(method, containment, class): (add(), includes, Collection)']"
Exactly how the addAll() method behaves depends on the Collection subtype.,,[]
The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.,,[]
"contains() returns true if the collection contains the element, and false if not.",,[]
"containsAll() returns true if the collection contains all the elements in the parameter collection, and false if not.",,[]
You can check the size of a collection using the size() method.,,[]
The Java Stream API provides a more functional programming approach to iterating and processing elements of e.g.,,[]
You obtain a stream from a collection by calling the stream() method of the given collection.,,[]
Then a Stream of strings is obtained by calling the items.stream() method.,,[]
"This is similar to how you obtain an Iterator by calling the items.iterator() method, but a Stream is a different animal than an Iterator.","['difference: (items.iterator(), different animal than, Stream)']","['(method, difference, class): (items.iterator(), different animal than, Stream)']"
The Predicate interface contains a function called test() which the lambda expression passed as parameter above is matched against.,"['containment: (Predicate, contains, test())']","['(interface, containment, method): (Predicate, contains, test())']"
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.",,[]
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","['containment: (Stream, is stored internally when calling, filter())', 'execution: (filter(), call, Stream)']","['(class, containment, method): (Stream, is stored internally when calling, filter())', '(method, execution, class): (filter(), call, Stream)']"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.",,[]
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","['execution: (Predicate.test(), initiates execution of, filter())']","['(method, execution, method): (Predicate.test(), initiates execution of, filter())']"
The collect() method is one of the stream processing methods on the Stream interface.,"['containment: (collect(), method on, Stream)']","['(method, containment, interface): (collect(), method on, Stream)']"
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","['dependency: (min(), return, max())', 'execution: (min(), has, get())', 'execution: (max(), has, get())']","['(method, dependency, method): (min(), return, max())', '(method, execution, method): (min(), has, get())', '(method, execution, method): (max(), has, get())']"
In case the stream has no elements the get() method will return null.,,[]
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,,[]
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.","['execution: (comparing(), takes, Function)']","['(method, execution, interface): (comparing(), takes, Function)']"
The count() method simply returns the number of elements in the stream after filtering has been applied.,,[]
The count() method returns a long which is the count of elements in the stream after filtering etc.,,[]
The reduce() method can reduce the elements of a stream to a single value.,,[]
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.","['dependency: (reduce(), takes a, BinaryOperator)']","['(method, dependency, interface): (reduce(), takes a, BinaryOperator)']"
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,,[]
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.",,[]
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"['dependency: (reduce(), taking, BinaryOperator)', 'conversion: (reduce(), returns, Optional)']","['(method, dependency, class): (reduce(), taking, BinaryOperator)', '(method, conversion, class): (reduce(), returns, Optional)']"
"In case the stream contains no elements, the Optional.get() returns null.",,[]
"This version of the reduce() method returns the accumulated value directly, and not an Optional.",,[]
The reduce() method can be combined with the filter() method too.,"['support: (reduce(), combined with, filter())']","['(method, support, method): (reduce(), combined with, filter())']"
"The Java Collections class, java.util.Collections, contains a long list of utility methods for working with collections in Java.",,[]
The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .,,[]
Here is a java code example of calling the Collections addAll() method:,,[]
The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.,,[]
The List must be sorted in ascending order before you search it using binarySearch() .,,[]
Here is an example of searching a List using the Collections binarySearch() method:,,[]
The Collections copy() method can copy all elements of a List into another List.,"['execution: (Collections, copies elements of, List)', 'conversion: (copy(), transforms into, List)', 'containment: (List, includes elements of, List)']","['(package, execution, class): (Collections, copies elements of, List)', '(method, conversion, class): (copy(), transforms into, List)', '(class, containment, class): (List, includes elements of, List)']"
Here is a Java example of calling the Collections copy() method:,"['containment: (Collections, includes method, Collections.copy)']","['(class, containment, method): (Collections, includes method, Collections.copy)']"
The Collections reverse() method can reverse the elements in a Java List.,"['execution: (Collections.reverse(), reverse the elements in, List)']","['(method, execution, class): (Collections.reverse(), reverse the elements in, List)']"
The Collections shuffle() method can shuffle the elements of a List.,"['execution: (Collections, shuffle() method, shuffle())', 'containment: (Collections, elements, List)']","['(class, execution, method): (Collections, shuffle() method, shuffle())', '(class, containment, class): (Collections, elements, List)']"
Here is an example of shuffling a list with the Collections shuffle() method:,"['execution: (Collections, uses method, shuffle())']","['(class, execution, method): (Collections, uses method, shuffle())']"
Here is an example of sorting a Java List using Collections sort() method:,,[]
