Dependency,One entity relies on another entity for functionality or execution.
Conversion,One entity is transformed into another entity or format.
Preference,One entity is favored over another entity for usage or efficiency.
Implementation,One entity is realized or executed by another entity.
Collaboration,One entity works or communicates with another entity.
Containment,One entity includes or holds another entity within it.
Modification,One entity alters or changes another entity.
Difference,One entity is considered different from another entity.
Replacement,One entity substitutes or exchanges another entity.
Execution,One entity initiates or carries out the operation of another entity.
Access,One entity retrieves or obtains data from another entity.
Support,One entity provides assistance or resources to another entity.
Equivalence,One entity is considered equal or similar to another entity.
